"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.10270750279,4314.20541500557,4.49632650493,4.49632582872716,0.761960312919886,0.7312893790402,NA,0.0228081121772178,0.107248791797401,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.553004825175055,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1381.10453456478,2776.20906912956,19.9999999999941,14.9999999999794,0.155404435339765,0.100099804561439,NA,0.0548503766567694,0.0791005738063527,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.410280084477913,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1981.7357094102,3977.47141882041,11.098550279794,11.0985501271529,0.508794271938413,0.559056882309453,NA,0.0638492280941588,0.128020441625084,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.36651021923928,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,951.445932644829,1916.89186528966,20,14.9999999999999,0.109421884953916,0.134678927323574,NA,0.0210966924543095,0.040060659493625,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.78395826759886e-14,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1538.81837354428,3091.63674708855,19.9999999999973,14.9999999999997,0.280058294704733,0.426235902278321,NA,0.0591091282563731,0.0704408918523395,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.3220487741722,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,979.036679494047,1972.07335898809,11.4268697286238,11.3397046496481,0.103297494736063,0.100000000000022,NA,0.00570489975841893,0.0370399078891643,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.13829817414156e-13,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1926.67193853656,3867.34387707313,6.86952840161127,4.3287818987975,0.418289461429853,0.221621252208915,NA,0.0477989325969316,0.103032409907666,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.604472765214572,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2018.48882172602,4050.97764345204,8.2683139473415,7.84221916846175,0.606635209590517,0.707623787231658,NA,0.10108263704145,0.159692548235028,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.57661058968792,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.7974001962,3857.5948003924,8.70167127308464,8.70167123996978,0.791092917200526,0.785088436573216,NA,8.06966238733975e-11,0.0768078971958008,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.30995459396884e-08,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1851.29850379059,3716.59700758117,15.7373610494643,14.9999999998641,0.58657148927395,0.716820723981856,NA,0.071894948005811,0.079517799696851,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.591680109990359,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
