"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.40597706546,4318.81195413092,4.82009606933249,3.84981435696673,0.769948305660322,0.740391950135129,NA,0.450859603182769,0.498353838428401,NA,0.96765035708327,0.427359305894616,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.000759243892979452,3.04337482078106,NA,5.90852038413818,NA,NA,0,NA,NA
"result.2",2,1375.18622729189,2772.37245458378,19.9988507133657,14.999467968676,0.160202692923447,0.104528448395925,NA,0.201029477694451,0.0842406298260553,NA,0.571323099261283,0.172393566979385,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.429013671181368,0.0166509051251266,NA,3.62545165698975,NA,NA,0,NA,NA
"result.3",3,1981.03206991116,3984.06413982233,11.1000286516706,11.009393710288,0.504300087650999,0.537238281692666,NA,0.18096193496196,0.125687774311642,NA,0.982246813510374,0.0374577711176861,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.321575828306591,0.486774468024015,NA,2.26227746250958,NA,NA,0,NA,NA
"result.4",4,931.999056770584,1885.99811354117,19.9993547518089,14.9986936827942,0.111418368063355,0.167376481540808,NA,0.0590063907024016,0.148408331650089,NA,0.202383314675832,0.925001092487946,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.000973731276667789,0.0866139726199374,NA,8.10788248288652,NA,NA,0,NA,NA
"result.5",5,1536.90828633184,3095.81657266368,19.9997797198933,14.9999324710764,0.294951380237712,0.428765977041549,NA,0.173011567069023,0.147678513591515,NA,0.430749532697447,0.931712559315859,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.562973970081657,4.01526310108853,NA,5.61146293707627,NA,NA,0,NA,NA
"result.6",6,968.042889635832,1958.08577927166,11.5703948224421,11.567972642296,0.116121660525662,0.108291286393235,NA,0.287391318649714,0.092442892104841,NA,0.943036553785751,0.575423003573865,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,8.08257732640685,0.00814617571267264,NA,8.45677668253665,NA,NA,0,NA,NA
"result.7",7,1923.91612440212,3869.83224880423,8.20566896066899,5.46461739779765,0.465250538348703,0.259692633275854,NA,0.2390414114343,0.168091724309959,NA,0.754935492330981,0.425654781955795,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,4.90389065100096,1.08726346800575,NA,2.59834926393283,NA,NA,0,NA,NA
"result.8",8,2017.46589650823,4056.93179301646,9.9209627815723,6.66642669771288,0.629529371650846,0.652095886721504,NA,0.260808587029724,0.255253509571719,NA,0.85318113816902,0.799067901062309,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,2.54150364936979,3.11445976378883,NA,2.0717433662672,NA,NA,0,NA,NA
"result.9",9,1919.11499075109,3860.22998150218,11.6545223292918,11.6360005644107,0.776720037290618,0.784056635075777,NA,0.299933762519252,0.163518710430506,NA,0.0771615505547036,0.289004161101678,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,9.05444470615593,1.2688010202385,NA,2.97678910775081,NA,NA,0,NA,NA
"result.10",10,1851.7940634067,3725.5881268134,15.7753231006342,14.9922198422432,0.585571595528585,0.718181359306904,NA,0.0707859341252172,0.070439539610504,NA,0.325707261295491,0.0631875800693769,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.0596480780016009,0.119429031461433,NA,0.543986992319459,NA,NA,0,NA,NA
