"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.6986921928,4317.3973843856,4.66735050062165,4.66618038059974,0.732968922453696,0.766110383986967,NA,0.0531849168097252,0.127544026435952,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.65309371199779,NA,NA,0.334818244227156,1.02297817053822,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1379.49039075201,2776.98078150401,19.9999983554138,14.9999998782677,0.1538595781301,0.100896699486578,NA,0.0600384763056364,0.0910339541684779,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.525374966607749,NA,NA,0.523641029333972,0.0658161781970659,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1977.96651559082,3973.93303118163,11.1112384151139,11.1112250649535,0.49377745047657,0.547813504280299,NA,0.0697149083183425,0.113940526371382,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000006659481,NA,NA,0.801179904321723,2.99999963597209,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,949.279710792362,1916.55942158472,19.9999999999606,14.9999999918624,0.1071359687767,0.13897959731777,NA,0.0285869262160307,0.0472576797410032,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.594419897528398,NA,NA,1.55701937207075e-10,1.15467106509125,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1538.81409230602,3095.62818461204,19.9999999987623,14.9999996094006,0.280032970865409,0.42647640237594,NA,0.059567345348731,0.0713215670843559,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.50000002733593,NA,NA,2.33811251401469,2.26343338672536,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,978.860751456633,1975.72150291327,11.4100107472351,11.410009382281,0.102365744711755,0.100000005110892,NA,0.0064666387465699,0.0370073557428668,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000000697126,NA,NA,1.35530361213824e-08,1.50639192231778,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1926.23529701834,3870.47059403668,6.93238451065983,4.04771386129571,0.408873910951025,0.217220309314134,NA,0.0521982507617162,0.115109202822164,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500008092680418,NA,NA,0.690032339599963,0.0784829927020388,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2017.89579071361,4053.79158142722,8.39307851560169,8.39185327378149,0.60954755964742,0.700041628187408,NA,0.10125014168359,0.150747499079781,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000104476757,NA,NA,1.25638750166153,2.21560907091397,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.79801447005,3861.5960289401,8.68586779447155,8.68518848873024,0.79078841316594,0.78415191340953,NA,2.23993273679714e-05,0.0770930132725326,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500001433689161,NA,NA,0.000827753530009278,1.89392933582596,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1848.68857371177,3715.37714742354,15.247198724778,14.9999965107108,0.580733530924446,0.713309060383953,NA,0.0751983562721029,0.0721617814770042,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000015674116,NA,NA,0.231696730668092,2.15122130771039,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
