"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.97507383096,4315.95014766191,4.51649280316551,4.39777236888321,0.795095572992453,0.737228079607387,NA,1.80356451548478e-05,0.282151018299045,NA,0,NA,NA,0.303163812100223,NA,NA,0,NA,NA,0.5,NA,NA,1.11290879903484,NA,NA,NA,NA,NA,5.25310707756427,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1374.63572666442,2767.27145332884,27.6882737207757,14.9999434113094,0.161736794110203,0.10646550608654,NA,0.0629612832936688,0.088496713244241,NA,0,NA,NA,0.0404183862987741,NA,NA,0,NA,NA,0.5,NA,NA,0.368989177431088,NA,NA,NA,NA,NA,4.49342836589128,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1981.68344676161,3981.36689352322,11.2209571401849,11.2180499853615,0.5118798227723,0.55993245084574,NA,0.0682460785750948,0.137244839622194,NA,0,NA,NA,0.0925517483404632,NA,NA,0,NA,NA,0.5,NA,NA,1.49206257203819,NA,NA,NA,NA,NA,1.30134426766699,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,940.849321813127,1899.69864362625,26.6659847778152,14.9999999841072,0.116816776320718,0.145437357542232,NA,0.0217974471071983,0.0413420435599159,NA,0,NA,NA,3.08524310259175e-05,NA,NA,0,NA,NA,0.5,NA,NA,1.79711992332397e-09,NA,NA,NA,NA,NA,1.18991442235957e-05,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1530.89828995789,3079.79657991579,29.9996335726886,14.9999570248523,0.308508214443478,0.44938330840328,NA,0.10807532424235,0.123590479892866,NA,0,NA,NA,0.273495988778803,NA,NA,0,NA,NA,0.5,NA,NA,3.41060246681302,NA,NA,NA,NA,NA,3.61455215396725,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,979.036679512328,1976.07335902466,11.4269141879524,11.3398797402504,0.103297700752656,0.100000000743205,NA,0.00570465479506049,0.0370397795934709,NA,0,NA,NA,5.27062967181179e-06,NA,NA,0,NA,NA,0.5,NA,NA,2.58704665664386e-09,NA,NA,NA,NA,NA,2.54644023367544e-05,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1924.99811035528,3867.99622071056,7.85019252360141,5.27902183834922,0.426204900171734,0.260269999454105,NA,0.0762027036730629,0.154894065938131,NA,0,NA,NA,0.289212634059,NA,NA,0,NA,NA,0.5,NA,NA,1.07284796847216,NA,NA,NA,NA,NA,2.22398819762976,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2018.43724048178,4054.87448096356,8.62801719321067,7.53366376107147,0.606612660687053,0.701872729804067,NA,0.10873381649708,0.171640324947228,NA,0,NA,NA,0.440138533790947,NA,NA,0,NA,NA,0.5,NA,NA,2.64350944439258,NA,NA,NA,NA,NA,0.312936643706222,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1920.51401237579,3859.02802475158,10.0089913266896,10.005803372287,0.748771841107756,0.79999357547387,NA,0.186513703372356,0.343111588011052,NA,0,NA,NA,0.219176168739676,NA,NA,0,NA,NA,0.5,NA,NA,4.98019167456336,NA,NA,NA,NA,NA,9.81830208663642,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1851.05074488547,3720.10148977094,16.1535383443397,14.9997015062374,0.588560682780497,0.721996389551557,NA,0.0862183623036927,0.0945202639010413,NA,0,NA,NA,0.460853305174106,NA,NA,0,NA,NA,0.5,NA,NA,1.22766352617494,NA,NA,NA,NA,NA,0.628545111217233,NA,NA,0,NA,NA,0,NA,NA
