"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.00604044599,4320.01208089198,4.47132882032893,4.26290391403504,0.79403515526843,0.738234326711713,NA,0.000908195719277157,0.29167622258858,NA,0.0476237499369884,NA,NA,0.769127858753288,NA,NA,0,NA,NA,0.5,NA,NA,3.96443855013978,NA,NA,NA,NA,NA,2.14351019607481,NA,NA,1.86788548048164,NA,NA,0,NA,NA
"result.2",2,1366.91052536247,2755.82105072494,26.7131369761272,26.5845037577601,0.186812446130699,0.147124265146086,NA,0.115518802027203,0.103982444286167,NA,0.874537288628172,NA,NA,0.747581923627506,NA,NA,0,NA,NA,0.5,NA,NA,9.12370054108217,NA,NA,NA,NA,NA,0.703364924048004,NA,NA,1.33724922064525,NA,NA,0,NA,NA
"result.3",3,1980.4845077173,3982.9690154346,10.7416693565305,10.7036743194765,0.498204107120953,0.56933063135413,NA,0.158705981229415,0.1757802653905,NA,0.243606924912859,NA,NA,0.0656353994140636,NA,NA,0,NA,NA,0.5,NA,NA,1.91733842531414,NA,NA,NA,NA,NA,0.808757191795142,NA,NA,5.63831938021465,NA,NA,0,NA,NA
"result.4",4,925.084519605727,1872.16903921145,26.555928479563,26.555152254082,0.152330874461807,0.165333205519145,NA,0.162693670879401,0.0890705702404556,NA,0.965300494437153,NA,NA,0.56004307618876,NA,NA,0,NA,NA,0.5,NA,NA,0.0764322811506558,NA,NA,NA,NA,NA,0.0281252709493525,NA,NA,3.99532273965031,NA,NA,0,NA,NA
"result.5",5,1518.87625984922,3059.75251969845,32.1250471116009,32.1084312799051,0.326460785161466,0.446789982796979,NA,0.34430834424998,0.187701845215017,NA,0.450122142543462,NA,NA,0.234640582364643,NA,NA,0,NA,NA,0.5,NA,NA,4.97977911455094,NA,NA,NA,NA,NA,6.12614485307137,NA,NA,4.9024841494658,NA,NA,0,NA,NA
"result.6",6,968.714394960691,1959.42878992138,11.4957526911875,11.495086657246,0.109068500787472,0.121667347269392,NA,0.132842567466135,0.102359913330305,NA,0.99854372760108,NA,NA,0.0605938802620117,NA,NA,0,NA,NA,0.5,NA,NA,0.00998161791367063,NA,NA,NA,NA,NA,0.227753899521294,NA,NA,5.89647903077923,NA,NA,0,NA,NA
"result.7",7,1923.42330846568,3868.84661693136,7.77986130392323,4.89972646599037,0.42796681499601,0.236936233481056,NA,0.135568196111166,0.183690644021036,NA,0.413636359481223,NA,NA,0.255095608446941,NA,NA,0,NA,NA,0.5,NA,NA,1.01025711656076,NA,NA,NA,NA,NA,3.76467031372324,NA,NA,2.58705238467803,NA,NA,0,NA,NA
"result.8",8,2016.23423143273,4054.46846286546,9.44484724473511,6.61397889705576,0.610890953024375,0.658659663452919,NA,0.319631605649342,0.280470060098689,NA,0.508739929209891,NA,NA,0.520174499037476,NA,NA,0,NA,NA,0.5,NA,NA,4.35431227867851,NA,NA,NA,NA,NA,1.53472105226666,NA,NA,3.12527359873801,NA,NA,0,NA,NA
"result.9",9,1919.96701023077,3861.93402046154,9.77213022225397,9.75153387592626,0.750913190755882,0.799967641096167,NA,0.347365971548861,0.495925414860934,NA,0.0239490877692941,NA,NA,0.261123148713472,NA,NA,0,NA,NA,0.5,NA,NA,9.87706792277285,NA,NA,NA,NA,NA,9.53459449578077,NA,NA,19.4900146949775,NA,NA,0,NA,NA
"result.10",10,1850.90358662483,3723.80717324967,18.0408588387858,18.036424098801,0.608019062719379,0.732427527404117,NA,0.100364417226965,0.110497157057263,NA,0.348633922624289,NA,NA,0.735610720823661,NA,NA,0,NA,NA,0.5,NA,NA,5.22271260795294,NA,NA,NA,NA,NA,0.949977221091019,NA,NA,0.167980577338578,NA,NA,0,NA,NA
