"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.26429811226,4362.52859622452,4.01361737720621,1.06772587611187,0.596478650468223,NA,NA,0.318308510910103,0.259761498989345,0.272720934590515,0.280197025509551,0.420653574112732,0.00451848170021056,0.162004401244739,0.0192292746779364,0.124175054610647,0.309819117722139,0.0112531694013786,0.306311447835309,0.503021050506748,0.528465244449631,0.699924868627392,0.00756267553268906,1.69905073695658,1.10500363842279,1.10202169138938,0.871371043086504,0.0736364655670197,0.508682574568692,1.22752726851201,1.72524204859956,1.40567442728207,0.944421355067592,3.76804964677179,4.30061076747365,0.206287824290718,3.82920776992314
"result.2",2,1378.38749726987,2822.77499453974,19.9948212038811,14.8841711584039,0.200961158022931,NA,NA,0.389628268746295,0.208000424400078,0.289755291264768,0.145375288517956,0.0105203619989816,0.059438714982118,0.511025761919161,0.0589076759479957,0.634327173520589,0.0474598043967028,0.0405043900367816,0.216832874196003,0.693578604851303,0.622661452137963,0.695749614195116,0.059437490124838,0.124506877735257,0.109906622467107,1.76801203534183,1.88147354226715,0.241955563748636,0.573717447962605,0.778814395952345,4.66258431646461,4.33196657089756,5.19388786749914,2.51429119633114,0.424271555190945,2.58695823123351,3.35239038365471
"result.3",3,1973.01542403559,4012.03084807119,11.2798718209805,11.7884954908128,0.514113665044792,NA,NA,0.109903921828653,0.343853550330847,0.336529734064682,0.000418571827021855,0.0974896614611004,0.0890520259632486,0.0565688780043274,0.00733729337807745,0.185822191764601,0.0281675561646635,0.17512513765466,0.0378831117636134,0.502752686402853,0.501379253232458,0.501107729068889,0.0406938730022079,1.98720185667172,0.0233689623640999,1.78744773536946,0.0461544151808334,1.42422775823135,1.35900895928144,1.37859474112406,5.93376907879751,1.58149754206674,0.471944005991502,4.81222330035823,3.10990100526662,4.10356247139841,3.68232055064341
"result.4",4,936.281256275971,1938.56251255194,19.992783667035,14.8549235937528,0.200178904005694,NA,NA,0.0149761670621622,0.260772210113518,0.348731219853361,0.00739550570208201,0.0326221817044117,0.0272526563068861,0.0343085478947822,0.692777165843918,0.504182395647642,0.055057563399896,0.0881725012328075,0.143971168794202,0.793159765919072,0.55446739083248,0.699275741844867,1.67044871292069,0.0372861418099627,1.99900425506718,1.70712065915787,1.88012831246616,0.0567766096442938,2.76223410795772,0.520805290747701,0.653555227058737,2.04860968975046,5.98376534919361,5.96781162405368,4.40785748447532,2.79018492035316,2.81072943288947
"result.5",5,1534.5008671656,3135.0017343312,19.9214481683455,14.9783011065553,0.325882828099133,NA,NA,0.389391591656042,0.288510951644982,0.184185014191043,0.315101367594736,0.0903226210114662,0.0323740268591791,0.349295700021014,0.518854435768975,0.122972879461636,0.1065412560326,0.0402372223868949,0.687722345275614,0.547628246740491,0.500592872814681,0.510039162266546,1.99575542781695,0.126539683900774,1.86011673763232,0.00142197709938262,0.145846229040973,1.89410332215857,4.73805220409474,2.50094022229314,0.802984923246607,4.30368693731725,5.86500379443169,3.86264412237694,4.34834072608246,0.315962807915855,3.79439435402836
"result.6",6,983.607240918409,2033.21448183682,12.010738958327,14.9132814339125,0.200917217538967,NA,NA,0.0117241581125785,0.226212986972792,0.0897307790778116,0.0142011591698974,0.0160880932996895,0.137984904228939,0.42089767619562,0.693552845311701,0.644832428562748,0.547538200629087,0.145126882196243,0.214878338202834,0.694938795698588,0.503512337965077,0.552413823582561,1.99952156418086,0.869159868918359,0.022531732188392,1.89162450951592,0.249448465515268,0.638354770839214,5.82665162963687,0.0146387227749933,2.49085044488311,5.71205621882791,5.98944075258709,5.99105943658354,5.71438070750293,3.72466826629377,3.21943377512866
"result.7",7,1922.3842438207,3910.76848764141,7.7925822123081,3.74608741966743,0.335498034174148,NA,NA,0.340012694903322,0.270146884578265,0.199837803123604,0.26937788872607,0.157883629832717,0.227498293299811,0.488749880692382,0.432484701969787,0.0622222571997847,0.0430708908937195,0.00710858716898047,0.675707293860614,0.500406744282626,0.530372792069127,0.531196257426961,1.94466457523146,0.0364105991516971,0.275615883654232,1.03504379420562,1.92927209571598,0.10663430000611,3.20932649555354,2.82831140158668,0.587299611196598,2.22294957144186,2.76492309571659,2.47847537517841,0.946267826587862,0.798285149916893,3.99518765357057
"result.8",8,2016.33910797671,4098.67821595341,10.022775899571,5.86010031302981,0.594901706596848,NA,NA,0.204440776189318,0.203914788558614,0.369691434720362,0.013174307718873,0.220722765425509,0.27551226841905,0.125876137761475,0.148566998137763,0.257109218574918,0.0616955263935313,0.624271733008787,0.343981164828587,0.500431309204678,0.532657406558748,0.522460218157483,0.188491377882127,1.77024941080518,0.00803298714957233,0.449136415940413,1.66334741439565,0.57413195958361,0.980998251770999,0.783245643804957,2.90194665687159,0.387223608791828,3.06840403897634,4.81105684116483,0.758538779431732,0.627463581506163,0.602107113961512
"result.9",9,1921.44149080165,3908.8829816033,9.49443063117732,1.11737822074513,0.595957374676571,NA,NA,0.325057602624478,0.18829696689327,0.375113811308014,0.249953218543466,0.0909869865760788,0.284509862606978,0.114288265396989,0.463283290956267,0.0952025826128595,0.283868516888469,0.0638884952291846,0.537993613905437,0.66527983024507,0.550707610091195,0.512726547046375,0.197663381341841,1.39961642458731,0.00531408274213156,0.682269242359248,1.22435293536364,1.23100406644637,3.34321532081633,2.45022447779775,2.32310765833948,1.50902870624379,0.0695765576289009,2.04500095855651,2.62582991045773,2.70037070196122,4.14520917590781
"result.10",10,1849.1114616036,3764.2229232072,14.2453692428223,14.1136664514315,0.597882831116956,NA,NA,0.374335193148326,0.247938288716628,0.145482583405018,0.0502612872015464,0.0331590676509013,0.021430098671352,0.23649559940033,0.101452510308317,0.00923784231123492,0.0470489546559394,0.438989630691022,0.0765397211796667,0.504734833740335,0.503778845723718,0.613969492912292,0.00111152406959552,1.98672998175742,0.450885133112868,1.88077431125566,0.0294100344181061,0.270059968736856,1.51103143382111,3.60137179959565,5.85837312508374,5.15234891341098,0.106335256301645,1.43297685650607,2.25029643445221,1.95507647114782,1.5114638725296
