"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.9148860111,4325.8297720222,4.23322529885038,1.03487437515477,0.599966830900353,NA,NA,0.185094406101371,0.237335653666838,NA,0.0960795095419666,NA,NA,0.394173757558174,NA,NA,0,NA,NA,0.596984715226989,NA,NA,0.504610352743487,0.0750494319945574,NA,NA,NA,NA,2.15523965097964,NA,NA,1.54666388539176,NA,NA,0,NA,NA
"result.2",2,1381.51117527386,2787.02235054773,19.9999556405563,14.9998199809652,0.20000011877123,NA,NA,0.249261913313122,0.191215949586577,NA,0.0248851378524233,NA,NA,0.419013877844404,NA,NA,0,NA,NA,0.593224552251141,NA,NA,0.00367827593284889,0.341814777902769,NA,NA,NA,NA,0.0138932523190914,NA,NA,3.71043639923869,NA,NA,0,NA,NA
"result.3",3,1976.54622291656,3977.09244583311,10.0734672949191,12.0499534468471,0.512626521907523,NA,NA,0.214117621599367,0.309663236971251,NA,0.0247763355462613,NA,NA,0.170012240493063,NA,NA,0,NA,NA,0.508657804815605,NA,NA,0.000237942124862106,1.95194830735233,NA,NA,NA,NA,0.639678937537888,NA,NA,5.01264644776755,NA,NA,0,NA,NA
"result.4",4,942.706493596935,1909.41298719387,19.9999851580346,14.999803674147,0.200000352068769,NA,NA,0.309455660574518,0.237061501257939,NA,4.76884733541958e-05,NA,NA,0.599987705573235,NA,NA,0,NA,NA,0.699721924890838,NA,NA,1.13987781090102,1.96973808657897,NA,NA,NA,NA,0.00308892108383778,NA,NA,5.99974364755624,NA,NA,0,NA,NA
"result.5",5,1537.35243321382,3098.70486642764,19.9999163833859,14.9999146208664,0.333847453434145,NA,NA,0.398943942118388,0.262357273444188,NA,0.150561503468801,NA,NA,0.495778579763376,NA,NA,0,NA,NA,0.500030446189717,NA,NA,1.9930658020038,0.0262114133218926,NA,NA,NA,NA,1.61137566823782,NA,NA,5.51367069764043,NA,NA,0,NA,NA
"result.6",6,984.972157103824,1993.94431420765,12.10121548389,14.9999930813697,0.200000010340569,NA,NA,0.0231688807431394,0.151347492082665,NA,0.142151235983526,NA,NA,0.599999728605525,NA,NA,0,NA,NA,0.548577208977868,NA,NA,1.10691576721814e-05,1.62052295091555,NA,NA,NA,NA,2.67328180514065e-05,NA,NA,5.99999963228476,NA,NA,0,NA,NA
"result.7",7,1926.79120813009,3877.58241626018,7.83602232201714,7.19378603879774,0.412191373922783,NA,NA,0.324075901347388,0.374571644699172,NA,0.155591958875209,NA,NA,0.228711485043168,NA,NA,0,NA,NA,0.501525441952378,NA,NA,0.714432366342844,0.874650748217453,NA,NA,NA,NA,4.90499258783171,NA,NA,5.29292720385646,NA,NA,0,NA,NA
"result.8",8,2018.42908082529,4060.85816165058,8.63657366672785,6.41376140081889,0.599957326008213,NA,NA,0.250758753929495,0.263707743656734,NA,0.0960323577469134,NA,NA,0.508433189466074,NA,NA,0,NA,NA,0.523074069094162,NA,NA,0.0743517836972098,0.716455238154025,NA,NA,NA,NA,1.59306517258623,NA,NA,1.98164901854356,NA,NA,0,NA,NA
"result.9",9,1922.94503410114,3869.89006820228,8.69174115350867,1.00001762738976,0.599955382863253,NA,NA,0.176263015672762,0.269367340615727,NA,0.232289497856063,NA,NA,0.00915300216023995,NA,NA,0,NA,NA,0.598307233696109,NA,NA,0.00552140388348862,0.891557776238345,NA,NA,NA,NA,2.20106925566305,NA,NA,0.0638662060461265,NA,NA,0,NA,NA
"result.10",10,1852.34026946856,3728.68053893712,14.6751499522513,14.9983208408517,0.599987026248384,NA,NA,0.150123074787111,0.204880037336445,NA,0.0935954976805189,NA,NA,0.0245504461694509,NA,NA,0,NA,NA,0.501752878376432,NA,NA,0.245442958207327,1.04094850298151,NA,NA,NA,NA,1.51219492734611,NA,NA,0.0186395540589074,NA,NA,0,NA,NA
