"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.91846812665,4329.83693625329,4.29414553063764,1.0046468743227,0.599991083349496,NA,NA,0.228771944871192,0.30169644403685,NA,0.112059152886029,NA,NA,0.128556932281053,NA,NA,0.124901737875425,NA,NA,0.573862384445965,NA,NA,0.838800391723926,0.899393111870387,NA,NA,NA,NA,1.83035323583184,NA,NA,4.42409888590485,NA,NA,0.2677150843665,NA,NA
"result.2",2,1381.57006473125,2791.14012946251,19.9996797072474,14.9977887670428,0.200004214164946,NA,NA,0.243668578756921,0.192353536737472,NA,0.034314644563207,NA,NA,0.349750716195618,NA,NA,0.0174629008929972,NA,NA,0.550358602864825,NA,NA,0.0147728108988955,0.0113519080914557,NA,NA,NA,NA,0.0857132031819312,NA,NA,4.43273411374867,NA,NA,0.263744060271516,NA,NA
"result.3",3,1974.90405064897,3977.80810129794,10.0776544460336,11.9510031635286,0.50454389954083,NA,NA,0.233615988629657,0.390674241538848,NA,0.0206036827596683,NA,NA,0.117374279098824,NA,NA,0.217028945874093,NA,NA,0.500165914860653,NA,NA,0.00664898074440444,1.99938731067193,NA,NA,NA,NA,0.0782298650844487,NA,NA,3.69054704936327,NA,NA,4.21174772633574,NA,NA
"result.4",4,941.488134818361,1910.97626963672,19.9996069012719,14.9999532364578,0.200001889018973,NA,NA,0.397961760172352,0.286019210267596,NA,0.0109160984717538,NA,NA,0.699145282856657,NA,NA,0.101159539541746,NA,NA,0.69989249869703,NA,NA,1.91724242778114,0.423571140420887,NA,NA,NA,NA,0.0251646805215817,NA,NA,5.96954528509557,NA,NA,3.87372953800588,NA,NA
"result.5",5,1537.32849494516,3102.65698989032,19.9998628612571,14.9969982252779,0.332367449231293,NA,NA,0.39987737592135,0.289668788953884,NA,0.0813587439179308,NA,NA,0.441213196600447,NA,NA,0.117639677978551,NA,NA,0.500145131803939,NA,NA,1.9993044086863,0.00311700847897521,NA,NA,NA,NA,3.12461261277967,NA,NA,5.84186183232624,NA,NA,1.6758598696872,NA,NA
"result.6",6,983.95579414615,1995.9115882923,12.1194748265546,14.9996549190977,0.200000388512641,NA,NA,0.0766309421394844,0.276255995840303,NA,0.00197457458368925,NA,NA,0.69996619825544,NA,NA,0.15756313933829,NA,NA,0.515575179743565,NA,NA,0.000429267427161775,1.95255164611062,NA,NA,NA,NA,0.0633100813915184,NA,NA,5.99967576867485,NA,NA,5.54051046328194,NA,NA
"result.7",7,1926.80279000239,3881.60558000478,7.84015860888647,7.69483907269837,0.42141995852557,NA,NA,0.312517789738309,0.359874800438688,NA,0.127430845903477,NA,NA,0.261024664914827,NA,NA,0.00487018253653988,NA,NA,0.500001324179277,NA,NA,0.75876102311236,0.914644446223974,NA,NA,NA,NA,5.3524428482926,NA,NA,4.76452330790771,NA,NA,1.03759975591035,NA,NA
"result.8",8,2018.44875092092,4064.89750184183,8.844535585499,6.41462934152744,0.599983477499337,NA,NA,0.253734971365972,0.280053526801998,NA,0.178792093695581,NA,NA,0.339702315889299,NA,NA,0.0164762737159984,NA,NA,0.552201865864122,NA,NA,0.018279843457675,0.968832503267584,NA,NA,NA,NA,0.878134728951565,NA,NA,2.61556019980558,NA,NA,0.495398200264179,NA,NA
"result.9",9,1922.96805709026,3873.93611418052,8.52521037203472,1.00276676058014,0.599874714272678,NA,NA,0.144770504363792,0.220990628076673,NA,0.422916262693985,NA,NA,0.0458582956598048,NA,NA,0.0207935200654318,NA,NA,0.59342895784812,NA,NA,0.0198440376188567,0.838173570220409,NA,NA,NA,NA,1.22093155321956,NA,NA,0.334237688686699,NA,NA,1.19997574559522,NA,NA
"result.10",10,1852.22642292075,3732.4528458415,15.0057315496504,14.9859617818211,0.599975654668364,NA,NA,0.208176802129697,0.291577647810368,NA,0.0435438925604952,NA,NA,0.0131115099531031,NA,NA,0.0735284627551995,NA,NA,0.520355753953891,NA,NA,0.362989646947439,1.52006098265146,NA,NA,NA,NA,4.14229964416609,NA,NA,0.208748899231006,NA,NA,4.98395441675779,NA,NA
