"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2151.66093492919,4319.32186985838,3.96144380888886,1.00006192501168,0.599998548349351,NA,NA,0.110217993297173,0.14791104310955,NA,0.223150984611967,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,1.00735272227992,NA,NA,0.624177194828265,NA,NA,NA,NA,NA
"result.2",2,1381.97501245531,2779.95002491062,19.9999818957287,14.9999919829361,0.200000037914522,NA,NA,0.163278636806008,0.125952831994783,NA,0.29969762333285,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0.00398024575412739,NA,NA,2.22460026958361,NA,NA,NA,NA,NA
"result.3",3,1982.93776886738,3981.87553773475,10.3286005942592,12.0664595744365,0.521121477575564,NA,NA,0.159775446175766,0.180346502002758,NA,0.509471402329601,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0.177551292814314,NA,NA,3.21641189199774,NA,NA,NA,NA,NA
"result.4",4,942.43514004736,1900.87028009472,19.9999999835862,14.9999995631767,0.200000000279594,NA,NA,0.399999984436252,0.232724534097563,NA,0.0113674663194351,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,1.58836563847237e-06,NA,NA,5.01161273267321,NA,NA,NA,NA,NA
"result.5",5,1539.42726116937,3094.85452233874,19.9999756027833,14.9998046535803,0.333994989885581,NA,NA,0.340702994559207,0.202518692795019,NA,0.0732500618086141,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,4.11952244067972,NA,NA,3.21581495793286,NA,NA,NA,NA,NA
"result.6",6,981.591283594988,1979.18256718998,12.0800431539763,14.9999999999998,0.2,NA,NA,0.154498594800525,0.243049838812264,NA,1.3673774602592e-15,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,3.92279747098742,NA,NA,5.99999999999999,NA,NA,NA,NA,NA
"result.7",7,1927.22855107553,3870.45710215106,7.72840447785836,7.42146175208921,0.415818828983892,NA,NA,0.166155126196085,0.195398750174201,NA,0.341972899390712,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,2.07645607383937,NA,NA,1.84343391327095,NA,NA,NA,NA,NA
"result.8",8,2018.55737841705,4053.11475683409,9.00587520466729,6.30440506468206,0.599997425608022,NA,NA,0.164218706118726,0.188438737208763,NA,0.454401658940024,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0.495948883250888,NA,NA,1.58392856229188,NA,NA,NA,NA,NA
"result.9",9,1922.95876059428,3861.91752118855,8.62383921472706,1.00020947984312,0.599999436591702,NA,NA,0.0873335100549072,0.135355657270612,NA,0.21210514611935,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,2.21285117896574,NA,NA,0.0036467077426499,NA,NA,NA,NA,NA
"result.10",10,1853.29526933231,3722.59053866463,14.5229386257938,14.9996947421798,0.599986752080023,NA,NA,0.0642779447655446,0.0885769628661276,NA,0.394254639070717,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0.404772633760988,NA,NA,0.00048705296282861,NA,NA,NA,NA,NA
