"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.95596801265,4321.91193602531,4.31260195352751,1.00281665242422,0.599982110984653,NA,NA,0.273948144373873,0.345625605688118,NA,0,NA,NA,0.180825018018117,NA,NA,0,NA,NA,0.613988620813626,NA,NA,0.619961592614225,1.51346920207739,NA,NA,NA,NA,0,NA,NA,3.70105193758606,NA,NA,0,NA,NA
"result.2",2,1381.50545262824,2783.01090525647,19.9999717183706,14.9999040239386,0.200000019597723,NA,NA,0.265401116924847,0.203627846909662,NA,0,NA,NA,0.484957281570288,NA,NA,0,NA,NA,0.672676739844069,NA,NA,2.0930154625149e-06,1.40720026563734,NA,NA,NA,NA,0,NA,NA,3.15711503769341,NA,NA,0,NA,NA
"result.3",3,1976.5491256683,3973.09825133659,10.0710972229136,12.0109739437636,0.513589354524398,NA,NA,0.222958425028061,0.320504680420838,NA,0,NA,NA,0.164375936549531,NA,NA,0,NA,NA,0.515428169683203,NA,NA,0.000220894135198569,1.96602199418326,NA,NA,NA,NA,0,NA,NA,5.36302751675248,NA,NA,0,NA,NA
"result.4",4,942.702262513503,1905.40452502701,19.9999992103353,14.9999967540762,0.200000001169736,NA,NA,0.310669778999659,0.23676987282463,NA,0,NA,NA,0.59999945925454,NA,NA,0,NA,NA,0.699986599442567,NA,NA,1.0989284110498,1.99989066072927,NA,NA,NA,NA,0,NA,NA,5.99998172419888,NA,NA,0,NA,NA
"result.5",5,1537.64266298018,3095.28532596036,19.9999857101866,14.9999848587768,0.336735774557957,NA,NA,0.399847147077639,0.251621476276767,NA,0,NA,NA,0.599147135536386,NA,NA,0,NA,NA,0.500003760120679,NA,NA,1.99818080494323,0.000156135135967028,NA,NA,NA,NA,0,NA,NA,4.81669571296195,NA,NA,0,NA,NA
"result.6",6,984.972132091328,1989.94426418266,12.1029673326062,14.9999998405344,0.200000000340077,NA,NA,0.0267612023351143,0.17471408436763,NA,0,NA,NA,0.599999955535907,NA,NA,0,NA,NA,0.581609587657489,NA,NA,1.71263517056389e-06,1.60445736514024,NA,NA,NA,NA,0,NA,NA,5.99999987590077,NA,NA,0,NA,NA
"result.7",7,1928.16441931697,3876.32883863394,6.82193596771157,5.33255216324472,0.37910376307882,NA,NA,0.26365025225026,0.285632124632706,NA,0,NA,NA,0.25989215242285,NA,NA,0,NA,NA,0.500143815499176,NA,NA,0.699757632197104,0.886472451293306,NA,NA,NA,NA,0,NA,NA,4.9801466356606,NA,NA,0,NA,NA
"result.8",8,2018.52171773655,4057.04343547311,8.14799713123594,6.68808699456563,0.599985204123583,NA,NA,0.296237976549726,0.311125030561678,NA,0,NA,NA,0.327863533584039,NA,NA,0,NA,NA,0.505414160989991,NA,NA,0.107778759922076,0.550765624835804,NA,NA,NA,NA,0,NA,NA,3.27866865804017,NA,NA,0,NA,NA
"result.9",9,1923.49920336429,3866.99840672857,8.01556899820248,1.00000501546492,0.599966862730815,NA,NA,0.140123583182779,0.221856608683942,NA,0,NA,NA,8.48039920180333e-05,NA,NA,0,NA,NA,0.532080637817568,NA,NA,0.000389160442676663,0.24397947868668,NA,NA,NA,NA,0,NA,NA,0.742658627743006,NA,NA,0,NA,NA
"result.10",10,1852.41184895553,3724.82369791106,14.4056691520737,14.9979417789395,0.599998664060827,NA,NA,0.155247521278419,0.211203940629764,NA,0,NA,NA,0.0125194289036532,NA,NA,0,NA,NA,0.501239694514431,NA,NA,0.306284326647635,1.0793131290695,NA,NA,NA,NA,0,NA,NA,0.264736864885272,NA,NA,0,NA,NA
