"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.49449114394,4312.98898228789,3.74307607229333,5.0353113727651,0.699999999999999,NA,NA,0.0756954152501924,0.179603441058189,0.0653085817351826,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1372.66969029123,2757.33938058246,26.3974313218475,28.3720823508103,0.178310586291936,NA,NA,0.0999544685606483,0.134873243087094,0.0920871221205862,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1982.03235100503,3976.06470201005,10.8502101270946,11.7359460941204,0.524982324070102,NA,NA,0.0603416863728744,0.183946565129615,0.111988376487796,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,937.316725027186,1886.63345005437,26.688143469084,18.9861163538,0.134906239225196,NA,NA,0.0258341074006241,0.0828612205637955,0.053513314869868,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1537.67825646099,3087.35651292199,27.2985392343436,49.9999999999991,0.376358929335482,NA,NA,0.054911506427041,0.0911319427657567,0.0558017578517183,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,978.866313437881,1969.73262687576,11.4146394244625,11.4049104158557,0.100000000000004,NA,NA,0.01,0.0740277142777991,0.0143548766816393,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1927.9644465666,3867.9288931332,7.02810441543773,4.34833990533801,0.368227684229467,NA,NA,0.118543214375893,0.159833470079076,0.0686955457563738,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2020.29442818473,4052.58885636946,8.24107508875013,7.23916827006346,0.633284345785782,NA,NA,0.14136298522738,0.231006043563211,0.115830635301758,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1922.78143367953,3857.56286735906,7.90579272276524,2.00000000000001,0.699999999999999,NA,NA,0.0987040849103969,0.183838151399893,0.0587287499230762,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1852.6833797607,3717.3667595214,15.3505503879102,22.8035212954692,0.642458861860957,NA,NA,0.0989058989757329,0.150831337017678,0.110477022977825,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
