"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2153.90274785665,4315.8054957133,3.4710370702926,6.91963146337443,0.740785215574017,NA,NA,0.0806401081698491,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1388.33945573682,2784.67891147364,20,15,0.136582244558466,NA,NA,0.113382369071339,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1995.17006608066,3998.34013216132,10.0847939473532,12.6245349762706,0.523735299287827,NA,NA,0.114960820845065,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,960.94498269497,1929.88996538994,20,15,0.11731206921656,NA,NA,0.0545441518683784,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1553.85373400756,3115.70746801512,20,15,0.336845887500275,NA,NA,0.0708933171724045,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,1003.2595896156,2014.5191792312,11.1949490240586,10.3846425566379,0.100000000000001,NA,NA,0.0322307555830331,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1937.75323315448,3883.50646630897,6.76579264235409,4.02588151067594,0.352222793627792,NA,NA,0.118309536200939,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2027.46957448063,4062.93914896126,7.9277356287716,7.99601998933861,0.640939706407488,NA,NA,0.158872157908059,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1926.65733026257,3861.31466052515,9.02460668451989,4.4498578131166,0.784541110604856,NA,NA,0.0588537062494983,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1854.64351262074,3717.28702524148,13.8764619380907,15,0.622261094845463,NA,NA,0.123578767454537,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
