"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2147.68457474543,4341.36914949087,4.49171617022607,5.71521372081351,0.738745955050585,NA,NA,0.316639780472468,0.307501745262466,NA,0.0100305841380895,0.335686180925301,NA,0.34326058662136,0.0859739709887281,NA,0.0845334515099248,0.0167703228247138,NA,0.696471931348646,0.522050143381864,NA,1.96812627966814,0.0358400353655625,1.18362861777221,1.27242648134101,NA,NA,0.315127809210646,2.63214968228168,NA,5.79493752363345,1.82365420797609,NA,3.88325518392454,1.87690001120791,NA
"result.2",2,1365.41757835215,2776.83515670429,27.3766592015534,30.4317515916894,0.200057195418361,NA,NA,0.253700482721814,0.127455267938856,NA,0.159107656860178,0.163457555604751,NA,0.462872533434387,0.376870786775012,NA,0.0134720830670342,0.058227776712738,NA,0.688174584120106,0.6069576001462,NA,0.020676416891325,0.292290066366522,0.00313868533349372,1.15161050489557,NA,NA,2.0060760229826,0.222613261143306,NA,3.25199246614769,1.66424978145232,NA,1.20113587329233,0.119317370485907,NA
"result.3",3,1973.6709680812,3993.34193616239,10.5685498135389,11.7877851042404,0.508864321047481,NA,NA,0.497137238570511,0.295266029461962,NA,0.00581141197011971,0.0879311050305209,NA,0.227197299449168,0.117349105044221,NA,0.24402046769965,0.167282920796443,NA,0.501930103370657,0.501467484373314,NA,0.00933931749443944,1.95593623018023,0.00072907805942482,1.99477955040358,NA,NA,0.383342728511477,2.89019628617197,NA,5.802389258455,0.374567558057606,NA,5.32738439849129,2.70181900876696,NA
"result.4",4,923.168675797182,1892.33735159436,27.3285221480524,33.1462363252149,0.200165621657305,NA,NA,0.392463546166809,0.29534048970444,NA,0.00194950491798523,0.0368535722745994,NA,0.400320204930759,0.694530780776404,NA,0.389640825684345,0.144732859322799,NA,0.693907758631266,0.544756200679719,NA,1.95942259171487,0.148625313094776,1.76642351900646,1.48043496659052,NA,NA,0.51743680530272,0.0168035826542212,NA,5.8419536151303,5.97500814590494,NA,5.71397988824174,3.515225508914,NA
"result.5",5,1525.48901586019,3096.97803172038,30.1101168316828,49.7392068894192,0.378645002557314,NA,NA,0.278396370647237,0.296147158343354,NA,0.173393200770445,0.0689994571228866,NA,0.389697254888684,0.584978109171887,NA,0.0700271669033849,0.00920767041723692,NA,0.503612967203716,0.596253403945843,NA,1.95388846974217,0.00554482456956072,1.98237639249594,0.0857804930168501,NA,NA,4.27582463043877,4.69827613793314,NA,4.18922651209509,5.59183934185991,NA,3.72218899250898,4.28227770848351,NA
"result.6",6,982.730793149329,2011.46158629866,12.0622762414399,23.9275518038495,0.200042246546276,NA,NA,0.122040882607808,0.188632661028292,NA,0.0318621514556885,0.0196431881802555,NA,0.693649703885913,0.693015617450805,NA,0.270869254515236,0.118692341656424,NA,0.670875647565456,0.500005186797326,NA,1.38870331258366,0.964060496380316,0.000267424223187725,1.31639500860178,NA,NA,2.6447826584136,0.248838912563314,NA,5.99189347914051,5.9824257762686,NA,5.82263469318902,2.52275596746559,NA
"result.7",7,1926.54623237331,3899.09246474662,8.17071611355341,7.96555599641513,0.423584790881391,NA,NA,0.269985668119971,0.295129560572986,NA,0.366189720636575,0.120372224530004,NA,0.466044993185683,0.302263017115082,NA,0.000174177365985427,0.0196234932402149,NA,0.50008546571753,0.513138281389728,NA,1.67297414178029,0.0415158701923395,0.641733662215227,1.55733468849212,NA,NA,2.70380370769416,4.06635311042725,NA,3.05344597209577,3.35002619214356,NA,0.0904065205814005,0.0544843068346381,NA
"result.8",8,2017.22466745112,4080.44933490223,9.29334495698023,7.29084573705449,0.644623225108046,NA,NA,0.567467240899162,0.202600797105186,NA,0.0416509910690677,0.220808002790611,NA,0.383702203210389,0.587297986175589,NA,0.00682657191520972,0.143921112607935,NA,0.500692003212194,0.576989803068883,NA,0.634451244633464,1.97148048879374,0.0490027908028189,0.252353187278163,NA,NA,2.27979272578394,0.92976419026193,NA,4.62935795355588,1.50478180617345,NA,0.646573401249529,0.555632071103901,NA
"result.9",9,1916.40906808259,3878.81813616518,9.66141362777121,49.99023843594,0.778443219083958,NA,NA,0.160505603931156,0.323033532661731,NA,0.599683091849808,0.102367322733111,NA,0.06846806879621,0.121867617112484,NA,0.00151330983137173,0.0223739310860961,NA,0.696684876034416,0.500335102288889,NA,1.99363199023164,0.0556724455264978,0.00249015947420276,1.99652850321388,NA,NA,5.99830106396557,5.95803409666347,NA,5.77282458547238,4.61120916470681,NA,0.452993972226977,0.484498890150118,NA
"result.10",10,1851.46984170591,3748.93968341182,16.3712381729482,21.7620705023179,0.644381622055499,NA,NA,0.157737043004616,0.340745246006046,NA,0.0776558577631805,0.0374201190357006,NA,0.0167978459496768,0.0131062583066523,NA,0.04384167608805,0.196755800365754,NA,0.515379054002947,0.538856636239454,NA,0.19058658214688,1.34620721178539,0.261038306128726,1.76045593759141,NA,NA,3.36760456860065,1.43997955490352,NA,3.39500230455652,0.179559660916741,NA,0.634992859901896,4.97191224759445,NA
