"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.77852962617,4327.55705925234,4.69643033563411,4.62172866892245,0.75255646447812,NA,NA,0.563773530689909,0.431009846096815,NA,0.137388850142577,NA,NA,0.545375889600701,0.129102297761349,NA,0.0115037190015197,NA,NA,0.51150288451463,NA,NA,1.62799150868819,1.3219870758675,NA,NA,NA,NA,4.75518692859784,NA,NA,5.64092321880162,NA,NA,1.86761108189568,NA,NA
"result.2",2,1366.0752094999,2762.1504189998,27.0811896467286,26.8938610521206,0.174710339046057,NA,NA,0.289926145732827,0.14793992896455,NA,0.160137997059909,NA,NA,0.300968921510503,0.0742383109947649,NA,0.151350878871811,NA,NA,0.633332464151305,NA,NA,0.00704428553581238,0.855145789684629,NA,NA,NA,NA,0.675787457487149,NA,NA,5.6069676822054,NA,NA,0.0186297954060137,NA,NA
"result.3",3,1974.58665198837,3979.17330397675,10.9032237782649,10.8567277211716,0.511617201186604,NA,NA,0.593962111294463,0.395709112356177,NA,0.00600421734491458,NA,NA,0.391334718646097,0.038784621123652,NA,0.139616825189049,NA,NA,0.502854097266739,NA,NA,0.0849939208828034,1.97896273274825,NA,NA,NA,NA,2.41497768634167,NA,NA,5.16373644820191,NA,NA,5.39773525896518,NA,NA
"result.4",4,919.331819379705,1868.66363875941,26.5499434486239,25.4003912068343,0.14136347590078,NA,NA,0.203866695559447,0.3979343766537,NA,0.00897656415420173,NA,NA,0.289044750437594,0.699163640575062,NA,0.1598569089947,NA,NA,0.698909073964091,NA,NA,0.274857418253675,0.0106187932674375,NA,NA,NA,NA,0.0300582095087805,NA,NA,5.97241076898722,NA,NA,5.89323512418196,NA,NA
"result.5",5,1526.72688283843,3083.45376567685,31.8526721522469,31.8243088359392,0.365883920896638,NA,NA,0.459429658834333,0.375057493963989,NA,0.127155912480477,NA,NA,0.375212327664085,0.464526620590742,NA,0.108784201100522,NA,NA,0.50094537699927,NA,NA,1.99298398116436,0.0293562495022377,NA,NA,NA,NA,5.35957876814571,NA,NA,5.48288246309323,NA,NA,3.88952246879334,NA,NA
"result.6",6,969.451406337848,1968.9028126757,11.4410046707025,11.438729258142,0.100347957162921,NA,NA,0.187972816616741,0.220911506107228,NA,0.018263332390275,NA,NA,0.69945208884212,0.699798389353069,NA,1.27251276923635e-05,NA,NA,0.539281595353741,NA,NA,0.00132822439573305,0.922291312454209,NA,NA,NA,NA,0.033683973248148,NA,NA,5.99921607916405,NA,NA,1.41468450939283,NA,NA
"result.7",7,1926.77369542184,3883.54739084369,7.69693480092703,7.31744340102121,0.412705541711004,NA,NA,0.342927313810335,0.32411886718885,NA,0.22526575815283,NA,NA,0.287898477963048,0.210072215264366,NA,0.0103663364369315,NA,NA,0.500820352494061,NA,NA,0.787935863643019,1.03913591998434,NA,NA,NA,NA,2.8717261561295,NA,NA,5.31582211785141,NA,NA,0.131734246853739,NA,NA
"result.8",8,2017.91637492512,4065.83274985023,9.5775231927891,6.87124943196237,0.638046577932005,NA,NA,0.460322078337486,0.354389199253147,NA,0.0832284082941533,NA,NA,0.330972045707424,0.152186162692976,NA,0.012063204460319,NA,NA,0.543632354704186,NA,NA,0.00444382338246546,0.593945225013606,NA,NA,NA,NA,3.28618548824215,NA,NA,4.8630195951633,NA,NA,3.44310779483804,NA,NA
"result.9",9,1920.75230985853,3871.50461971706,9.15973463390694,9.14128496659012,0.773140464888383,NA,NA,0.467436306869432,0.312777623046735,NA,0.208201192926678,NA,NA,0.636779021636321,0.0878393035417939,NA,0.154010374441932,NA,NA,0.536965277662639,NA,NA,0.0169640276765304,0.861360951326787,NA,NA,NA,NA,5.83930213271003,NA,NA,5.86364264460281,NA,NA,0.0271285688504577,NA,NA
"result.10",10,1851.86378650298,3733.72757300596,16.7744484035556,16.7501979680604,0.636345206859481,NA,NA,0.19876586416275,0.292758572684864,NA,0.0596399962149662,NA,NA,0.00732227367620552,0.00455118735920055,NA,0.142890049145543,NA,NA,0.51377285472807,NA,NA,0.363655379218289,1.63658823963006,NA,NA,NA,NA,3.66092917564152,NA,NA,0.20154061108261,NA,NA,3.34275162511177,NA,NA
