"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.23235317703,4318.46470635406,4.84861836510428,4.83711613134098,0.76076962026598,NA,NA,0.0665948321231939,0.286403108148262,NA,0.187204718017014,NA,NA,0,NA,NA,0,NA,NA,0.502051916066557,NA,NA,0.999457324941131,0.123460078668709,NA,NA,NA,NA,3.50442223310728,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1371.69813533616,2763.39627067231,27.1387385700016,27.1356218633579,0.175982208428541,NA,NA,0.136097783545609,0.187919654214907,NA,0.0741163790417189,NA,NA,0,NA,NA,0,NA,NA,0.665615091632634,NA,NA,6.02096163469489e-06,1.55311161444995,NA,NA,NA,NA,2.18129818772837,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1977.21619036237,3974.43238072474,10.7306503113303,10.7302284410053,0.514346940557659,NA,NA,0.131823244678059,0.270885422690388,NA,0.0358596036317333,NA,NA,0,NA,NA,0,NA,NA,0.500417074448959,NA,NA,0.037938414653512,1.66287707001821,NA,NA,NA,NA,3.84788860405623,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,939.591389054281,1899.18277810856,26.6653489440153,17.0191740050882,0.12954211619526,NA,NA,0.0633110040385537,0.129840367654691,NA,0.00105095585113653,NA,NA,0,NA,NA,0,NA,NA,0.641519628544983,NA,NA,0.527755258413555,1.99590482070525,NA,NA,NA,NA,0.000135039223535215,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1534.90070771754,3089.80141543507,32.8697796230894,32.8627307037356,0.375329340366842,NA,NA,0.124550475473572,0.196304660046415,NA,0.0986258290631259,NA,NA,0,NA,NA,0,NA,NA,0.500121940217521,NA,NA,1.09908247568519,0.644292135414375,NA,NA,NA,NA,9.17434205068275,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,978.720154564452,1977.4403091289,11.4049846005345,10.9379035655137,0.100000325489381,NA,NA,0.0173158396095905,0.105033974003243,NA,0.000912338149905329,NA,NA,0,NA,NA,0,NA,NA,0.60945360784883,NA,NA,5.43189355006235e-06,1.71833971483575,NA,NA,NA,NA,0.000773863372192931,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1928.14614876553,3876.29229753105,8.11322417240377,8.09220327932925,0.428565866484208,NA,NA,0.157414354484982,0.29880909147768,NA,0.0879520400990966,NA,NA,0,NA,NA,0,NA,NA,0.500148067153044,NA,NA,0.6355923200256,0.74739480922667,NA,NA,NA,NA,9.33047602038008,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2020.01708997115,4060.03417994231,9.18345103993503,7.01333810788312,0.635597604044571,NA,NA,0.142371444327241,0.251616200350283,NA,0.219399011094568,NA,NA,0,NA,NA,0,NA,NA,0.502642164076815,NA,NA,0.0126946521887183,0.432599982743996,NA,NA,NA,NA,1.11304182938224,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.0254340103,3862.0508680206,9.08272399757635,9.08007756852587,0.774723982810427,NA,NA,0.0560838266722601,0.330941601326625,NA,0.128927876853983,NA,NA,0,NA,NA,0,NA,NA,0.572592646678707,NA,NA,0.00112317279877466,0.942876174764161,NA,NA,NA,NA,9.18833839856024,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1851.98987166004,3723.97974332009,16.7409850887765,16.7366953146249,0.633996511125419,NA,NA,0.161629963962275,0.231710592009361,NA,0.0640107217899515,NA,NA,0,NA,NA,0,NA,NA,0.500562097594135,NA,NA,0.310982625462899,1.21191342595297,NA,NA,NA,NA,3.42786385517188,NA,NA,0,NA,NA,0,NA,NA
