"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.89400592592,4317.78801185184,4.52247330016754,4.52204450364587,0.725035962281013,0.791607583006372,NA,0.0884415139618601,0.289428295069606,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.743610939677583,NA,NA,0.0367050283963682,1.44176652061581,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1377.33109424134,2772.66218848269,19.9999999943198,14.9999999998629,0.152234659751144,0.100000009364811,NA,0.105276625962524,0.216561194941816,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.542898348119276,NA,NA,0.851710750017651,1.42735124544709e-08,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1979.32186095645,3976.6437219129,11.0458413079758,11.0458409510507,0.496414218756046,0.549123990922042,NA,0.09801052376926,0.28265231595906,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000000239658,NA,NA,0.42915623147746,2.99999997290351,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,949.659047869326,1917.31809573865,19.9999999998621,14.9999999983942,0.107172384235691,0.140250079545753,NA,0.0340379783250334,0.0653459180872916,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.596724907966343,NA,NA,1.42481202928012e-09,1.22301230098079,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1539.54280250181,3097.08560500361,19.9999999996487,14.9999999661967,0.281853018978354,0.430526193870042,NA,0.0783735810385185,0.0981354705459068,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000003866294,NA,NA,2.35740166964155,2.30180748140572,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,978.869003122094,1975.73800624419,11.4102871509751,11.4102862896972,0.102464439144174,0.100000000081474,NA,0.00673741390290829,0.049946917765431,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000002164939,NA,NA,2.55477646486434e-09,1.5306640166848,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1925.52933717606,3869.05867435213,6.91324668464818,4.10649094406779,0.412280075842556,0.215953747136562,NA,0.0807088248415199,0.349921178270368,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500003751841694,NA,NA,1.11251036993942,0.370854429896104,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2017.35770852918,4052.71541705836,8.49394124347049,8.49394072464503,0.605275848513641,0.715926313128183,NA,0.220651316958826,0.499999997333339,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000000269267,NA,NA,1.39338075791696,2.99999994328643,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.75202836448,3861.50405672895,8.70567691692033,8.70566825555209,0.77369452453511,0.799977525790524,NA,0.0249285509435397,0.366473139569205,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500004836373837,NA,NA,2.99996241015726,1.11711616728307,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1848.15945102648,3714.31890205296,15.1540224920058,14.999999999465,0.575387819267087,0.713579216988767,NA,0.14034198970727,0.127079624704625,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000000026546,NA,NA,8.66098467482394e-10,2.99999999829869,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
