"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2154.1297474931,4316.25949498621,3.69306496157427,3.69306406786399,0.731277407304139,NA,NA,0.0683606003407485,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1388.33945573696,2784.67891147392,19.9999999999951,14.9999999998536,0.136582354612987,NA,NA,0.0939900308021908,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1995.34418150155,3998.6883630031,10.5567827431075,10.5567825807862,0.5171918703155,NA,NA,0.101791964584712,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,960.944982695045,1929.88996539009,19.9999999999922,14.9999999997756,0.11731202407028,NA,NA,0.0337068769295217,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1553.85373400826,3115.70746801651,19.9999999999159,14.9999999990887,0.336846072932835,NA,NA,0.0471443893951387,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,1003.2595896156,2014.5191792312,11.194948958212,10.3846408243399,0.1,NA,NA,0.0181644684221164,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1937.7532331545,3883.50646630899,6.76579719891242,4.02588294812362,0.352222816540988,NA,NA,0.100961077049553,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2027.94409188181,4063.88818376362,8.00794602386642,8.00794518186579,0.670292606176468,NA,NA,0.13999999094387,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1926.65733026259,3861.31466052518,9.02460965056573,4.44983529945083,0.784540838839565,NA,NA,0.0370612376937491,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1854.69729155468,3717.39458310935,14.9999954872537,14.9999952282776,0.626971935586006,NA,NA,0.110063870248877,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
