"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.17846917964,4312.35693835927,4.3197599607662,4.31975724029236,0.753346210711177,0.730598553220503,NA,0.343390655560966,0.699999896610697,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,4.25100022421196,NA,NA,0,NA,NA
"result.2",2,1367.18577899081,2748.37155798162,26.6532546479481,24.9999999996583,0.187633010068122,0.141673346773988,NA,0.229823573985552,0.21430925098169,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.79147492320566,NA,NA,0,NA,NA
"result.3",3,1982.16298150669,3978.32596301337,10.5953032370798,10.5952914366716,0.509950265339676,0.549555829155275,NA,0.309397289533144,0.459852177804746,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,2.54719149600293,NA,NA,0,NA,NA
"result.4",4,925.30184739889,1864.60369479778,26.5499183956561,24.9999999947065,0.152802970207852,0.159003045324809,NA,0.242589818291552,0.144831485723942,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,4.33388961874099,NA,NA,0,NA,NA
"result.5",5,1530.82125282202,3075.64250564404,26.7866289613298,24.9999999983983,0.323665204234285,0.432991506816355,NA,0.274506045177753,0.12853029417881,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,3.03372295976051,NA,NA,0,NA,NA
"result.6",6,966.905410661712,1947.81082132342,11.5083858122405,11.5083857417508,0.110233153543735,0.10986009963662,NA,0.172435881382087,0.170524122793949,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,6.56512547792552,NA,NA,0,NA,NA
"result.7",7,1924.55711467928,3863.11422935856,6.76726522296279,2.79129720095567,0.420566116861966,0.104070896249272,NA,0.237973798295379,0.521813314740385,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,2.34118708568084,NA,NA,0,NA,NA
"result.8",8,2019.03237822458,4052.06475644915,8.25271884666448,7.75666185448732,0.63065817941916,0.673441316417532,NA,0.409722502600173,0.699999999998276,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.94638594646919,NA,NA,0,NA,NA
"result.9",9,1921.73009728734,3857.46019457467,8.57717542148731,8.57716589326266,0.773669583405921,0.799059197617389,NA,0.173597004041284,0.435805976251602,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,4.69515893607117,NA,NA,0,NA,NA
"result.10",10,1851.59337457481,3717.18674914962,17.1444935923817,17.1444849714669,0.59644592762824,0.725333160907258,NA,0.113544117145824,0.132910769633881,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0.119004447715703,NA,NA,0,NA,NA
