"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.20528795017,4314.41057590035,4.50355238562156,4.50355205949201,0.758837954790546,0.734773046068742,NA,0.0260494830544162,0.264470319473925,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.142544842326585,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1380.20181031109,2774.40362062217,20,14.9999999999999,0.15548718749276,0.100000000000105,NA,0.0892398099895165,0.168793231072891,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.660875966400831,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1982.94721038074,3979.89442076148,11.0354167607685,11.035416756518,0.511569478754997,0.559814759184199,NA,0.0878657186179153,0.330286754952007,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.19015182986778,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,951.445932644829,1916.89186528966,19.9999999999999,15,0.109421874505706,0.134678929807831,NA,0.0247519872914195,0.0556726347534364,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.97573275853326e-13,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1539.54440445731,3093.08880891462,19.9999999999999,14.9999999999999,0.281868292369272,0.430352090546415,NA,0.0779318219328877,0.0972645201442992,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.34585594858655,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,979.036679494048,1972.0733589881,11.4268693182464,11.3397064195035,0.103297491695444,0.100000000000051,NA,0.00594219845264295,0.0500052323941293,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,3.64754960370212e-13,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1925.83463882386,3865.66927764771,6.86437430642377,4.30365123175154,0.415515206630027,0.219657574076465,NA,0.0748159552623214,0.304334360594464,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.01993636035591,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2018.26984337565,4050.53968675129,8.21287207447663,8.2128720121519,0.606473442360997,0.736095251662236,NA,0.214743585546954,0.499999999733125,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.00091940116515,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.79789485429,3857.59578970858,8.71172957096715,8.71172949188025,0.776562039185269,0.799783751241494,NA,0.0191609443137995,0.280240343861951,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.99999705705654,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1851.49832769925,3716.99665539851,15.6388392830253,14.9999999999999,0.587321984166632,0.71615810562115,NA,0.122557713066295,0.148088309309502,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.516253269483391,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
