"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.29733315612,4316.59466631224,4.32553291910687,4.32518117654143,0.747125854370177,0.740574677540891,NA,0.255882591713835,0.499994844077396,NA,0.974163511804003,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.12699738194003,NA,NA,NA,NA,NA,0,NA,NA,3.48553779526681,NA,NA,0,NA,NA
"result.2",2,1374.46497322668,2766.92994645335,19.999394140653,14.9999221149546,0.155077392329437,0.101269288077122,NA,0.306141284208065,0.276535971997303,NA,0.295738314155811,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.97857410674745,NA,NA,NA,NA,NA,0,NA,NA,6.43397457987638,NA,NA,0,NA,NA
"result.3",3,1981.2611193844,3980.5222387688,10.9515131044904,10.9490406011382,0.508520837513391,0.568781847993125,NA,0.321026577957934,0.499623599120266,NA,0.803347280114136,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.84365972193474,NA,NA,NA,NA,NA,0,NA,NA,2.67620006690925,NA,NA,0,NA,NA
"result.4",4,937.642078979475,1893.28415795895,19.9999971586874,14.9999476461308,0.13937380996078,0.121514263138701,NA,0.233350238336472,0.153166603998858,NA,0.883652734781008,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.00035382269200043,NA,NA,NA,NA,NA,0,NA,NA,4.79394989635792,NA,NA,0,NA,NA
"result.5",5,1531.83965702789,3081.67931405579,19.99998951319,14.9999381173995,0.287844942069713,0.410406472367269,NA,0.459060262416343,0.217349363268867,NA,0.324176241717398,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,3.19114804812391,NA,NA,NA,NA,NA,0,NA,NA,9.2253036246406,NA,NA,0,NA,NA
"result.6",6,966.905592159716,1951.81118431943,11.5039738403218,11.5036440993364,0.110265043295955,0.109734803727404,NA,0.17197661045861,0.170238430690892,NA,0.988107379078025,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.000466724363371106,NA,NA,NA,NA,NA,0,NA,NA,6.6356235510748,NA,NA,0,NA,NA
"result.7",7,1923.77837062175,3865.55674124351,6.76280227048093,3.49894060220639,0.405646761357126,0.173219239983551,NA,0.244589875090422,0.499772481113026,NA,0.380608170097547,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.19163746123676,NA,NA,NA,NA,NA,0,NA,NA,5.03508984033888,NA,NA,0,NA,NA
"result.8",8,2018.06005775776,4054.12011551553,8.230162560831,8.22738750447919,0.605913122586721,0.741958195001026,NA,0.341281575501275,0.49999672491305,NA,0.0990560614321058,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.99465455860812,NA,NA,NA,NA,NA,0,NA,NA,7.73323120597196,NA,NA,0,NA,NA
"result.9",9,1921.67956388901,3861.35912777802,8.71708986445658,8.7163142112288,0.774317087422476,0.795002741116413,NA,0.145085322182366,0.494055072863829,NA,0.875403063277768,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,8.08603168555346,NA,NA,NA,NA,NA,0,NA,NA,4.34785409671538,NA,NA,0,NA,NA
"result.10",10,1851.49444194765,3720.9888838953,15.6947330488495,14.9999942470999,0.587479008691697,0.715784666645828,NA,0.138613621149503,0.157268789580494,NA,0.887186300337068,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.75555306828159,NA,NA,NA,NA,NA,0,NA,NA,0.191913930583263,NA,NA,0,NA,NA
