"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.90474043044,4319.80948086089,4.55013743478963,4.54888236324497,0.751628313335868,0.750525843516375,NA,0.276068886900882,0.499991939596424,NA,0.99928178465369,0.170301669531397,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.209276941278561,1.14725682733105,NA,3.61590749864151,NA,NA,0,NA,NA
"result.2",2,1375.20976692812,2772.41953385624,19.9996065696901,14.9998955488426,0.157007073425099,0.101427218741395,NA,0.376965025448973,0.177393737915171,NA,0.946275502144777,0.343940948175923,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,3.70585865497314,0.000685073668445143,NA,2.4795061340528,NA,NA,0,NA,NA
"result.3",3,1981.58891917249,3985.17783834497,10.7272811640108,10.7265683259228,0.517791433425217,0.548864100296545,NA,0.399955396035092,0.491283727417702,NA,0.994707529071904,0.443734163825041,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.00463887986300835,0.855344745880916,NA,3.09453748254953,NA,NA,0,NA,NA
"result.4",4,930.591288613227,1883.18257722645,19.9993254875283,14.9991131935609,0.111611691492063,0.155161415851601,NA,0.0820206131737234,0.281500978938809,NA,0.202437272709208,0.9119961390157,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.000284580160373226,0.00292564878579785,NA,9.58961995310297,NA,NA,0,NA,NA
"result.5",5,1537.50071316217,3097.00142632433,19.9999837139983,14.9999009516004,0.294402646934481,0.424813500742001,NA,0.234603783986379,0.255219743288834,NA,0.386168725247057,0.97030309567467,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.491511029770171,8.97211383639591,NA,6.36377608070524,NA,NA,0,NA,NA
"result.6",6,966.576173398545,1955.15234679709,11.5733968184888,11.5702178390015,0.11830564215079,0.102355904309838,NA,0.356361424644946,0.152964636213199,NA,0.941674392339655,0.620187027937665,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,7.71317499396424,0.00798413467347492,NA,9.05888637622455,NA,NA,0,NA,NA
"result.7",7,1922.73261841003,3867.46523682005,7.68695866473799,3.64139656220183,0.439468718298847,0.178927332297885,NA,0.37335523911485,0.499865909945842,NA,0.839999206201853,0.414167091347282,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,4.77790369609069,0.907105001870008,NA,2.75618482209694,NA,NA,0,NA,NA
"result.8",8,2019.44922986775,4060.8984597355,8.24607880448165,7.75291862638433,0.632678530105827,0.681851249808902,NA,0.438837479768903,0.499973315810942,NA,0.994130040088979,0.363859579728981,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.249044165732624,0.109407808249685,NA,2.08878000164017,NA,NA,0,NA,NA
"result.9",9,1918.96076245597,3859.92152491194,10.8830852419268,10.8778702962878,0.77920721196912,0.783674607115889,NA,0.499552634620344,0.499921039492486,NA,0.224606416909704,0.175972866732646,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,9.87351714129164,1.54226835455219,NA,4.70704440835584,NA,NA,0,NA,NA
"result.10",10,1851.60555471332,3725.21110942664,15.9057170201375,14.9990315463648,0.588879909458492,0.7173827684746,NA,0.139782022021636,0.138045494086142,NA,0.893256432121739,0.653920367903079,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,2.51738558712751,0.233323101883697,NA,0.180904831514281,NA,NA,0,NA,NA
