"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.78726346478,4325.57452692956,4.64393487209353,4.62166036755159,0.754822178805803,0.761406346358053,NA,0.496986967770833,0.499988193812984,NA,0.632261685550385,0.0766217567100805,NA,0.192686542053081,NA,NA,0,NA,NA,0.5,NA,NA,4.59203485041594,NA,0.00230531051059624,NA,NA,NA,0.0109223992401335,6.08375384863378,NA,6.03803454893803,NA,NA,0,NA,NA
"result.2",2,1373.35095887292,2774.70191774584,19.999569458479,14.9995767119297,0.157401427096595,0.100826506033147,NA,0.423070499757554,0.215761534782206,NA,0.511567860256055,0.185781318153927,NA,0.28189065626209,NA,NA,0,NA,NA,0.5,NA,NA,2.07933799683651,NA,1.26001103383651,NA,NA,NA,1.25387700299919,0.0123177575804334,NA,4.28750500133872,NA,NA,0,NA,NA
"result.3",3,1980.05599843861,3988.11199687721,10.9896586174523,10.9704846405769,0.517614489258223,0.574429615856034,NA,0.499803312001929,0.481050782671374,NA,0.231078982586041,0.00264862671794166,NA,0.169745548241509,NA,NA,0,NA,NA,0.5,NA,NA,2.07707731414838,NA,1.59307881529683,NA,NA,NA,0.00491029764452746,3.57936417225681,NA,12.1601529182706,NA,NA,0,NA,NA
"result.4",4,930.643866980364,1889.28773396073,19.9979127114862,14.99827111376,0.112725403329732,0.15919307944671,NA,0.0769618138134222,0.288182332157989,NA,0.207099770085247,0.981413865998096,NA,0.918857168406248,NA,NA,0,NA,NA,0.5,NA,NA,0.22307538911515,NA,0.817249728722788,NA,NA,NA,0.0024417513601742,0.237660243568244,NA,8.99652116459532,NA,NA,0,NA,NA
"result.5",5,1529.02133443691,3086.04266887382,19.9977924711425,14.9986492161889,0.284665852965448,0.426928598839619,NA,0.379874732688491,0.497773102071784,NA,0.133363773221142,0.449549509570485,NA,0.0962630568045344,NA,NA,0,NA,NA,0.5,NA,NA,3.28173212506908,NA,4.34289369551996,NA,NA,NA,5.43240117067928,3.6482781551025,NA,15.0524554990755,NA,NA,0,NA,NA
"result.6",6,966.590802819281,1961.18160563856,11.6056371617877,11.6032789469698,0.117453258716252,0.102057698788806,NA,0.313766523324686,0.157631694791382,NA,0.865504806188888,0.594285492616175,NA,0.220273790662261,NA,NA,0,NA,NA,0.5,NA,NA,0.208713512566503,NA,5.39035605554453e-05,NA,NA,NA,9.86659843217849,0.114942620250509,NA,9.75524288829415,NA,NA,0,NA,NA
"result.7",7,1919.12161459226,3866.24322918453,7.63976842268078,3.87763834054112,0.424173508229866,0.189272925221504,NA,0.482034281578951,0.497940255561478,NA,0.156442592597227,0.236533842062426,NA,0.141467603493153,NA,NA,0,NA,NA,0.5,NA,NA,4.80868188120756,NA,0.00323345256085776,NA,NA,NA,5.19957310849917,4.91361506515145,NA,5.05169022704995,NA,NA,0,NA,NA
"result.8",8,2015.70519167686,4059.41038335373,8.90448624943116,8.88682953771584,0.635502750187302,0.693654548778723,NA,0.422469258704699,0.499980781710999,NA,0.131290169677213,0.999485305286926,NA,0.062258775011864,NA,NA,0,NA,NA,0.5,NA,NA,4.8489027208684,NA,4.3820651983561,NA,NA,NA,9.9825023743324,8.68737481256927,NA,1.01158176854714,NA,NA,0,NA,NA
"result.9",9,1917.9857613221,3863.9715226442,11.5468791847684,11.5349885241802,0.770434988584524,0.783521304684545,NA,0.499292114924609,0.49954305319046,NA,9.90590434063819e-05,0.741405950018213,NA,0.481945451702171,NA,NA,0,NA,NA,0.5,NA,NA,4.99505762919064,NA,0.784242565819746,NA,NA,NA,9.98747735141098,9.99464888299357,NA,0.959403784396056,NA,NA,0,NA,NA
"result.10",10,1851.31604268024,3730.63208536048,16.076444058359,14.9989531530183,0.589058815345177,0.718326737715234,NA,0.162593073793687,0.19463177602577,NA,0.220604638064189,0.59868762736427,NA,0.436345672748462,NA,NA,0,NA,NA,0.5,NA,NA,1.18833592394367,NA,3.15220974099857,NA,NA,NA,0.904859176893527,0.446874282621751,NA,0.63071347307843,NA,NA,0,NA,NA
