"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.33560511559,4320.67121023119,4.52061431105447,4.51576972693239,0.754212021316553,0.741844165711001,NA,0.30785885211757,0.99991987352915,NA,0.997055494087151,0.73071022083287,NA,0.45406607810358,NA,NA,0,NA,NA,0.5,NA,NA,0.0163625509312886,NA,NA,NA,NA,NA,8.33758441411692,NA,NA,3.93563576973975,NA,NA,0,NA,NA
"result.2",2,1364.86751466603,2753.73502933205,26.8219293779764,25.6118156138695,0.191101818046106,0.140949312235962,NA,0.387902746823412,0.219094387710352,NA,0.240517599262222,0.0968143271747977,NA,0.0238336641886292,NA,NA,0,NA,NA,0.5,NA,NA,0.571756120491007,NA,NA,NA,NA,NA,7.46993159819503,NA,NA,9.70266199174857,NA,NA,0,NA,NA
"result.3",3,1980.61098680069,3985.22197360139,11.1442214439493,11.1274762590033,0.534489059003795,0.570279876228999,NA,0.765338132895413,0.441156787515397,NA,0.177868620026857,0.0101033596013495,NA,0.80280888712641,NA,NA,0,NA,NA,0.5,NA,NA,8.9667818886637,NA,NA,NA,NA,NA,0.205517376222133,NA,NA,19.9278788532794,NA,NA,0,NA,NA
"result.4",4,917.468798017138,1858.93759603428,26.6064822714833,26.5934758494162,0.129144896959142,0.194666442171559,NA,0.0862178616092805,0.293109685902246,NA,0.143778427250837,0.674546086407355,NA,0.00274303603700692,NA,NA,0,NA,NA,0.5,NA,NA,0.00356239803111389,NA,NA,NA,NA,NA,0.0958614992797602,NA,NA,14.555545804438,NA,NA,0,NA,NA
"result.5",5,1518.51060467033,3061.02120934067,31.7562259380119,31.7411620391426,0.333150994326323,0.452609315159502,NA,0.422052299982855,0.447820926089119,NA,0.148688375251368,0.458205816292789,NA,0.571945223204333,NA,NA,0,NA,NA,0.5,NA,NA,7.41670144069461,NA,NA,NA,NA,NA,1.73242171113469,NA,NA,12.3668535296865,NA,NA,0,NA,NA
"result.6",6,966.658142417702,1957.3162848354,11.4746656859806,11.4661403052472,0.11702314145317,0.101592250513587,NA,0.265269675267637,0.165733542764977,NA,0.722196863425985,0.518028621436512,NA,0.218902485948317,NA,NA,0,NA,NA,0.5,NA,NA,0.0048175458926224,NA,NA,NA,NA,NA,0.0335028599827439,NA,NA,11.7734209085112,NA,NA,0,NA,NA
"result.7",7,1920.0350240739,3864.0700481478,8.41130694090626,3.49494170505325,0.443474692836603,0.169306424831493,NA,0.487935895829861,0.988608018810651,NA,0.471565553258816,0.779708082089201,NA,0.65283602928304,NA,NA,0,NA,NA,0.5,NA,NA,9.81060721639338,NA,NA,NA,NA,NA,4.2395616086609,NA,NA,2.87660787414138,NA,NA,0,NA,NA
"result.8",8,2015.00132859494,4054.00265718988,9.05906657658949,8.32721586799182,0.637915294171204,0.672459550291136,NA,0.544803351609923,0.999970826553799,NA,0.183987988857552,0.963079478281168,NA,0.185056882374953,NA,NA,0,NA,NA,0.5,NA,NA,6.14849856541263,NA,NA,NA,NA,NA,4.33359132719758,NA,NA,2.54558128604886,NA,NA,0,NA,NA
"result.9",9,1915.67472545359,3855.34945090719,11.7140961101376,11.7140786840419,0.772030461948862,0.784929355299332,NA,0.999806888296508,0.999771828707776,NA,0.000120978007824532,0.837982791918527,NA,0.309402055078292,NA,NA,0,NA,NA,0.5,NA,NA,19.9992323259306,NA,NA,NA,NA,NA,19.9871120222856,NA,NA,2.02557889948166,NA,NA,0,NA,NA
"result.10",10,1851.10549261864,3726.21098523728,18.3751794087948,18.3220397137595,0.602850137551037,0.729372182901088,NA,0.177751323354989,0.203772018882347,NA,0.337521788591156,0.378569610056816,NA,0.940739833138322,NA,NA,0,NA,NA,0.5,NA,NA,17.4170502541741,NA,NA,NA,NA,NA,0.47694995559348,NA,NA,0.756697769586399,NA,NA,0,NA,NA
