"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.99702616626,4317.99405233251,4.43797208335483,4.32329416283456,0.755545008993116,0.736872270382853,NA,0.456465061149516,0.980943471092363,NA,0.735728725050536,0.981039535286278,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.67989207572805,NA,NA,NA,NA,NA,0,NA,NA,5.59280308357833,NA,NA,0,NA,NA
"result.2",2,1364.99455373608,2749.98910747216,26.6130144461728,25.8366422305828,0.191126363085422,0.137412124310056,NA,0.352239255083116,0.186669810623343,NA,0.22265337509069,0.0541122460857431,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.589429626706867,NA,NA,NA,NA,NA,0,NA,NA,10.2708291531125,NA,NA,0,NA,NA
"result.3",3,1980.57001309805,3981.1400261961,10.9074580231403,10.8879951730088,0.520194065277081,0.565634793595596,NA,0.544114279847182,0.353113468049737,NA,0.196603511869721,0.00168509264035338,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.60745359368553,NA,NA,NA,NA,NA,0,NA,NA,15.5440682946286,NA,NA,0,NA,NA
"result.4",4,917.427407248578,1854.85481449716,26.5772073041068,26.5744048030824,0.130941797449571,0.190194983289043,NA,0.0865699269966556,0.282629173610455,NA,0.131832720117786,0.586543590045664,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.00163505062912551,NA,NA,NA,NA,NA,0,NA,NA,16.1103181187368,NA,NA,0,NA,NA
"result.5",5,1520.63875674892,3061.27751349784,29.4923225221944,29.4685309423434,0.319938553583258,0.459171741996884,NA,0.305813202436699,0.359095690520698,NA,0.106903886483894,0.333129997967635,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.88807667651588,NA,NA,NA,NA,NA,0,NA,NA,19.5597323356196,NA,NA,0,NA,NA
"result.6",6,966.606936150399,1953.2138723008,11.5185875347111,11.518174623726,0.116980174539428,0.101611125582905,NA,0.244950074877581,0.15448940491667,NA,0.771107847154535,0.538796216078472,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,8.79232606798595e-05,NA,NA,NA,NA,NA,0,NA,NA,10.5739246864314,NA,NA,0,NA,NA
"result.7",7,1920.77262534841,3861.54525069683,6.87666922839588,2.80143647791685,0.394709831044655,0.107276165419373,NA,0.207938412292446,0.570912208193132,NA,0.261606868284352,0.997039431965826,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.92796534905701,NA,NA,NA,NA,NA,0,NA,NA,2.66596746909045,NA,NA,0,NA,NA
"result.8",8,2015.28259305214,4050.56518610428,8.54882409364061,8.54858087533225,0.624500160640743,0.675236037021019,NA,0.394896243663461,0.999999597372779,NA,0.248965654449224,0.999951041543957,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.64127195779535,NA,NA,NA,NA,NA,0,NA,NA,2.75921621050248,NA,NA,0,NA,NA
"result.9",9,1921.10556628761,3862.21113257521,8.88928666956563,8.88819025599456,0.781164581011946,0.784412515569202,NA,0.999628683959448,0.311155837673142,NA,0.999483322966358,0.185987191977758,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.63086802011501,NA,NA,NA,NA,NA,0,NA,NA,9.94299057160849,NA,NA,0,NA,NA
"result.10",10,1851.29262402609,3722.58524805218,17.6112940961794,17.6072638460816,0.59986232589871,0.728846923793993,NA,0.13069207618062,0.155898600870057,NA,0.220659752312348,0.122391784968125,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.732375150083574,NA,NA,NA,NA,NA,0,NA,NA,0.558896487091997,NA,NA,0,NA,NA
