"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1544.69926310744,3103.39852621489,5.35460024834986,5.35460012410355,0.751776903115436,0.748257636619101,NA,1.88328350103995e-10,0.139999999470589,0.00262312075846773,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1209.30275245441,2432.60550490882,20,15,0.142481370587712,0.100000000000001,NA,0.0734907487842259,0.133086906083437,0.0690173508715403,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1396.25113353382,2806.50226706764,9.12498576455929,9.12498576408329,0.401477281158424,0.488918696795297,NA,0.0368963334687193,0.139999999960404,0.0982634663035937,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,694.141331243419,1402.28266248684,20,15,0.100000000000001,0.11217348896138,NA,0.0150632735404382,0.0570133467982684,0.0306608824396775,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1389.36546339731,2792.73092679463,20,14.9999999999999,0.266158109995706,0.39033354095391,NA,0.0399897819094493,0.0594547060501386,0.04187909409471,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,462.655544711337,939.311089422674,11.8229892448189,11.8229892443606,0.1,0.100000000003495,NA,1.31654792664398e-13,0.0435269883441797,0.000944716621842092,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1254.03267981054,2522.06535962108,7.79826218675538,7.79826216555108,0.368252009888881,0.260468592175685,NA,0.0647725500954076,0.139999999994634,0.0243953347310314,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,806.350986111242,1626.70197222248,7.46357272072779,7.46357271711904,0.365515447013287,0.655487895422785,NA,0.120579974692381,0.139999999992777,0.108788604366415,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1386.4821643946,2786.96432878919,10.5741834685251,10.5741834494406,0.746855577262257,0.773258165676917,NA,0.012550123572753,0.0993216398582418,2.02929999279481e-11,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1061.99612786558,2137.99225573116,16.082687461166,14.9999999999995,0.534205482755898,0.630408391056419,NA,0.0635124664652849,0.127346890528757,0.0490609690849015,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
