"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1542.14770296604,3102.29540593209,5.91326654528473,5.91323399979449,0.760941735836709,0.606417875348266,NA,1.58801006978629e-07,0.699984901427512,NA,0,NA,NA,0.376636927129689,NA,NA,0,NA,NA,0.5,NA,NA,1.38493725597107e-05,NA,NA,NA,NA,NA,1.65599911479567,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1199.81364133263,2417.62728266526,29.2032166987301,14.999991192607,0.148870938618755,0.100003309150432,NA,0.116045717318111,0.213880967762133,NA,0,NA,NA,0.194279495132974,NA,NA,0,NA,NA,0.5,NA,NA,0.727932927212825,NA,NA,NA,NA,NA,2.0041035660577,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1396.5144581791,2811.02891635821,8.9556803963464,8.95567480393431,0.405337084198006,0.426915152522565,NA,0.0883251636113559,0.313284100794106,NA,0,NA,NA,0.000453789632811207,NA,NA,0,NA,NA,0.5,NA,NA,1.52915935842284,NA,NA,NA,NA,NA,0.00418978055875414,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,686.710218138765,1391.42043627753,26.9964878202669,14.9999999995879,0.100000000000711,0.1193683500378,NA,0.0246267542410085,0.0594099411455925,NA,0,NA,NA,2.56734233426798e-07,NA,NA,0,NA,NA,0.5,NA,NA,1.96091566785261e-10,NA,NA,NA,NA,NA,5.94294308440041e-05,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1377.61471698006,2773.22943396011,29.2321070098842,14.9999971835867,0.288453143266926,0.411601298679541,NA,0.127274922925311,0.170356780379131,NA,0,NA,NA,0.104710915174838,NA,NA,0,NA,NA,0.5,NA,NA,2.65301572254642,NA,NA,NA,NA,NA,8.16740992891268,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,462.727222191492,943.454444382984,11.7889755495596,11.7889754825734,0.100000000181064,0.100000003948443,NA,1.10510355329501e-09,0.0434794360029673,NA,0,NA,NA,1.19157049067578e-05,NA,NA,0,NA,NA,0.5,NA,NA,3.29854592112315e-07,NA,NA,NA,NA,NA,0.00377154591922434,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1253.92421374348,2525.84842748695,8.60392768261099,8.599615865231,0.374469109573875,0.239456935440079,NA,0.0739850027987959,0.333545310008242,NA,0,NA,NA,0.0787740030198904,NA,NA,0,NA,NA,0.5,NA,NA,0.967252041690157,NA,NA,NA,NA,NA,5.26716981459934,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,802.090480761296,1622.18096152259,8.4008858854643,8.40083898136322,0.375003044405909,0.549455819659429,NA,0.222063094182718,0.679153014494746,NA,0,NA,NA,0.0393305842292588,NA,NA,0,NA,NA,0.5,NA,NA,2.13051265799215,NA,NA,NA,NA,NA,4.97062369349734,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1385.02893260986,2788.05786521972,11.8334330041845,11.8333422124424,0.721503676546041,0.799999699492002,NA,0.217921756378895,0.699984743207155,NA,0,NA,NA,0.295887655377188,NA,NA,0,NA,NA,0.5,NA,NA,4.99998683410161,NA,NA,NA,NA,NA,9.99967557530915,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1060.97508468295,2139.9501693659,17.0334677049755,14.9998308515114,0.535042331557841,0.64088400140619,NA,0.10648873763457,0.245832774626246,NA,0,NA,NA,0.332469982871079,NA,NA,0,NA,NA,0.5,NA,NA,1.9653573141928,NA,NA,NA,NA,NA,1.49411127971498,NA,NA,0,NA,NA,0,NA,NA
