"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1541.65372492216,3103.30744984431,5.89485816184365,5.89316203635764,0.75259308169379,0.60881063240687,NA,0.470218339688904,0.99964469138086,NA,0.999930717572681,0.177973951403253,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.750773895113299,NA,NA,8.95241787879185,NA,NA,0,NA,NA
"result.2",2,1192.59989834867,2405.19979669734,28.1295231649203,28.1166020935884,0.176992692077389,0.143498184011544,NA,0.250730570950645,0.202915953910317,NA,0.826309592121386,0.980710420521766,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,2.98478343748223,NA,NA,1.82477118186952,NA,NA,0,NA,NA
"result.3",3,1394.72222763715,2809.4444552743,8.52596659035628,8.51742119279867,0.395452425848134,0.407254596822064,NA,0.478184808943291,0.248038592423843,NA,0.779431226063687,0.0625943866129882,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.0528332594137972,NA,NA,4.28460539312967,NA,NA,0,NA,NA
"result.4",4,664.296393419572,1348.59278683914,26.5090228890141,26.50046367033,0.103495742405231,0.165914563182385,NA,0.0972537845992218,0.298293016271621,NA,0.183545512705587,0.772116006262204,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.00119645324385834,NA,NA,12.7803198747937,NA,NA,0,NA,NA
"result.5",5,1371.14217020496,2762.28434040992,29.3454135208156,29.2757945369795,0.301378002640625,0.431863879469524,NA,0.305022400087902,0.269863506874488,NA,0.168498450746386,0.416502928664161,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.696095767586564,NA,NA,15.5409990204498,NA,NA,0,NA,NA
"result.6",6,456.161172289535,932.32234457907,12.0458223535729,12.0457905649415,0.10000050285175,0.131665953045103,NA,0.205442164705578,0.180362235637028,NA,0.892537249922875,0.999981397225727,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,9.99301578595196,NA,NA,9.3928403091443,NA,NA,0,NA,NA
"result.7",7,1253.33313395206,2526.66626790411,9.41747926247779,9.39630183024391,0.400320390101205,0.228410135270394,NA,0.189220954294082,0.29985606384729,NA,0.769278756117148,0.994571001437507,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,6.74323437369698,NA,NA,1.34931977456776,NA,NA,0,NA,NA
"result.8",8,804.102764690085,1628.20552938017,7.59095160627051,7.58671899126337,0.367099337740767,0.522377539612006,NA,0.154590296929152,0.987315836961834,NA,0.994204025823494,0.234057391842981,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.25059771843659,NA,NA,0.435011256274557,NA,NA,0,NA,NA
"result.9",9,1384.31600225136,2788.63200450271,12.5741205185185,12.5740562031263,0.740724598038661,0.756287488440742,NA,0.327122664758418,0.996974860358767,NA,7.12324186042944e-07,0.812546938853692,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,9.99998330517161,NA,NA,3.43541196568743,NA,NA,0,NA,NA
"result.10",10,1061.73734179669,2143.47468359339,18.1078461209671,18.0989558403231,0.553348539332907,0.638084220267192,NA,0.069845647089398,0.193557092745032,NA,0.133120003315022,0.033480695859376,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.542393946321837,NA,NA,0.24821341124369,NA,NA,0,NA,NA
