"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1542.12610783074,3106.25221566148,5.88832721961359,5.88550198836721,0.742705927663629,0.599697294776228,NA,0.499418358551338,0.499526173390675,NA,0.532225709399021,0.0921519767894787,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.97921437017715,NA,1.85580840254303e-05,NA,NA,NA,0,NA,NA,9.91256549488753,NA,NA,0,NA,NA
"result.2",2,1201.90377453606,2425.80754907211,19.9998612258105,14.9984882367273,0.141477035298985,0.100026764630813,NA,0.370444735036658,0.22787016788791,NA,0.781888654753393,0.458489634125197,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,3.71129101239629,NA,1.46680431341288,NA,NA,NA,0,NA,NA,2.6925285387449,NA,NA,0,NA,NA
"result.3",3,1392.4208886792,2806.84177735841,8.71975403566692,8.71638798069348,0.395927204402801,0.430504639819631,NA,0.497286001810941,0.342774493170103,NA,0.372485767564146,0.00179403076982341,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.95070403231221,NA,2.00469656115011,NA,NA,NA,0,NA,NA,7.81889052171847,NA,NA,0,NA,NA
"result.4",4,674.822706654089,1371.64541330818,19.999928326635,14.9999788928399,0.100006254753353,0.127352960148354,NA,0.096530632731065,0.357086975412662,NA,0.250111946804954,0.955712630280863,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.000204143022048389,NA,7.91813253536809,NA,NA,NA,0,NA,NA,9.5247761416539,NA,NA,0,NA,NA
"result.5",5,1371.88438795349,2765.76877590697,19.9998533678329,14.9995390769751,0.254249529349775,0.399287251689894,NA,0.309590691782229,0.485796561417658,NA,0.238740902316002,0.678796115598508,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.69240912834557,NA,7.10230801933463,NA,NA,NA,0,NA,NA,9.86305838652556,NA,NA,0,NA,NA
"result.6",6,456.195448434758,934.390896869517,12.0022327934474,12.002106373266,0.100000103806099,0.119381868633708,NA,0.12034161905068,0.167008189702585,NA,0.999773788325778,0.818164947849399,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.108477165406914,NA,1.50168934122559e-05,NA,NA,NA,0,NA,NA,9.98914053756146,NA,NA,0,NA,NA
"result.7",7,1252.12830178425,2526.25660356851,8.14859759127214,8.14149584856437,0.377923630321355,0.209055063324289,NA,0.303072222118527,0.236328243762533,NA,0.411678052945715,0.123064067442251,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.91989931446309,NA,0.138778316880839,NA,NA,NA,0,NA,NA,3.69320989308585,NA,NA,0,NA,NA
"result.8",8,802.134214100814,1626.26842820163,8.11607682748017,8.11563411136371,0.368978097913198,0.535201346288815,NA,0.258956976768531,0.499622888536457,NA,0.471987771281977,0.0134855944962742,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.10657081859608,NA,1.48380372791466,NA,NA,NA,0,NA,NA,0.190610753919573,NA,NA,0,NA,NA
"result.9",9,1386.50649580666,2795.01299161332,10.5128205148993,10.5085461610796,0.740559148449363,0.773311894430289,NA,0.0447061581194113,0.0996965958094365,NA,0.000350069381456875,0.623624342652074,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.98749976179596,NA,0.00258587753549768,NA,NA,NA,0,NA,NA,0.00300905402427895,NA,NA,0,NA,NA
"result.10",10,1061.07437493957,2144.14874987914,16.206565112924,14.9995126390151,0.528790056480937,0.627408838903849,NA,0.101368237277604,0.143749161700679,NA,0.232234518347843,0.658594734295942,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.22926169324013,NA,1.0764172553132,NA,NA,NA,0,NA,NA,0.079557911889399,NA,NA,0,NA,NA
