"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1541.89655879093,3107.79311758186,6.1789165942638,NA,0.734120273091376,0.661412655557889,0.707905346783497,0.899961448215922,NA,NA,0.317082968615839,NA,NA,0.146203784183003,NA,NA,0,NA,NA,0.717788558663703,NA,NA,6.62673782557249,NA,0.00128697191148742,NA,NA,NA,1.6152609558776,NA,NA,9.56113151512013,NA,NA,0,NA,NA
"result.2",2,1190.9222817155,2405.84456343101,27.7687510072565,NA,0.176244982963716,0.143718163792096,0.171213216212229,0.296503753316654,NA,NA,0.803869533896608,NA,NA,0.287242627236992,NA,NA,0,NA,NA,0.861899831396668,NA,NA,3.64815107198429,NA,4.4040997303922,NA,NA,NA,4.82345892936883,NA,NA,1.93619191821665,NA,NA,0,NA,NA
"result.3",3,1391.15520782044,2806.31041564088,8.79877253009508,NA,0.324160912578252,0.449750871603661,0.475482256582348,0.631546534918971,NA,NA,0.426582324018248,NA,NA,0.0289943176743751,NA,NA,0,NA,NA,0.45037081043157,NA,NA,3.41218422716723,NA,2.75295534977658,NA,NA,NA,1.49375030790224,NA,NA,6.61786575125689,NA,NA,0,NA,NA
"result.4",4,671.956430440923,1367.91286088185,26.5292044358151,NA,0.121841095346028,0.137341480567003,0.134635406403368,0.231784922711878,NA,NA,0.907480165595189,NA,NA,0.0656948084564778,NA,NA,0,NA,NA,0.979474485324091,NA,NA,0.00055670152434498,NA,7.5303693824058,NA,NA,NA,0.00815812982498276,NA,NA,4.54332195592924,NA,NA,0,NA,NA
"result.5",5,1366.58745654067,2757.17491308134,29.5228334177963,NA,0.326786218521197,0.418232969502267,0.271237238591274,0.416103766040212,NA,NA,0.715062477139756,NA,NA,0.287535943142743,NA,NA,0,NA,NA,0.490769426960099,NA,NA,6.63514134320871,NA,15.4637086577894,NA,NA,NA,6.72612739377635,NA,NA,3.68194470325278,NA,NA,0,NA,NA
"result.6",6,452.798173046663,929.596346093326,11.5487165087941,NA,0.0582660982290936,0.106969260048835,0.0385899920955979,0.151372687526149,NA,NA,0.934251174371316,NA,NA,0.0565803198974985,NA,NA,0,NA,NA,0.452250722144094,NA,NA,0.00060600949165667,NA,0.00923324745357162,NA,NA,NA,0.00855406795875763,NA,NA,7.55988956229736,NA,NA,0,NA,NA
"result.7",7,1248.90715953709,2521.81431907417,8.74574302250405,NA,0.473725407134258,0.23204080777826,0.309716374577379,0.343000711378204,NA,NA,0.514440964443262,NA,NA,0.103306664906985,NA,NA,0,NA,NA,0.55806892019218,NA,NA,8.77514525304982,NA,0.177720108842261,NA,NA,NA,6.33553590625525,NA,NA,1.75341310119904,NA,NA,0,NA,NA
"result.8",8,802.014655805758,1628.02931161152,8.50715786859385,NA,0.406069418267525,0.534554702954092,0.384897167871402,0.578105547763418,NA,NA,0.0951421162267898,NA,NA,0.0695537282153964,NA,NA,0,NA,NA,0.450124470545934,NA,NA,3.51144012822221,NA,0.259779444191215,NA,NA,NA,6.99052206402722,NA,NA,3.19475587037281,NA,NA,0,NA,NA
"result.9",9,1383.56836240423,2791.13672480847,12.4172293558153,NA,0.737688197280956,0.843416583758437,0.725918565202228,0.877008670786939,NA,NA,0.000151399939912441,NA,NA,0.287291978361382,NA,NA,0,NA,NA,0.450121453858863,NA,NA,19.9968844113812,NA,18.6630333025769,NA,NA,NA,19.9481527740136,NA,NA,0.783747730596014,NA,NA,0,NA,NA
"result.10",10,1060.12252294791,2144.24504589581,17.1398155023009,NA,0.581465452839036,0.653531160154842,0.498791208620229,0.149184633251397,NA,NA,0.223698682433658,NA,NA,0.200148383703592,NA,NA,0,NA,NA,0.454395080172073,NA,NA,2.97059266777142,NA,0.110111814276227,NA,NA,NA,2.43019484239462,NA,NA,0.0535238158829116,NA,NA,0,NA,NA
