"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1542.18517898504,3108.37035797009,5.89522106490432,NA,0.71386745746986,NA,NA,0.202393711231367,0.89999775926622,0.388258752026562,0.722886697150342,NA,NA,0.293759043653985,NA,NA,0,NA,NA,0.974087960729212,NA,NA,0.00101281681302932,5.30398171664309,NA,NA,NA,NA,2.53678462002426,NA,NA,4.39915936653417,NA,NA,0,NA,NA
"result.2",2,1189.68420368257,2403.36840736514,27.6902500536223,NA,0.161684659872765,NA,NA,0.314107992930846,0.3359324405154,0.369953692117608,0.439477345606168,NA,NA,0.70717355814938,NA,NA,0,NA,NA,0.754755762876138,NA,NA,5.16677062231429,0.0156121641754592,NA,NA,NA,NA,0.690684340946719,NA,NA,3.59932450961892,NA,NA,0,NA,NA
"result.3",3,1389.73022772264,2803.46045544528,8.88160894681983,NA,0.406863959723416,NA,NA,0.350953499087371,0.573276394336908,0.520271858001196,0.148604284369539,NA,NA,0.00623702660276781,NA,NA,0,NA,NA,0.450042782542002,NA,NA,1.52505712514672,7.70843514739439,NA,NA,NA,NA,7.33815075166618,NA,NA,14.3173285807796,NA,NA,0,NA,NA
"result.4",4,669.367244081606,1362.73448816321,26.4634923284277,NA,0.1299557935304,NA,NA,0.210575958235818,0.181111716823946,0.40657177057977,0.854587532658517,NA,NA,0.0731527849944542,NA,NA,0,NA,NA,0.94681313488073,NA,NA,0.00343439815208644,0.00132358974070484,NA,NA,NA,NA,0.00631344164080001,NA,NA,5.30189806298004,NA,NA,0,NA,NA
"result.5",5,1368.69161793785,2761.38323587571,29.8333913193024,NA,0.342874757018788,NA,NA,0.703401630735993,0.374731788300064,0.599751678494721,0.678991519965651,NA,NA,0.269856947679013,NA,NA,0,NA,NA,0.568349019738046,NA,NA,8.27114041049098,7.56483295380134,NA,NA,NA,NA,7.24541882286294,NA,NA,4.80264777050735,NA,NA,0,NA,NA
"result.6",6,453.875458177111,931.750916354221,11.5536848975356,NA,0.061147774896375,NA,NA,0.0601685767937054,0.168423180423218,0.114357365069846,0.533468341365612,NA,NA,0.00183071121784769,NA,NA,0,NA,NA,0.451381074383319,NA,NA,0.00378767946239014,0.0134593152138827,NA,NA,NA,NA,0.16629285980142,NA,NA,12.1872819927774,NA,NA,0,NA,NA
"result.7",7,1252.01828982324,2528.03657964647,8.64423602765812,NA,0.345334814505589,NA,NA,0.352522793866518,0.484315684398942,0.161553177499578,0.201913909902822,NA,NA,0.76100982189915,NA,NA,0,NA,NA,0.579951781197451,NA,NA,5.81435913559504,4.46272429726241,NA,NA,NA,NA,0.699665329314365,NA,NA,7.55928803879988,NA,NA,0,NA,NA
"result.8",8,802.591827909624,1629.18365581925,8.22159237463326,NA,0.412742321504429,NA,NA,0.251006981820631,0.897716475261865,0.268168405029524,0.0750188874080777,NA,NA,0.0538325078268104,NA,NA,0,NA,NA,0.450137142961914,NA,NA,2.11917978378943,1.72842394010437,NA,NA,NA,NA,4.77644634032646,NA,NA,4.22982489360328,NA,NA,0,NA,NA
"result.9",9,1385.30829187016,2794.61658374032,11.5338860546386,NA,0.736428290051347,NA,NA,0.119698680592893,0.882515579972031,0.054530166496733,0.0188275447758118,NA,NA,0.182805025540292,NA,NA,0,NA,NA,0.450047702004955,NA,NA,2.02312277735527,0.356820850074179,NA,NA,NA,NA,11.5548177286291,NA,NA,1.87833447564105,NA,NA,0,NA,NA
"result.10",10,1059.05573702661,2142.11147405321,16.3854445292058,NA,0.556749293484642,NA,NA,0.330222759676612,0.337039497970856,0.101120047095671,0.425421033051138,NA,NA,0.185228570271427,NA,NA,0,NA,NA,0.584718142289878,NA,NA,1.89896885871238,12.7253196103046,NA,NA,NA,NA,3.74846474071084,NA,NA,1.40140462201089,NA,NA,0,NA,NA
