"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1542.18642780817,3108.37285561634,5.87530432946757,NA,0.716156480987194,NA,NA,0.17871590722703,0.899940659190888,0.364952510370103,0.807039587585315,NA,NA,0.249570426773354,NA,NA,0,NA,NA,0.992051743971546,NA,NA,5.65619854049144e-06,6.13481661886899,NA,NA,NA,NA,4.36310257631212,NA,NA,3.9003142353531,NA,NA,0,NA,NA
"result.2",2,1189.67574706069,2403.35149412139,27.6455165228556,NA,0.162340092742864,NA,NA,0.332257108825405,0.327204285452624,0.359546238139288,0.529088424589646,NA,NA,0.342387864026848,NA,NA,0,NA,NA,0.636535058759978,NA,NA,2.50440796760552,0.0109111681607389,NA,NA,NA,NA,1.76241650222586,NA,NA,3.15057526808232,NA,NA,0,NA,NA
"result.3",3,1389.7337447137,2803.46748942741,8.99496580563606,NA,0.412401873073195,NA,NA,0.332169318539735,0.587322686856073,0.511045100108576,0.104684544028714,NA,NA,0.00985701711126583,NA,NA,0,NA,NA,0.450031399103316,NA,NA,1.52691383089089,7.64269143339714,NA,NA,NA,NA,10.0722052503729,NA,NA,18.9271802729917,NA,NA,0,NA,NA
"result.4",4,669.36580585807,1362.73161171614,26.5018012824294,NA,0.131812817380951,NA,NA,0.205649688581149,0.179109256437477,0.410044457225795,0.896772899974063,NA,NA,0.0548739231751141,NA,NA,0,NA,NA,0.979283595602268,NA,NA,0.00604092632783378,0.00387941713730415,NA,NA,NA,NA,0.0117677607913978,NA,NA,5.10620758713618,NA,NA,0,NA,NA
"result.5",5,1368.69414819142,2761.38829638283,29.9177656792569,NA,0.344349391976716,NA,NA,0.688576504395007,0.366444737551779,0.576513801306497,0.748901977327298,NA,NA,0.206903956483649,NA,NA,0,NA,NA,0.622214745544605,NA,NA,9.64779496891572,9.598084169433,NA,NA,NA,NA,12.4118728879664,NA,NA,4.25418708649654,NA,NA,0,NA,NA
"result.6",6,453.88128819764,931.762576395281,11.5527900353762,NA,0.0595687955613381,NA,NA,0.0660465112598523,0.161603761413569,0.107758371870348,0.720254619777114,NA,NA,0.0092866052093365,NA,NA,0,NA,NA,0.450413307588355,NA,NA,0.000996855982731928,0.0105956563855147,NA,NA,NA,NA,0.541513090712843,NA,NA,8.78884065858409,NA,NA,0,NA,NA
"result.7",7,1252.01740829913,2528.03481659826,8.73972106173698,NA,0.345769004442545,NA,NA,0.411910820146837,0.49758057029256,0.174258690287804,0.904577307173445,NA,NA,0.39299230024578,NA,NA,0,NA,NA,0.616267738352587,NA,NA,17.3748096727322,16.401516063326,NA,NA,NA,NA,13.9623998011096,NA,NA,1.86799192562812,NA,NA,0,NA,NA
"result.8",8,802.621325305278,1629.24265061056,8.28359277194721,NA,0.419832520964398,NA,NA,0.214598679005595,0.898193681383259,0.244126786994972,0.105615781859782,NA,NA,0.0417585811773809,NA,NA,0,NA,NA,0.4503208027836,NA,NA,2.41820314112463,1.80781943723559,NA,NA,NA,NA,7.60000571503625,NA,NA,0.421809451883404,NA,NA,0,NA,NA
"result.9",9,1385.30833024896,2794.61666049791,11.577774159524,NA,0.739539502562339,NA,NA,0.118030725526647,0.877527179082832,0.0532323950889792,0.0664559959872461,NA,NA,0.156758435884104,NA,NA,0,NA,NA,0.450006501961046,NA,NA,2.13563112036196,0.682908813285014,NA,NA,NA,NA,14.3198396605748,NA,NA,0.0631587250578826,NA,NA,0,NA,NA
"result.10",10,1059.05876058094,2142.11752116188,16.3287774289391,NA,0.555700801006157,NA,NA,0.343543916337624,0.347516963317567,0.104993468312528,0.475840065915126,NA,NA,0.0664411664081295,NA,NA,0,NA,NA,0.587339235641664,NA,NA,1.93975043621425,12.439129134064,NA,NA,NA,NA,10.5231399469909,NA,NA,1.41967938287901,NA,NA,0,NA,NA
