"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1540.3251864185,3108.65037283699,5.74432778324843,NA,0.701280938363516,NA,NA,0.882277370195536,0.899221652498762,0.867479158546661,0.261454905933498,0.998083351844902,0.842341158423719,0.0121608997701849,NA,NA,0,NA,NA,0.999995307084453,NA,NA,11.1388004649161,19.1858667913037,NA,NA,NA,NA,0.376634906923799,NA,NA,4.29618014959095,NA,NA,0,NA,NA
"result.2",2,1187.1940704369,2402.3881408738,28.1794050057961,NA,0.164287303515172,NA,NA,0.348177511324317,0.261015613523569,0.538316608914978,0.809818331782955,0.903484719705819,0.457995553902257,0.182827019076464,NA,NA,0,NA,NA,0.745417489245658,NA,NA,3.89874522516411,0.0804275446973984,NA,NA,NA,NA,8.03691488584782,NA,NA,2.26573464726752,NA,NA,0,NA,NA
"result.3",3,1387.96874920877,2803.93749841755,9.02203042905615,NA,0.412481286574899,NA,NA,0.808948210157761,0.447935273057936,0.821031866003944,0.538365969938851,0.00222234913213564,0.436321070926841,0.0316056237063642,NA,NA,0,NA,NA,0.450053581812011,NA,NA,1.80366924900683,11.5977823263557,NA,NA,NA,NA,7.2260935691786,NA,NA,6.97002361213887,NA,NA,0,NA,NA
"result.4",4,661.681964252834,1351.36392850567,26.2977617804846,NA,0.123352867061387,NA,NA,0.0292004920031183,0.308540513618636,0.272033169967778,0.0182132434967753,0.917953456645156,0.371480920348383,0.0661796375630153,NA,NA,0,NA,NA,0.758362433561815,NA,NA,0.00271476991716079,0.948582284120106,NA,NA,NA,NA,0.17941636327598,NA,NA,9.26414151413455,NA,NA,0,NA,NA
"result.5",5,1365.55566786058,2759.11133572116,31.4371193394519,NA,0.350831909312331,NA,NA,0.879992604864697,0.3354234389087,0.46377727990238,0.603136300934869,0.86639747870068,0.920525116181031,0.432472153388895,NA,NA,0,NA,NA,0.480086374856221,NA,NA,19.5009744043297,14.7420039812552,NA,NA,NA,NA,10.6493026224054,NA,NA,3.7319678447349,NA,NA,0,NA,NA
"result.6",6,452.062481762236,932.124963524472,11.6632328528711,NA,0.0596167228476079,NA,NA,0.0559789471444047,0.176140620232218,0.28322042141043,0.0386716246316339,0.998419303074771,0.799923165224241,0.354419493794774,NA,NA,0,NA,NA,0.999985455077764,NA,NA,0.0514766048883595,0.0682536376433003,NA,NA,NA,NA,18.0188333010301,NA,NA,7.0835442333935,NA,NA,0,NA,NA
"result.7",7,1249.25585229941,2526.51170459881,8.82352001974568,NA,0.344831826843605,NA,NA,0.402095557353459,0.36131579607865,0.28786942667684,0.809874889252234,0.930848636028721,0.00821265770822738,0.364983625790932,NA,NA,0,NA,NA,0.758227654656615,NA,NA,8.70650211016515,8.88082550137605,NA,NA,NA,NA,4.12542421203107,NA,NA,2.22343248967923,NA,NA,0,NA,NA
"result.8",8,799.344915354057,1626.68983070811,8.77506368337026,NA,0.464984339377014,NA,NA,0.188046823782608,0.799745835917249,0.893056557225435,0.94551318420622,0.908686071151556,0.00396003171231286,0.091297291982171,NA,NA,0,NA,NA,0.450264617684091,NA,NA,19.5136518200312,18.9369310875982,NA,NA,NA,NA,17.9171583527095,NA,NA,0.570043742912366,NA,NA,0,NA,NA
"result.9",9,1382.22687523224,2792.45375046449,13.3941843246014,NA,0.738526050225499,NA,NA,0.89919993025352,0.87997261706137,0.897592348242048,0.000108069041491073,0.817288469198839,0.0154044217450137,0.420344785094077,NA,NA,0,NA,NA,0.450311759942352,NA,NA,10.0705458642915,1.85737063817147,NA,NA,NA,NA,18.6724848361756,NA,NA,1.97948274978073,NA,NA,0,NA,NA
"result.10",10,1057.547985603,2143.09597120599,16.0740322515752,NA,0.539477682683791,NA,NA,0.326086296115711,0.231678473072855,0.0568562363318924,0.295270416518378,0.884044749943381,0.998244838751674,0.320684700562904,NA,NA,0,NA,NA,0.451079773637125,NA,NA,7.68676154703413,15.120787210446,NA,NA,NA,NA,2.68616908516612,NA,NA,0.178210035865118,NA,NA,0,NA,NA
