,participant,nLL,aic,kappa1,kappa2,beta1,beta2,beta3,gamma1,gamma2,gamma3,chi1,chi2,chi3,phi1,phi2,phi3,psi1,psi2,psi3,tau1,tau2,tau3,lambda_b1,lambda_f1,lambda_b2,lambda_f2,lambda_b3,lambda_f3,zeta1,zeta2,zeta3,iota1,iota2,iota3,upsilon1,upsilon2,upsilon3
result.1,1,1542.032344,3108.064689,6.078634537,NA,0.723102601,NA,NA,1.999993115,NA,NA,0.35116944,NA,NA,0.226691947,NA,NA,0.056191131,NA,NA,0.937005435,NA,NA,0.000257606,9.997099309,NA,NA,NA,NA,3.220112508,NA,NA,16.27734148,NA,NA,0.043998246,NA,NA
result.2,2,1189.760053,2403.520105,27.6139519,NA,0.164019187,NA,NA,0.412788737,NA,NA,0.780918427,NA,NA,0.262395963,NA,NA,0.186119207,NA,NA,0.752037859,NA,NA,4.877249341,0.005486417,NA,NA,NA,NA,4.956891907,NA,NA,2.641463736,NA,NA,2.581658418,NA,NA
result.3,3,1388.928067,2801.856135,8.541599391,NA,0.401516407,NA,NA,1.086837355,NA,NA,0.225566256,NA,NA,0.100186535,NA,NA,0.384122199,NA,NA,0.40060552,NA,NA,1.307045481,8.789127403,NA,NA,NA,NA,0.046090612,NA,NA,18.39764593,NA,NA,16.82742756,NA,NA
result.4,4,670.2546384,1364.509277,26.48474618,NA,0.129660983,NA,NA,0.481861083,NA,NA,0.832587951,NA,NA,0.307568539,NA,NA,0.492126102,NA,NA,0.961658228,NA,NA,0.001777947,0.002166084,NA,NA,NA,NA,0.005083742,NA,NA,8.455431265,NA,NA,5.428816481,NA,NA
result.5,5,1368.350712,2760.701423,29.45848216,NA,0.339893642,NA,NA,0.988673315,NA,NA,0.35048531,NA,NA,0.643840688,NA,NA,0.321812759,NA,NA,0.495025156,NA,NA,9.141549519,4.326631003,NA,NA,NA,NA,1.590754887,NA,NA,10.75823509,NA,NA,15.16525676,NA,NA
result.6,6,454.2605942,932.5211883,11.4817873,NA,0.057411988,NA,NA,0.166134213,NA,NA,0.693505869,NA,NA,0.121800047,NA,NA,0.173837643,NA,NA,0.433469324,NA,NA,0.002478276,0.046442254,NA,NA,NA,NA,0.653390022,NA,NA,11.87059505,NA,NA,0.017358719,NA,NA
result.7,7,1255.239096,2534.478192,8.942238693,NA,0.356411182,NA,NA,0.578888707,NA,NA,0.621669757,NA,NA,0.568472534,NA,NA,0.194685888,NA,NA,0.42555942,NA,NA,8.953413448,2.877748719,NA,NA,NA,NA,2.51468713,NA,NA,5.057355576,NA,NA,0.359208908,NA,NA
result.8,8,804.5428904,1633.085781,7.910727384,NA,0.42529223,NA,NA,0.90447662,NA,NA,0.111605169,NA,NA,0.127421847,NA,NA,0.003164056,NA,NA,0.400893853,NA,NA,2.740730544,2.300495507,NA,NA,NA,NA,1.983574998,NA,NA,17.64399192,NA,NA,0.500333401,NA,NA
result.9,9,1385.9885,2795.977,11.05430219,NA,0.746901723,NA,NA,1.995278,NA,NA,0.337572254,NA,NA,0.526551682,NA,NA,0.037511614,NA,NA,0.401227614,NA,NA,0.133133941,0.849022598,NA,NA,NA,NA,7.101677137,NA,NA,19.26745492,NA,NA,0.0452419,NA,NA
result.10,10,1061.644876,2147.289752,16.65567722,NA,0.562780014,NA,NA,0.290817138,NA,NA,0.528331469,NA,NA,0.123485283,NA,NA,0.010016555,NA,NA,0.46059867,NA,NA,1.809789912,9.519810596,NA,NA,NA,NA,4.914148421,NA,NA,3.204782869,NA,NA,0.053374987,NA,NA
,,,,15.4222147,,0.390698996,,,0.890574828,,,0.48334119,,,0.300841507,,,0.185958715,,,0.566808108,,,,,,,,,,,,,,,,,
