"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1542.18717638353,3112.37435276705,5.90342612928771,NA,0.714104240770168,NA,NA,0.200732933344437,0.899763309717564,0.399910548230125,0.403363016615547,NA,NA,0.467216919874772,NA,NA,0.0785618819595834,NA,NA,0.902709844423252,NA,NA,0.00286402413808854,2.19679300726711,NA,NA,NA,NA,0.733601905765705,NA,NA,8.70694383210521,NA,NA,0.00807478339979758,NA,NA
"result.2",2,1189.78984669658,2407.57969339316,27.5395965583622,NA,0.16141153052546,NA,NA,0.389692769025875,0.363185270789323,0.408787717615952,0.250381410121918,NA,NA,0.206249314466451,NA,NA,0.0526569259818643,NA,NA,0.574694680329412,NA,NA,1.31512625468622,0.0435773404232131,NA,NA,NA,NA,1.8403471773922,NA,NA,7.65037281681716,NA,NA,9.44765616700513,NA,NA
"result.3",3,1389.34453472421,2806.68906944841,8.68328737139824,NA,0.405260798840847,NA,NA,0.648998470087526,0.882078279324541,0.730822237975332,0.2380814938806,NA,NA,0.0068393066915297,NA,NA,0.30844965593497,NA,NA,0.450059352464071,NA,NA,1.61596124491825,10.4052921017167,NA,NA,NA,NA,1.22641522961568,NA,NA,13.2757174428792,NA,NA,13.3897662913519,NA,NA
"result.4",4,669.043601382766,1366.08720276553,26.4416212619335,NA,0.130125388579009,NA,NA,0.399751691537166,0.352262682988513,0.626379961343763,0.82772846169548,NA,NA,0.233442206671966,NA,NA,0.352747179546611,NA,NA,0.954894141949303,NA,NA,0.0768987875790144,0.00786054528432139,NA,NA,NA,NA,0.0184525075201174,NA,NA,8.07025348495901,NA,NA,4.84704596586014,NA,NA
"result.5",5,1367.79156145696,2763.58312291393,29.647371404516,NA,0.339657386609553,NA,NA,0.896941542804928,0.619136026470109,0.668370716320351,0.748977780853138,NA,NA,0.452273372617791,NA,NA,0.591433868222309,NA,NA,0.52148351880272,NA,NA,13.9686662936583,12.8341508820277,NA,NA,NA,NA,5.2696450008188,NA,NA,8.41129337437451,NA,NA,2.99409588662238,NA,NA
"result.6",6,453.981374896823,935.962749793645,11.516864477278,NA,0.0612314829195256,NA,NA,0.0764063259601199,0.175793463629612,0.119787572802089,0.996690816149192,NA,NA,0.947816268433854,NA,NA,0.0812860741757446,NA,NA,0.499278609423079,NA,NA,0.0197171922186307,0.0828792547866597,NA,NA,NA,NA,0.133029158691257,NA,NA,7.13764270297491,NA,NA,1.63624336690266,NA,NA
"result.7",7,1251.24407796632,2530.48815593264,8.58361375227649,NA,0.34404387864354,NA,NA,0.728738992308528,0.899625386295088,0.217349351094386,0.816536082847208,NA,NA,0.245465232360178,NA,NA,0.484455022113307,NA,NA,0.6233696181621,NA,NA,7.51967003870002,7.80126585995339,NA,NA,NA,NA,8.93463091459125,NA,NA,3.22451259671956,NA,NA,4.42637200107826,NA,NA
"result.8",8,802.648483155774,1633.29696631155,8.23833123853769,NA,0.420053069515392,NA,NA,0.223353065700483,0.890268100975393,0.232058582737692,0.042512389132753,NA,NA,0.171521304380545,NA,NA,0.832905681124791,NA,NA,0.450146844724851,NA,NA,2.61555909527212,2.71841159771755,NA,NA,NA,NA,1.62945236717398,NA,NA,1.16608911229488,NA,NA,0.207743774814601,NA,NA
"result.9",9,1385.24358563171,2798.48717126343,11.318097158774,NA,0.738842391812873,NA,NA,0.138146350774314,0.899004500510312,0.0365369603512301,0.115625116193149,NA,NA,0.243625348897383,NA,NA,0.983690481400117,NA,NA,0.452746311050896,NA,NA,1.68749655133289,0.416540764177527,NA,NA,NA,NA,8.74732313111114,NA,NA,0.033692690818126,NA,NA,7.00454230236366,NA,NA
"result.10",10,1059.07100187722,2146.14200375444,16.0968482554542,NA,0.553777383240513,NA,NA,0.383610970459564,0.351148445392588,0.111663899228474,0.0868821919430047,NA,NA,0.40760877014798,NA,NA,0.251676872838289,NA,NA,0.59542051166118,NA,NA,1.68147240200314,11.9342521764478,NA,NA,NA,NA,1.02527158737069,NA,NA,11.4195076795295,NA,NA,0.307591888463548,NA,NA
