"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1542.03306524909,3106.06613049817,6.02861904592005,6.02618134958154,0.723296767086676,NA,NA,1.99793966666218,NA,NA,0.389933146825757,NA,NA,0.167389327149071,NA,NA,0,NA,NA,0.932841115815005,NA,NA,0.000245237938102038,9.96726957898312,NA,NA,NA,NA,4.65267737859033,NA,NA,13.9197731681214,NA,NA,0,NA,NA
"result.2",2,1189.77683685302,2401.55367370603,27.9222127744993,27.1707359265969,0.162082706669755,NA,NA,0.33049554388892,NA,NA,0.841080437580741,NA,NA,0.343666172704358,NA,NA,0,NA,NA,0.848957279709783,NA,NA,6.73917583624444,0.000846481841503863,NA,NA,NA,NA,5.42938803735677,NA,NA,1.94696078013514,NA,NA,0,NA,NA
"result.3",3,1389.84526805844,2801.69053611689,8.45365670810526,8.43831287401457,0.399103394183483,NA,NA,0.63100839126368,NA,NA,0.1459193329396,NA,NA,0.100042574983062,NA,NA,0,NA,NA,0.40000061584114,NA,NA,1.49377772317985,9.99869050943042,NA,NA,NA,NA,0.0323901284565043,NA,NA,18.1917622844408,NA,NA,0,NA,NA
"result.4",4,672.182987698253,1366.36597539651,26.7765798477745,19.8279818777433,0.11635614315612,NA,NA,0.171530852188864,NA,NA,0.829721333277917,NA,NA,0.453926994846591,NA,NA,0,NA,NA,0.974763374356553,NA,NA,0.019654948547904,0.153184067621641,NA,NA,NA,NA,0.00516069231629048,NA,NA,4.10689785095311,NA,NA,0,NA,NA
"result.5",5,1369.85134166976,2761.70268333952,29.5928267028238,29.5882484009193,0.340112887123865,NA,NA,0.412757291784387,NA,NA,0.386480808456264,NA,NA,0.376749456813559,NA,NA,0,NA,NA,0.538400120076891,NA,NA,5.32357347046647,3.51378248342305,NA,NA,NA,NA,3.00848880911665,NA,NA,6.40367730986327,NA,NA,0,NA,NA
"result.6",6,454.248233645266,930.496467290532,11.4973691509918,11.4941043547074,0.0574951039045887,NA,NA,0.171237214507541,NA,NA,0.689269024262947,NA,NA,0.115159277642966,NA,NA,0,NA,NA,0.413323177012853,NA,NA,0.000147612436388067,0.00134090605152798,NA,NA,NA,NA,0.0391708859440923,NA,NA,10.0936915594539,NA,NA,0,NA,NA
"result.7",7,1255.20464551382,2532.40929102763,8.96425869525013,8.92098586817419,0.351628637514048,NA,NA,0.565966546984583,NA,NA,0.75126789099572,NA,NA,0.435835658605393,NA,NA,0,NA,NA,0.453647687890236,NA,NA,9.34088982103123,2.74262409631708,NA,NA,NA,NA,5.09916282604516,NA,NA,3.36923185326364,NA,NA,0,NA,NA
"result.8",8,804.539949499122,1631.07989899824,8.01226361890995,7.66852610321714,0.417600883124075,NA,NA,0.945634785451132,NA,NA,0.209354890333943,NA,NA,0.163556656797984,NA,NA,0,NA,NA,0.400173472762659,NA,NA,3.15904562963706,2.71555182808486,NA,NA,NA,NA,1.76714926194322,NA,NA,9.62910072167516,NA,NA,0,NA,NA
"result.9",9,1385.99107027884,2793.98214055768,11.1141505312067,10.8399199803946,0.745699094290862,NA,NA,1.99170346922422,NA,NA,0.42395370931466,NA,NA,0.547446450291486,NA,NA,0,NA,NA,0.403785878851203,NA,NA,0.055165635672789,1.64323767479734,NA,NA,NA,NA,7.92145701115461,NA,NA,14.5767547779963,NA,NA,0,NA,NA
"result.10",10,1061.64064202657,2145.28128405313,16.8138715595105,16.8098704547946,0.563745213219211,NA,NA,0.276109702194113,NA,NA,0.446560770508889,NA,NA,0.293935452587468,NA,NA,0,NA,NA,0.467295598969727,NA,NA,1.85395522699101,9.97949351415746,NA,NA,NA,NA,1.53622717040193,NA,NA,3.65355281602258,NA,NA,0,NA,NA
