"","spatiotemporal","four_factor","three_factor","spatiotemporal_ortho_gamma","semantic_beta"
"1",3114.55203004388,3110.07231963199,3106.06613049817,3110.37578096133,3107.90135075785
"2",2416.78896211658,2405.46899656627,2401.55367370603,2405.22570771207,2403.21775927377
"3",2813.77008470562,2803.86070559595,2801.69053611689,2805.60225214965,2803.6613559655
"4",1400.77637057225,1365.60044672737,1366.36597539651,1364.29434720055,1368.28103125666
"5",2777.62804708872,2762.74275365786,2761.70268333952,2763.39150100152,2761.20637459434
"6",978.372515466464,934.554003367571,930.496467290532,933.784713951721,930.917531461565
"7",2542.53730008448,2536.45358867155,2532.40929102763,2530.0797346643,2530.93736091709
"8",1632.25462627105,1635.14089852901,1631.07989899824,1631.17225150984,1632.57656579031
"9",2791.50533661213,2797.97832391347,2793.98214055768,2796.64726374757,2794.56722823745
"10",2144.06476563087,2149.29904823942,2145.28128405313,2144.14008187336,2141.37892089097
"11",22612.250038592,22501.1710849005,22470.6280809843,22484.7136347719,22474.6454791455
"12",0.00862938813671483,0.081046965607675,0.600716660051072,0.0696371468649301,0.239969839339608
"13",0.000283189234737074,0.0813160036735759,0.575940452601848,0.0918344290499923,0.250625925439847
"14",0.00128415979627038,0.182143384582641,0.539088065187869,0.0762502677860755,0.201234122647144
"15",5.94950154799463e-09,0.258723211058135,0.176442399119292,0.497108628432791,0.0677257554402796
"16",0.00010531899582006,0.179807212720008,0.302451337161107,0.129997024878322,0.387639106244743
"17",1.88141438562131e-11,0.0615961354427778,0.468420862554978,0.0904904065557494,0.379492595427681
"18",0.000982709986247543,0.020581949933057,0.155487181915257,0.498369354826425,0.324578803339013
"19",0.178418879256775,0.0421400211805364,0.321018154107385,0.306531775032428,0.151891170422876
"20",0.616545129499958,0.0242311227759281,0.178703775567767,0.0471421711983203,0.133377800958027
"21",0.155992333592087,0.0113892002298397,0.0849062452997553,0.150227188934448,0.597485031943869
"22",1.55658420108952e-31,2.05428615915657e-07,0.881028527193784,0.000769752004637556,0.118201515372962
