,spatiotemporal,four_factor,three_factor,spatiotemporal_ortho_gamma
1,3115,3110,3106,3110
2,2417,2405,2402,2405
3,2814,2804,2802,2806
4,1401,1366,1366,1364
5,2778,2763,2762,2763
6,978,935,930,934
7,2543,2536,2532,2530
8,1632,1635,1631,1631
9,2792,2798,2794,2797
10,2144,2149,2143,2144
11,22612,22501,22469,22485
12,0.01,0.11,0.79,0.09
13,0.00,0.11,0.77,0.12
14,0.00,0.23,0.67,0.10
15,0.00,0.28,0.19,0.53
16,0.00,0.29,0.49,0.21
17,0.00,0.10,0.75,0.15
18,0.00,0.03,0.23,0.74
19,0.21,0.05,0.38,0.36
20,0.71,0.03,0.21,0.05
21,0.28,0.02,0.42,0.27
22,0.00,0.00,1.00,0.00
