"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.17057620938,4318.34115241876,4.63971279343087,6.03719619589721,0.766777487382938,NA,NA,0.0560549020150832,0.295549664149084,NA,0.223856022408728,NA,NA,0,NA,NA,0,NA,NA,0.501296461416423,NA,NA,1.06818603633105,0.318450908703243,NA,NA,NA,NA,3.42811668585651,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1382.08758682541,2784.17517365083,19.9999470764521,14.9999779279424,0.137065745866112,NA,NA,0.124196414455298,0.169786468902166,NA,0.0147601184014499,NA,NA,0,NA,NA,0,NA,NA,0.627482191548992,NA,NA,0.000173311164404205,0.968314572612381,NA,NA,NA,NA,1.38283959430673,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1977.14061469206,3974.28122938413,10.3509606421567,11.9782602967821,0.518091950925666,NA,NA,0.126541493741971,0.264506942999285,NA,0.0220208987364256,NA,NA,0,NA,NA,0,NA,NA,0.502300872151107,NA,NA,0.0534952554015541,1.74021567391935,NA,NA,NA,NA,3.37768508354202,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,950.354754103141,1920.70950820628,19.9999945049775,14.9988949597809,0.116863951221446,NA,NA,0.0623586562886321,0.126486978061484,NA,0.0113648803926462,NA,NA,0,NA,NA,0,NA,NA,0.638785614362314,NA,NA,0.548847659120516,1.99426556912687,NA,NA,NA,NA,0.000190358228007801,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1545.88452344045,3111.7690468809,19.9999827537962,14.9999283729979,0.330497398630693,NA,NA,0.106959864844143,0.190122576057628,NA,0.045777179992764,NA,NA,0,NA,NA,0,NA,NA,0.500003336406571,NA,NA,1.03582694503346,1.16565873028883,NA,NA,NA,NA,9.84288114552199,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,978.720161337218,1977.44032267444,11.405031431421,10.9562103283292,0.100000249307964,NA,NA,0.0165558496547249,0.100289179507849,NA,0.00899973910830725,NA,NA,0,NA,NA,0,NA,NA,0.594162524916799,NA,NA,8.51346272077833e-06,1.49826208233102,NA,NA,NA,NA,0.000110739525260842,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1928.12660624794,3876.25321249589,8.06153050531461,9.7783658016305,0.438556275594294,NA,NA,0.146458829716921,0.284665554059183,NA,0.155030009066004,NA,NA,0,NA,NA,0,NA,NA,0.500152087864297,NA,NA,0.714151672185185,0.80169460639477,NA,NA,NA,NA,5.64663081010734,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2020.01664840856,4060.03329681712,9.27270602843393,6.92038717192892,0.634213441982843,NA,NA,0.164569172181987,0.288913643573388,NA,0.0630259205587207,NA,NA,0,NA,NA,0,NA,NA,0.502719578490894,NA,NA,0.046063411497614,0.375614157412201,NA,NA,NA,NA,4.33497281860652,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1920.3594057818,3860.7188115636,8.14849690803897,14.9999938093754,0.781696243972599,NA,NA,0.0180524083158045,0.30324553588413,NA,0.294390039047195,NA,NA,0,NA,NA,0,NA,NA,0.563422346011367,NA,NA,0.00011675308114322,1.74497327587029,NA,NA,NA,NA,3.77678450508504,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1852.07934971342,3724.15869942683,15.8415210829904,14.9996446424576,0.6272087884356,NA,NA,0.162693947141332,0.231053022430051,NA,0.0441705644078482,NA,NA,0,NA,NA,0,NA,NA,0.501062104106642,NA,NA,0.27160583337789,1.11281667415949,NA,NA,NA,NA,4.87930404902222,NA,NA,0,NA,NA,0,NA,NA
