"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.19675772163,4318.39351544326,4.44528750335448,5.332489096956,0.743183986874193,NA,NA,0.196208941005652,0.294036640865325,NA,0,NA,NA,0.364146276094219,NA,NA,0,NA,NA,0.592847273928587,NA,NA,0.926337836174615,0.00300135722189245,NA,NA,NA,NA,0,NA,NA,4.64424836613691,NA,NA,0,NA,NA
"result.2",2,1376.96350695336,2773.92701390673,19.9999199197063,14.9996833432417,0.13664646888274,NA,NA,0.279344250684429,0.223178958832507,NA,0,NA,NA,0.408065075664806,NA,NA,0,NA,NA,0.682697734665725,NA,NA,0.000521353184623779,1.78790118265897,NA,NA,NA,NA,0,NA,NA,3.28767342489764,NA,NA,0,NA,NA
"result.3",3,1976.54897111585,3973.09794223169,10.0680828840114,12.1016940434075,0.513736439914466,NA,NA,0.217433675261299,0.307475557776298,NA,0,NA,NA,0.209429976033048,NA,NA,0,NA,NA,0.503504995152088,NA,NA,0.000527031680318798,1.92123895420038,NA,NA,NA,NA,0,NA,NA,4.35770519130359,NA,NA,0,NA,NA
"result.4",4,936.029774781815,1892.05954956363,19.9999628806263,14.999994330989,0.128256584377688,NA,NA,0.398434653759038,0.244318957417805,NA,0,NA,NA,0.599143159173211,NA,NA,0,NA,NA,0.69995244086672,NA,NA,0.681379133679864,1.30991725297391,NA,NA,NA,NA,0,NA,NA,5.82631065447708,NA,NA,0,NA,NA
"result.5",5,1537.65016956233,3095.30033912467,19.9999937021845,14.9976783660754,0.339774846348582,NA,NA,0.399761718344627,0.255655495360362,NA,0,NA,NA,0.596868213203358,NA,NA,0,NA,NA,0.500018334636447,NA,NA,1.99317757319659,0.0217971586251613,NA,NA,NA,NA,0,NA,NA,4.87163752224266,NA,NA,0,NA,NA
"result.6",6,969.773991477318,1959.54798295464,11.3545857421771,14.999442935341,0.101074793269029,NA,NA,0.140120041452657,0.202399718952609,NA,0,NA,NA,0.59999945184602,NA,NA,0,NA,NA,0.567861544524778,NA,NA,3.02991120994808e-06,1.1811172891213,NA,NA,NA,NA,0,NA,NA,5.99999990670918,NA,NA,0,NA,NA
"result.7",7,1928.15884350533,3876.31768701066,6.81658263239933,5.46102541255628,0.38131486615508,NA,NA,0.263431454190998,0.292361673166646,NA,0,NA,NA,0.234349995335894,NA,NA,0,NA,NA,0.500035000322508,NA,NA,0.728580208746893,0.887692392201051,NA,NA,NA,NA,0,NA,NA,5.4398256837618,NA,NA,0,NA,NA
"result.8",8,2018.34829697291,4056.69659394583,8.34059311865485,7.60083944725108,0.634085701824539,NA,NA,0.3159768202319,0.336633009004872,NA,0,NA,NA,0.277861986930924,NA,NA,0,NA,NA,0.522367860032452,NA,NA,0.0675622130560268,0.70895820847658,NA,NA,NA,NA,0,NA,NA,4.21004205855296,NA,NA,0,NA,NA
"result.9",9,1920.91542241133,3861.83084482265,8.19308502921096,14.9998252709346,0.787849604175333,NA,NA,0.0102146245621985,0.381813740670634,NA,0,NA,NA,0.442749188132787,NA,NA,0,NA,NA,0.500480706572765,NA,NA,0.0679597342240066,1.98754482918537,NA,NA,NA,NA,0,NA,NA,5.64233368277975,NA,NA,0,NA,NA
"result.10",10,1852.17827770381,3724.35655540761,15.3682885333589,14.999594480135,0.626042184147056,NA,NA,0.148004514586286,0.209759910649853,NA,0,NA,NA,0.00140285692671512,NA,NA,0,NA,NA,0.500443289681854,NA,NA,0.277320774860344,1.07861762408563,NA,NA,NA,NA,0,NA,NA,0.0305497650890759,NA,NA,0,NA,NA
