"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2147.34561389097,4360.69122778193,4.13284532183075,5.37911658795426,0.718578953587112,NA,NA,0.317345037832856,0.271407825167088,0.303089325542268,0.0810112349382816,0.354632319342507,0.0117192936437083,0.305741815989879,0.0117367893249957,0.312313790908191,0.572293085207861,0.0494850738043908,0.115311612695409,0.501349727090901,0.509851404352315,0.697337395730985,0.0227618682618293,0.472663331776857,0.688938020019679,0.453213518038681,1.95191789085416,0.0536709637812374,0.393324956754848,2.64614112512954,0.155981557873472,1.28296917700264,0.56588288564381,5.40733865615243,4.56336062004802,0.415004132281349,4.99978656075412
"result.2",2,1363.47321535182,2792.94643070365,27.88762424942,29.442180594319,0.200139280393005,NA,NA,0.338887810593639,0.167834912456875,0.533001421413308,0.19369705254212,0.0010840969647596,0.12866287632394,0.559613280063935,0.207600601803717,0.314870412129144,0.023678678792696,0.138145408853934,0.289869348330867,0.793938622485779,0.52324095617789,0.591746410549351,0.0792091984401198,0.864003382133451,0.0340131423436105,0.398587901179868,1.75564240075483,0.232843088662025,1.33015417692112,4.036546256271,4.15611104168987,3.37513077297522,2.13190467295164,5.16866373761672,1.34539168736957,2.25599356972293,4.45759895235482
"result.3",3,1973.22384957504,4012.44769915009,11.0539835712235,11.5979867919776,0.514935450186669,NA,NA,0.227797656988251,0.332021597652506,0.372750049543448,0.00141329751569053,0.0368217866779229,0.134593455840296,0.297201479485576,0.0429383808979765,0.609016346865565,0.0512023194717625,0.286393876276298,0.0133116336539388,0.51542941045515,0.506360816189212,0.538904638366285,0.0140090368013948,1.92788556141593,0.00832923775251292,1.99924529911044,0.0175303281852636,1.88591896077509,0.762986208726006,4.66266759904101,5.57274942203364,3.97230549767472,3.2931854925856,2.50085464879393,4.7447752586665,2.1519451587061,2.62856512034503
"result.4",4,920.090253226328,1906.18050645266,27.5296561360113,34.7525373249412,0.2005567577405,NA,NA,0.0551615728864912,0.274664450986907,0.330361950671095,0.00282223699863283,0.0475621291254391,0.00822186232254457,0.0103272382685215,0.699474790211385,0.453729241340289,0.436246256647511,0.0908879121720307,0.179831357744163,0.796005787037564,0.587763663195074,0.697453093296309,1.52209680942246,0.00271171023043068,1.55277893638087,1.92480132964213,0.27200062512928,0.117578116010195,2.06853566469582,0.407385881771958,0.087992809566066,2.86325731462305,5.99533900272368,5.48635884083257,5.11747170653624,3.5124110383471,5.34457069633165
"result.5",5,1522.08551360718,3110.17102721436,31.4807765503007,44.8421900237878,0.370613141885022,NA,NA,0.740094457251328,0.384328732248255,0.222394899034407,0.302019490184358,0.0774663877143671,0.0373926959872144,0.369631896190185,0.560191148729787,0.244643635978393,0.114792210049927,0.0954900617565599,0.575277085708135,0.556833568620329,0.595617876899637,0.500008065080991,1.99300258485158,0.0785958698593487,1.99504165541492,0.027885161740248,1.83733240980655,1.44788582499931,4.69416659688634,5.22097435093511,1.68319195209211,5.84237717650831,5.44954314222559,2.83051405011022,5.58766721582233,5.73914035968537,4.50899699331613
"result.6",6,982.274221828061,2030.54844365612,12.0232780549698,24.3834064142718,0.200206978711132,NA,NA,0.0198778387923548,0.248895234489768,0.170610827385747,0.14049627723897,0.00232637758182325,0.0914584432893819,0.610890511438387,0.674076724364877,0.673691397712764,0.127573178405873,0.208123842076911,0.203307979221649,0.784048893445163,0.500823213999682,0.576450247783214,1.96845707768233,1.60729518471234,0.00815508899148796,1.96115450235084,0.965549878627432,0.14472403889522,5.97934564972829,1.60476065581014,3.54174593389493,5.98511814806826,5.98636928687885,5.94959477823872,5.97770645714638,4.39713284196794,5.45814192295074
"result.7",7,1921.80200651981,3909.60401303962,8.51874760199272,5.23366843498785,0.409105398122044,NA,NA,0.533109720682192,0.342388518548598,0.562526674368419,0.271499257993284,0.181573936060328,0.192947547914814,0.35325955288812,0.188659720201977,0.353240529507975,0.0370109220210673,0.0165424671049315,0.319968897513995,0.500994170894035,0.522843662884494,0.526967586547427,1.9172859021015,0.183432657737285,0.839326057128082,1.68657923536375,0.324016049873665,1.70321133125529,2.97347586695105,2.94436705316658,3.78993691224273,4.49706845515611,4.9492449780092,5.13999372633057,2.4162951587179,1.14967397090043,5.15623910311892
"result.8",8,2015.98446144567,4097.96892289134,10.1358585813769,5.98667565759953,0.630371885709017,NA,NA,0.269636449385992,0.283720228606783,0.682086640454363,0.138146388166312,0.149114139042689,0.315249216958904,0.0774590434646737,0.325417321375771,0.489658358000158,0.0493787331645929,0.0335985991041404,0.0732026948203888,0.50755282335449,0.511579834452156,0.512273746822029,0.0733738464228328,1.99954656153694,0.133891586051656,0.173369508702308,1.93368919049426,0.431607019317593,0.856902462944619,2.59599552506778,2.49464575062913,4.70690386019849,1.37588291567941,4.14533025554945,2.1914258095628,3.77852600601457,5.64071845868602
"result.9",9,1915.50238162071,3897.00476324143,9.31388891523181,49.4092049588519,0.779269485337155,NA,NA,0.574004416028036,0.328812486079438,0.269555243375643,0.573231590968115,0.134906392363323,0.580601786255277,0.0189580316655338,0.105406860502417,0.309367425554647,0.354555623087717,0.00741926024872537,0.0102348292246461,0.77337354933843,0.50073943496597,0.633741432718755,1.99795642774552,0.100474298037194,0.0173937086224841,1.9209486392327,1.76128412315954,0.0850523166118218,5.8670914646706,5.12778131893139,5.92703905132792,2.2179325797811,5.1587847743674,5.7532636463868,5.51372829926424,1.8068414174523,4.15863549860519
"result.10",10,1848.79366907465,3763.58733814931,16.9800785329771,19.4480730304822,0.634663734231778,NA,NA,0.582650568924458,0.297809790860709,0.135962541247612,0.00569491369379688,0.000220019193346077,0.123288085088797,0.396463406458497,0.0339924932549749,0.16707612562459,0.00698062696780464,0.463357752212889,0.00514386525356532,0.501025958031676,0.510361030608926,0.647225640527904,0.00422606843283258,1.99842493999625,0.136338340051031,1.4670097194612,0.0908953802812916,0.880158327519507,4.80053704278544,1.63936413713854,3.19544712547213,5.16927639173136,2.57292077699597,0.054520986368266,4.99867175851661,2.5503098698306,5.89110749540851
