"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.77131870633,4327.54263741266,4.89846409042023,6.15515507627881,0.771552427015284,NA,NA,0.540470097748331,0.337227989628362,NA,0.130077312102028,NA,NA,0.589128792335869,0.0446893550420246,NA,0.00623991623576534,NA,NA,0.515689246435536,NA,NA,1.08516907708371,0.439716046421891,NA,NA,NA,NA,5.51880412967876,NA,NA,5.77871026284993,NA,NA,0.0142164275374214,NA,NA
"result.2",2,1366.2060388068,2762.4120776136,26.8132539985188,26.4240558943131,0.175263462255877,NA,NA,0.33060759719506,0.170171877563293,NA,0.112546477703348,NA,NA,0.425496225558586,0.134588864258486,NA,0.0183578195191653,NA,NA,0.593768584521043,NA,NA,0.0250960999865549,0.630671706516296,NA,NA,NA,NA,0.677545752875045,NA,NA,4.33617995402102,NA,NA,0.18200526596406,NA,NA
"result.3",3,1974.34082512083,3978.68165024167,10.1955331408557,11.6670746742323,0.507294036280763,NA,NA,0.346155002088052,0.387571945860216,NA,0.0231809080527673,NA,NA,0.231084542386204,0.0242505712388083,NA,0.194935187421944,NA,NA,0.500188497055887,NA,NA,0.0379763255074396,1.8612041515041,NA,NA,NA,NA,0.997178262919652,NA,NA,4.66568404203281,NA,NA,4.6644255226933,NA,NA
"result.4",4,919.267472529793,1868.53494505959,26.5389626414566,25.3031886705157,0.140333973063512,NA,NA,0.246560781974296,0.409657539346358,NA,0.00398907797492336,NA,NA,0.323658869756217,0.696904429665205,NA,0.173243422294803,NA,NA,0.699588907939066,NA,NA,0.554213584230065,0.00220318443007722,NA,NA,NA,NA,0.0193546247137842,NA,NA,5.99183962267662,NA,NA,5.90582119580358,NA,NA
"result.5",5,1525.50268543903,3081.00537087805,29.7517967109771,49.7472901664971,0.379140482437617,NA,NA,0.485873328403659,0.372265936134375,NA,0.0910088872057712,NA,NA,0.423525602862782,0.564822472690002,NA,0.0497744206749275,NA,NA,0.500029805662392,NA,NA,1.99941387685535,0.0011372040356925,NA,NA,NA,NA,5.97367313765972,NA,NA,5.83709261426702,NA,NA,4.50037746056264,NA,NA
"result.6",6,968.928134333164,1967.85626866633,11.3579561839319,16.3858734555354,0.105734109678505,NA,NA,0.18363673264825,0.232973783743634,NA,0.00816977957155009,NA,NA,0.699866952203933,0.699877508980879,NA,0.0415223034153693,NA,NA,0.58691066573374,NA,NA,0.00084968428155188,1.52707727053671,NA,NA,NA,NA,0.00835389783605933,NA,NA,5.99935254956682,NA,NA,3.49651910381693,NA,NA
"result.7",7,1926.77444829381,3883.54889658763,7.77139628032555,8.03838597054932,0.421027577197599,NA,NA,0.29955897633748,0.321046023370016,NA,0.208725916175279,NA,NA,0.242354259897768,0.182504078585953,NA,0.049926934424596,NA,NA,0.500516200863165,NA,NA,0.835238981269603,1.10850967431852,NA,NA,NA,NA,3.27188509935513,NA,NA,5.63907147964709,NA,NA,0.0159076909429256,NA,NA
"result.8",8,2017.90630923879,4065.81261847759,9.92984560920486,6.45807826448304,0.63054842573981,NA,NA,0.45011268889335,0.295724054799088,NA,0.2287266796951,NA,NA,0.440688663751561,0.171394342217064,NA,0.0202449854653675,NA,NA,0.503430129874302,NA,NA,0.0960419342233473,0.0641343660761448,NA,NA,NA,NA,1.44633107713814,NA,NA,4.07237746355903,NA,NA,2.18569036122213,NA,NA
"result.9",9,1917.7030863079,3865.40617261579,8.0712987498063,49.9974153824436,0.780908160680188,NA,NA,0.30557324085118,0.339181050018592,NA,0.173310876006945,NA,NA,0.699345319043571,0.0886019045089724,NA,0.00496052973120629,NA,NA,0.500002609736249,NA,NA,4.82338759312373e-05,1.9950503942447,NA,NA,NA,NA,4.81815144073686,NA,NA,5.98017984332396,NA,NA,2.01523863757029,NA,NA
"result.10",10,1851.70082736825,3733.40165473649,15.7361897334339,20.6325388883857,0.640145315871365,NA,NA,0.167006164937235,0.24202009098158,NA,0.0550960871390998,NA,NA,0.00516723856832346,0.00412918343927381,NA,0.137548380617144,NA,NA,0.500998574385277,NA,NA,0.167983395397711,1.02124494685718,NA,NA,NA,NA,3.4005407899629,NA,NA,0.226223968686229,NA,NA,3.08252787021621,NA,NA
