"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.58211282642,4311.16422565285,3.94715074172112,3.94715074172047,0.699999999999979,NA,NA,0.0748761610678173,0.184719114112799,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1372.88162720483,2755.76325440965,26.7914129812535,26.7914129812535,0.1754474222584,NA,NA,0.0971609660125121,0.135694667693636,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1984.34257396901,3978.68514793802,10.7342550061414,10.7342550061389,0.51712911365745,NA,NA,0.0876880482445512,0.18532132461995,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,940.892933560701,1891.7858671214,26.6388859330357,18.5607640458165,0.133136958211352,NA,NA,0.0402707042843216,0.0832441371238064,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1540.19027924265,3090.38055848531,29.6145580586386,29.6145580586385,0.369740034583394,NA,NA,0.0594351225446265,0.0976118334816723,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,979.046308342041,1968.09261668408,11.4148142927511,11.2055104920231,0.1,NA,NA,0.0120729473707259,0.0741096059935519,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1930.62220109084,3871.24440218168,6.81919534158702,6.44950053548457,0.399889895233534,NA,NA,0.0813876612032242,0.152945869252488,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2020.59574838132,4051.19149676265,8.40529124354029,7.3487174734865,0.634757739708895,NA,NA,0.129025446561012,0.231089121645081,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1923.18826034643,3856.37652069285,7.88831115768321,2.00000000000005,0.699999999999997,NA,NA,0.0787998804518694,0.183796299377792,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1853.05248302204,3716.10496604408,16.4704678934085,16.4704678934069,0.63425065361036,NA,NA,0.110132361599183,0.158967100953819,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
