"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.12406639167,4330.24813278335,4.88800847576262,4.85278607382028,0.743305700028853,NA,NA,0.290337554360605,0.255567067562805,NA,0.00477776438389775,0.46066508051008,NA,0.42174773792415,0.143487373049801,NA,0.031325120988631,0.250329200620763,NA,0.695152353831289,NA,NA,1.55940397337804,0.0364665976475098,NA,NA,NA,NA,1.71707722606713,NA,NA,5.05459053302184,NA,NA,0.743987532121552,NA,NA
"result.2",2,1366.12542903217,2766.25085806434,27.940761925636,27.7990474586482,0.200091477432069,NA,NA,0.314539836203137,0.188203759528009,NA,0.222725770921575,0.000633654403423346,NA,0.364635690522078,0.130688036834256,NA,0.00024651275587606,0.00473859056299242,NA,0.621878921842622,NA,NA,0.00223981039560772,0.927618908578475,NA,NA,NA,NA,1.59682337649732,NA,NA,4.51000264478798,NA,NA,1.12536535424005,NA,NA
"result.3",3,1973.85303404802,3981.70606809605,10.7266071976884,10.6578509933234,0.503433383621933,NA,NA,0.38909579849807,0.318712116646765,NA,0.00633181853187963,0.182905016950339,NA,0.149146223547952,0.0106701315705725,NA,0.369539214572081,0.108764064451243,NA,0.501344767101435,NA,NA,0.00186040642154832,1.99967884145241,NA,NA,NA,NA,1.22929422213371,NA,NA,5.26458822683601,NA,NA,4.35607780935243,NA,NA
"result.4",4,923.46628769019,1880.93257538038,27.2479614214929,27.2407641015086,0.200020216466715,NA,NA,0.282358569543808,0.338540291792615,NA,0.00799056259579353,0.0349676125858073,NA,0.281557023981039,0.698098128923154,NA,0.396478525346385,0.124808927335592,NA,0.69880153473311,NA,NA,1.67234373792577,0.0365609920832088,NA,NA,NA,NA,0.026039508449809,NA,NA,5.98974347778325,NA,NA,5.73794593263199,NA,NA
"result.5",5,1526.55129042831,3087.10258085663,32.459066096913,32.2356200261328,0.368441290513389,NA,NA,0.353494943931247,0.338695423413461,NA,0.181823810571774,0.111121579422576,NA,0.337352002505213,0.570220510978178,NA,0.211213448096503,0.0240154296135744,NA,0.506282644834359,NA,NA,1.9953635900265,0.046937509785199,NA,NA,NA,NA,4.08528741092866,NA,NA,5.70453680625308,NA,NA,1.52226714646329,NA,NA
"result.6",6,984.646162826751,2003.2923256535,12.2265998458202,12.201510141665,0.200023188254787,NA,NA,0.12083942135004,0.174039708051355,NA,0.00311879888864966,0.0748130922220857,NA,0.683066982990388,0.695904802402892,NA,0.311490233978081,0.0137731048422291,NA,0.529161656008431,NA,NA,0.00741250533610582,0.811567084684011,NA,NA,NA,NA,0.0402385262896158,NA,NA,5.99369771298363,NA,NA,5.94705627847066,NA,NA
"result.7",7,1926.6895762815,3887.37915256299,8.18290816219242,7.6380452657474,0.434131894181957,NA,NA,0.359403824911116,0.327791943337294,NA,0.218223702560888,0.138404035170494,NA,0.28759838176546,0.168007555299533,NA,0.0107373585234515,0.0233135476207629,NA,0.502374785090628,NA,NA,0.745437476058025,1.02273520972765,NA,NA,NA,NA,4.54352297970257,NA,NA,4.99563744525064,NA,NA,0.491487451829016,NA,NA
"result.8",8,2017.75666870159,4069.51333740318,8.21349838505188,7.1781501163408,0.619413937592637,NA,NA,0.273519355457793,0.196374736393884,NA,0.0370485756450663,0.442436347663564,NA,0.307645849909458,0.200819343006108,NA,0.0151211104978518,0.354737025144204,NA,0.502281009565515,NA,NA,0.462362786190975,1.64418446199187,NA,NA,NA,NA,0.626316367163449,NA,NA,2.68291428233819,NA,NA,0.63438827648316,NA,NA
"result.9",9,1919.42582236838,3872.85164473676,11.1071615036531,11.0252951449009,0.765269640272556,NA,NA,0.188053176599513,0.224898198278888,NA,0.598364859751408,0.148371447472442,NA,0.0373320753180015,0.68687574854707,NA,0.00389988181756933,0.154791526892222,NA,0.535986603749914,NA,NA,1.79912854917347,0.166120703729608,NA,NA,NA,NA,5.96056089088993,NA,NA,0.792156489838113,NA,NA,2.5925519275479,NA,NA
"result.10",10,1851.59005757846,3737.18011515692,17.1741756782438,17.1406239656901,0.637578602979147,NA,NA,0.145453709512905,0.263358970373771,NA,0.20044173701205,0.0303009777627779,NA,0.0831383363319905,0.0109356842585629,NA,0.0790813452083171,0.393705736210156,NA,0.50550629060703,NA,NA,0.161128042688745,1.36677518061888,NA,NA,NA,NA,1.72024174200047,NA,NA,0.153763756550972,NA,NA,2.34119502001365,NA,NA
