"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2146.78896173149,4363.57792346298,4.45960185142727,4.14041028114243,0.769010370678894,0.71882244666667,0.650363846840838,0.148880438298195,0.293918784183916,0.26815518289654,0.163070783536913,0.369129559966347,0.0244973319164133,0.0744796061903628,0.0299821871099994,0.38587752199467,0.653451187377615,0.0107451246512709,0.114643480529552,0.516997320702463,0.526484695177128,0.699441464523052,0.411536936880387,0.622875225968178,1.09527048968083,1.06800783739836,1.95855281652999,0.156764972061193,1.13413862009887,2.15267715255672,1.40287210241363,2.61050814653085,4.07212708834485,2.95718336384743,3.36173137869281,0.389782448528448,4.11908401147899
"result.2",2,1363.97637184218,2797.95274368435,28.0721851805823,27.862777123021,0.221145473964859,0.201125260630813,0.206544354650978,0.38426924962019,0.079637438680511,0.329245470155941,0.199326612135604,0.0782929561178206,0.157037328973508,0.5650243664587,0.528730943717809,0.283137034310173,0.063041048593987,0.357820200460976,0.331267468407952,0.692604621862763,0.526173347065839,0.623818308081806,0.432413130993035,0.0389690568787717,0.0665039370666387,0.147618872725721,1.92524813301772,0.0576187401290026,0.987164559759637,0.764296347438928,3.54224328212142,3.72077922157745,0.275776185487667,3.64320941442647,2.13676542287758,0.262979700230062,3.8507341056087
"result.3",3,1971.83076004988,4013.66152009975,11.951794760024,11.4854962067922,0.450736437816567,0.555466562419953,0.561236573959592,0.213706312153954,0.308677502113296,0.363014125934887,0.0773629702358069,0.0762494482255995,0.312962057871491,0.184315865181468,0.0179121913201862,0.233913646230043,0.0544114574915542,0.156419288197387,0.178098594379481,0.500804566744981,0.505227003634549,0.507080072846533,0.0119675748250752,1.97734582218881,0.00476025286734588,1.86627866137657,0.0184777517558085,1.88751026505337,0.0922428112169467,3.39846416361912,2.85495587788818,4.40398218118042,1.39269070336286,4.24125615479632,5.18461911765286,2.33148812282975,3.32453418535231
"result.4",4,920.718146810889,1911.43629362178,28.3371670927477,27.6681519388953,0.20146903718559,0.200138630565219,0.20131628607578,0.0213072110777375,0.301368442658493,0.241732771277682,0.042022287512726,0.0297099494767991,0.0172475450798673,0.16271828025594,0.694150865399638,0.529591099749186,0.151592306033494,0.115714573110652,0.126324429685535,0.699229245004715,0.534781951084733,0.693996934546158,1.95723017834815,0.0572755088543627,1.87385265703657,1.99166534474501,0.903718025423586,0.00851406324983395,0.490020395658576,0.212892697934019,2.37456409012973,1.60092093872454,5.95472376869202,4.54742729230546,2.05397996865213,4.27647651869596,3.68111793172985
"result.5",5,1520.63729450186,3111.27458900371,31.1300105466868,30.6961170015238,0.326677141474028,0.437630226523447,0.312758663597233,0.363294456659059,0.338079221878878,0.236321243784822,0.422403972654398,0.0989073086416271,0.0299634855022026,0.128507347728325,0.613615291491465,0.202314417261748,0.22926616272821,0.0503236238910045,0.439119192867617,0.614734591814518,0.652406416932848,0.501454080403015,1.97087798023698,0.0243163899240061,1.98953644148969,0.256106683729548,0.897736126753333,1.926591261657,4.66731425051351,3.52745911812805,0.477694566361606,3.18280961478113,5.8061298230982,3.39826970779722,5.19307362845186,5.14355489448973,4.20356386576837
"result.6",6,985.163583857567,2040.32716771513,12.426093450462,12.4165525793078,0.200438225199814,0.200191836307881,0.201305734449101,0.0146881801660389,0.209137707368987,0.0796646761394315,0.170074722651501,0.070184610676075,0.0920893343165517,0.418491738539143,0.638669698941521,0.656578715494834,0.269183294957028,0.200713638053276,0.185119502847444,0.690703020660829,0.50334413520939,0.575523724907587,1.97212695901723,1.42567573946083,0.155055291703418,1.99417202187638,1.47062611818593,0.200847261119634,5.86291138949401,1.634063929422,4.43335126058582,5.97174202678551,5.64639304764569,5.92880547424222,5.68832503079205,3.01079721841961,1.43191450322047
"result.7",7,1918.14858922243,3906.29717844486,8.25263593119148,4.83140633124494,0.524113376310798,0.240756997391634,0.395911893997276,0.379221050900435,0.397965519346493,0.357117513342405,0.292910608230159,0.110275903483853,0.0325769302435219,0.177095647777624,0.18738713078372,0.188322387022296,0.0459110404830426,0.0771927232360358,0.560367918533985,0.517933731879259,0.540068916804201,0.590379044506341,1.93685695410712,0.307899869342763,0.7122341758191,1.79414041876945,0.0193137429780452,1.74591812784215,4.95797184961948,4.1337911570812,5.63830496959049,4.87136720074341,3.99572666890568,4.72612349421915,4.4572555047124,3.52875756198436,5.0224092723613
"result.8",8,2016.272812777,4102.54562555401,10.1781288329845,7.18830762740961,0.613902536416587,0.683032957244977,0.620257571940492,0.332056343001314,0.281498776284978,0.373896754364467,0.0303546864597789,0.159885510150343,0.314125730605194,0.171937803268793,0.314067696196143,0.211281334934756,0.244742831830539,0.230815328347854,0.216925359054258,0.507299907662459,0.505670458616146,0.61016019983801,0.0275265246568376,1.98710305960267,0.0524392776980728,0.0640328090106044,1.86960836760262,0.978658385574818,3.56969636399299,1.71752239339821,3.85052797106299,2.64316590018458,1.51834777754069,4.57717404328287,2.10248093806463,2.31388224448884,0.243470505998419
"result.9",9,1918.84060642873,3907.68121285746,11.4784587347146,11.3207543678094,0.768180700770239,0.78567680042809,0.753445519269944,0.310176672362149,0.224380614216943,0.249530370810828,0.597301211793731,0.196915911412976,0.591672950892314,0.0126823011785746,0.120627659298611,0.167459402853006,0.153506067186851,0.369421528963927,0.00165440797294575,0.686210249107401,0.51048692319683,0.699929606600564,1.85365924100797,0.0611282598562777,0.197443148918751,1.83000289375444,1.58632458733994,0.631033763755113,5.59211087878793,3.1691227619884,5.87476041214424,0.575491069940447,1.40742606222934,5.59620328358047,3.84806766081601,1.15052584689895,4.0989212715067
"result.10",10,1846.91454402841,3763.82908805682,16.2030913653348,15.5901174202052,0.620748525557737,0.709016516353052,0.525627756258473,0.368975548129274,0.248531303565748,0.148608547273828,0.0391995402657872,0.0294204390301371,0.0866018446234238,0.250214094469324,0.0164224068002886,0.114903910495553,0.0141611590872009,0.338120470835364,0.029195995111218,0.500302810449781,0.520005430496598,0.643233365070555,0.0287530007318927,1.98883980355387,0.154677676308027,1.74764193678594,0.104454312007874,0.888437990371936,0.159702011849731,1.66186932015577,1.21329007437453,5.18094706132329,0.401150175484349,0.128176858802282,4.78235034802179,2.90405269728108,0.20560807769936
