,participant,nLL,aic,kappa1,kappa2,beta,gamma,tau,lambda_b,lambda_f,zeta,rho,chi1,chi2,iota1,iota2,upsilon1,upsilon2,psi1,psi2
result.1,1,1543.670532,3121.341063,3.394959513,8.093461821,0.599842605,0.227200384,0.6642367,1.066069323,0.541090872,0.204243523,0.548696234,0.331963649,0.678230895,4.621584777,1.3800842,0.15845747,1.998058611,0.000957121,0.659120202
result.2,2,1209.981273,2453.962547,19.97448284,14.97354718,0.200977543,0.21010101,0.690272092,0.686345878,0.587770352,0.312104905,0.572472218,0.578181461,0.632799324,2.18399125,2.66893307,2.285102562,4.74680383,0.068085674,0.101964845
result.3,3,1385.411127,2804.822253,8.53002528,10.57512872,0.404429277,0.360723094,0.245005239,0.66324022,1.810857324,0.234042988,0.571692621,0.550465547,0.695289635,3.833630757,0.32881076,4.950611654,2.198213139,0.367053042,0.53405974
result.4,4,692.7502933,1419.500587,19.99639577,14.91296409,0.200036738,0.201113169,0.656107425,1.185793425,0.513591258,0.27172751,0.519403444,0.593854028,0.698384795,4.985658755,4.875074424,2.993658851,0.676599112,0.003935859,0.258225794
result.5,5,1371.730045,2777.460089,19.97658232,14.73639745,0.29160967,0.364587705,0.262284261,2.173222869,1.5297427,0.525178179,0.53928427,0.378225137,0.699498319,4.88010654,4.925944251,0.975115354,4.403354047,0.056220723,0.708287993
result.6,6,488.967057,1011.934114,12.84415387,14.78238913,0.200207004,0.200716429,0.244336442,0.518407695,2.171863561,0.496689272,0.206471534,0.599648312,0.699293856,4.991380824,4.954486122,4.572222727,4.828352032,0.002317517,0.014887915
result.7,7,1250.762466,2535.524933,8.017720266,11.05914917,0.340966028,0.270584722,0.478959171,1.021038215,0.718714198,0.570499997,0.598696496,0.5811414,0.693829633,3.884867388,2.868559468,1.857028437,4.936227481,0.558655553,0.731830791
result.8,8,802.0056312,1638.011262,8.024033573,8.092339993,0.401307485,0.266708692,0.274241705,0.693106544,0.576957812,0.351125851,0.590362183,0.275957972,0.29127613,2.729676546,0.099813046,0.032282702,4.321378917,0.034039178,0.596756264
result.9,9,1387.406827,2808.813653,10.55460358,1.0613729,0.599928769,0.201342612,0.660670145,0.786292939,0.522899208,0.517715635,0.5896451,0.110715778,0.66706698,1.603842393,0.23427971,0.911173474,2.814666331,0.731137267,0.993991442
result.10,10,1059.454727,2152.909454,15.68043345,14.89675661,0.557739879,0.207558927,0.221859029,0.861925817,1.003512513,0.579857652,0.476634113,0.001400748,0.691940651,0.185995365,0.599339957,1.120367057,4.084248779,0.838404883,0.973145339
,,,22724.27996,12.69933905,11.31835071,0.3797045,0.251063674,0.439797221,0.965544292,0.99769998,0.406318551,0.521335821,0.400155403,0.644761022,3.39007346,2.293532501,1.985602029,3.500790228,0.266080682,0.557227033
