Spatiotemporal,Orthosem,Spatiotemporal-Orthosem,Mix_Cond,gamma,gamma_beta
3122.61,3104.66,3114.57,3121.34,3123.77,3127.79
2466.81,2445.07,2449.78,2453.96,2453.44,2458.58
2824.76,2798.75,2799.60,2804.82,2808.27,2811.44
1465.94,1395.50,1405.67,1419.50,1418.58,1422.68
2796.99,2779.06,2776.98,2777.46,2780.09,2777.84
1039.80,994.10,998.65,1011.93,1004.84,1008.85
2541.26,2527.91,2533.51,2535.52,2537.99,2538.10
1633.54,1630.97,1635.04,1638.01,1641.56,1644.01
2799.48,2793.24,2804.78,2808.81,2811.51,2814.86
2149.14,2145.88,2152.34,2152.91,2155.33,2157.70
22840.32,22615.14,22670.92,22724.28,22735.39,22761.84
