,temporal,asym_temporal,spatial,ortho,temporal_ortho,spatial_ortho,spatiotemporal,spatiotemporal_ortho,four_factor,temporal_weight,spatial_weight,spatiotemporal_weight,temporal_decay,spatial_decay,spatiotemporal_decay
1,4314.21,4317.40,4312.32,4314.04,4317.63,4316.19,4315.95,4320.01,4324.21,4318.75,4315.35,4319.37,4320.77,4318.80,4324.30
2,2776.21,2776.98,2777.90,2748.86,2770.12,2771.65,2767.27,2755.82,2779.64,2750.90,2754.16,2757.06,2771.04,2773.21,2776.91
3,3977.47,3973.93,3982.18,3979.54,3978.95,3983.50,3981.37,3982.97,3983.36,3978.23,3983.03,3982.47,3979.82,3984.12,3984.34
4,1916.89,1916.56,1916.89,1864.28,1893.53,1893.53,1899.70,1872.17,1899.89,1856.50,1856.57,1860.82,1885.87,1885.90,1892.03
5,3091.64,3095.63,3105.56,3074.31,3078.73,3093.43,3079.80,3059.75,3084.90,3058.55,3072.50,3057.35,3078.68,3095.86,3083.32
6,1972.07,1975.72,1972.07,1951.41,1955.41,1955.41,1976.07,1959.43,1963.45,1956.23,1956.26,1960.79,1958.23,1958.14,1964.18
7,3867.34,3870.47,3865.67,3864.02,3867.27,3865.88,3868.00,3868.85,3872.81,3862.00,3869.21,3864.77,3863.21,3869.48,3867.17
8,4050.98,4053.79,4054.54,4050.55,4051.27,4052.88,4054.87,4054.47,4058.49,4050.69,4055.03,4054.94,4052.63,4057.01,4057.89
9,3857.59,3861.60,3856.02,3857.53,3861.56,3858.92,3859.03,3861.93,3865.98,3862.34,3857.80,3856.79,3864.72,3860.23,3863.36
10,3716.60,3715.38,3717.23,3717.20,3720.64,3721.24,3720.10,3723.81,3728.00,3722.21,3722.93,3726.09,3724.67,3725.28,3730.21
11,33541.00,33557.46,33560.40,33421.73,33495.10,33512.62,33522.16,33459.21,33560.73,33416.40,33442.83,33440.46,33499.64,33528.04,33543.71
12,0.15,0.03,0.38,0.16,0.03,0.05,0.06,0.01,0.00,0.02,0.08,0.01,0.01,0.01,0.00
13,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.02,0.00,0.24,0.05,0.01,0.00,0.00,0.00
14,0.11,0.63,0.01,0.04,0.05,0.01,0.02,0.01,0.01,0.07,0.01,0.01,0.03,0.00,0.00
15,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.48,0.46,0.05,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.30,0.00,0.54,0.00,0.00,0.00
17,0.00,0.00,0.00,0.65,0.09,0.09,0.00,0.01,0.00,0.06,0.06,0.01,0.02,0.02,0.00
18,0.02,0.01,0.06,0.13,0.03,0.05,0.02,0.01,0.00,0.35,0.01,0.09,0.19,0.01,0.03
19,0.16,0.04,0.03,0.20,0.14,0.06,0.02,0.03,0.00,0.19,0.02,0.02,0.07,0.01,0.01
20,0.12,0.02,0.26,0.12,0.02,0.06,0.06,0.01,0.00,0.01,0.11,0.18,0.00,0.03,0.01
21,0.20,0.38,0.15,0.15,0.03,0.02,0.04,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00
22,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00
