cue,word,count
prove,proof,10
prove,court,7
prove,truth,6
prove,worth,6
prove,logic,4
prove,right,4
prove,trust,3
prove,facts,2
prove,judge,2
prove,solve,2
prove,alibi,1
prove,allow,1
prove,candy,1
prove,check,1
prove,doubt,1
prove,groom,1
prove,guilt,1
prove,heart,1
prove,label,1
prove,legal,1
prove,maths,1
prove,plumb,1
prove,posit,1
cliff,rocks,6
cliff,climb,5
cliff,ocean,3
cliff,rocky,2
cliff,again,1
cliff,bluff,1
cliff,chalk,1
cliff,cleft,1
cliff,coast,1
cliff,diver,1
cliff,gorge,1
cliff,grand,1
cliff,quaff,1
cliff,racer,1
cliff,ridge,1
cliff,scale,1
cliff,seven,1
cliff,shale,1
cliff,shear,1
cliff,sheer,1
cliff,vista,1
thick,dense,14
thick,heavy,6
thick,broad,5
thick,brick,4
thick,solid,4
thick,girth,2
thick,juicy,2
thick,layer,2
thick,prick,2
thick,stiff,2
thick,wedge,2
thick,block,1
thick,depth,1
thick,giant,1
thick,gooey,1
thick,hardy,1
thick,large,1
thick,meaty,1
thick,messy,1
thick,mouse,1
thick,pizza,1
thick,plush,1
thick,round,1
thick,socks,1
thick,tight,1
thick,width,1
lines,graph,3
lines,white,3
lines,curve,2
lines,shape,2
lines,train,2
lines,chart,1
lines,dines,1
lines,drawn,1
lines,edges,1
lines,exact,1
lines,guide,1
lines,image,1
lines,paint,1
lines,paths,1
lines,photo,1
lines,poems,1
lines,queue,1
lines,rails,1
lines,rules,1
lines,scene,1
lines,spots,1
lines,staff,1
lines,words,1
fresh,fruit,19
fresh,crisp,7
fresh,salad,3
fresh,clear,2
fresh,daisy,2
fresh,lemon,2
fresh,start,2
fresh,young,2
fresh,alert,1
fresh,alive,1
fresh,awake,1
fresh,cream,1
fresh,drops,1
fresh,early,1
fresh,funky,1
fresh,ideas,1
fresh,juice,1
fresh,linen,1
fresh,scent,1
fresh,stale,1
loose,baggy,7
loose,moose,3
loose,slack,3
loose,tooth,2
loose,beans,1
loose,bolts,1
loose,chain,1
loose,coins,1
loose,fixed,1
loose,found,1
loose,hinge,1
loose,jeans,1
loose,laces,1
loose,lasso,1
loose,leash,1
loose,moral,1
loose,purse,1
loose,roomy,1
loose,saggy,1
loose,shirt,1
loose,swoop,1
chunk,piece,22
chunk,vomit,6
chunk,bunch,3
chunk,throw,3
