"","cue","n_resp","resp","count"
"12","music",31,"notes",20
"8","music",31,"dance",10
"25","music",31,"sound",10
"17","music",31,"piano",8
"22","music",31,"score",4
"7","music",31,"choir",2
"9","music",31,"enjoy",2
"21","music",31,"relax",2
"23","music",31,"sheet",2
"27","music",31,"tempo",2
"29","music",31,"tunes",2
"1","music",31,"aloud",1
"2","music",31,"audio",1
"3","music",31,"black",1
"4","music",31,"bliss",1
"5","music",31,"Carol",1
"6","music",31,"cello",1
"10","music",31,"heart",1
"11","music",31,"maker",1
"13","music",31,"opera",1
"14","music",31,"organ",1
"15","music",31,"peace",1
"16","music",31,"phone",1
"18","music",31,"pitch",1
"19","music",31,"power",1
"20","music",31,"radio",1
"24","music",31,"songs",1
"26","music",31,"staff",1
"28","music",31,"tones",1
"30","music",31,"waltz",1
"31","music",31,"youth",1
"241","paper",25,"white",16
"251","paper",25,"write",16
"142","paper",25,"print",4
"112","paper",25,"books",3
"82","paper",25,"lined",3
"212","paper",25,"chase",2
"172","paper",25,"sheet",2
"182","paper",25,"stamp",2
"221","paper",25,"trail",2
"33","paper",25,"clean",1
"42","paper",25,"craft",1
"52","paper",25,"crisp",1
"61","paper",25,"daily",1
"72","paper",25,"happy",1
"92","paper",25,"linen",1
"102","paper",25,"money",1
"113","paper",25,"notes",1
"122","paper",25,"piece",1
"132","paper",25,"plane",1
"152","paper",25,"reams",1
"162","paper",25,"ruled",1
"192","paper",25,"sword",1
"202","paper",25,"theme",1
"213","paper",25,"towel",1
"231","paper",25,"trees",1
"1611","sheet",26,"paper",62
"242","sheet",26,"white",22
"1511","sheet",26,"music",11
"612","sheet",26,"cover",7
"1116","sheet",26,"ghost",5
"313","sheet",26,"clean",4
"1311","sheet",26,"linen",4
"1411","sheet",26,"metal",3
"206","sheet",26,"sleep",3
"232","sheet",26,"towel",3
"170","sheet",26,"blank",2
"413","sheet",26,"cloth",2
"813","sheet",26,"duvet",2
"227","sheet",26,"broad",1
"513","sheet",26,"cloud",1
"713","sheet",26,"dough",1
"913","sheet",26,"excel",1
"1013","sheet",26,"fresh",1
"1213","sheet",26,"graph",1
"1710","sheet",26,"plant",1
"189","sheet",26,"quilt",1
"197","sheet",26,"short",1
"2111","sheet",26,"sound",1
"228","sheet",26,"study",1
"252","sheet",26,"words",1
"261","sheet",26,"write",1
"1320","quiet",26,"peace",16
"2310","quiet",26,"still",13
"1126","quiet",26,"noise",6
"1816","quiet",26,"shush",6
"1914","quiet",26,"sleep",4
"723","quiet",26,"mouse",3
"209","quiet",26,"small",3
"1519","quiet",26,"place",2
"1718","quiet",26,"quite",2
"1107","quiet",26,"alone",1
"244","quiet",26,"aloof",1
"322","quiet",26,"class",1
"423","quiet",26,"dream",1
"523","quiet",26,"eerie",1
"622","quiet",26,"front",1
"822","quiet",26,"music",1
"923","quiet",26,"never",1
"1023","quiet",26,"night",1
"1222","quiet",26,"noisy",1
"1419","quiet",26,"piano",1
"2114","quiet",26,"snowy",1
"2212","quiet",26,"space",1
"245","quiet",26,"storm",1
"253","quiet",26,"times",1
"262","quiet",26,"tired",1
"271","quiet",26,"woods",1
"330","money",29,"coins",12
"1328","money",29,"green",11
"256","money",29,"bills",6
"1230","money",29,"greed",5
"2313","money",29,"power",5
"2410","money",29,"spend",5
"1725","money",29,"lucre",3
"731","money",29,"dirty",2
"2015","money",29,"notes",2
"2120","money",29,"paper",2
"1139","money",29,"banks",1
"431","money",29,"color",1
"531","money",29,"devil",1
"630","money",29,"diner",1
"830","money",29,"dough",1
"931","money",29,"earth",1
"1031","money",29,"fiend",1
"1140","money",29,"funds",1
"1426","money",29,"honey",1
"1526","money",29,"house",1
"1625","money",29,"krone",1
"1920","money",29,"moult",1
"2217","money",29,"pound",1
"257","money",29,"talks",1
"263","money",29,"taxes",1
"272","money",29,"trade",1
"281","money",29,"trees",1
"291","money",29,"trust",1
"301","money",29,"value",1
"1726","cover",26,"sheet",9
"2218","cover",26,"story",4
"932","cover",26,"duvet",3
"732","cover",26,"close",2
"1427","cover",26,"plate",2
"2314","cover",26,"table",2
"264","cover",26,"under",2
"1141","cover",26,"a lid",1
"258","cover",26,"above",1
"331","cover",26,"ahead",1
"432","cover",26,"alias",1
"532","cover",26,"black",1
"631","cover",26,"board",1
"831","cover",26,"cloud",1
"1032","cover",26,"evade",1
"1142","cover",26,"field",1
"1231","cover",26,"music",1
"1329","cover",26,"night",1
"1527","cover",26,"quilt",1
"1626","cover",26,"sewer",1
"1823","cover",26,"shiny",1
"1921","cover",26,"sleep",1
"2016","cover",26,"stiff",1
"2121","cover",26,"stock",1
"2411","cover",26,"three",1
"259","cover",26,"towel",1
"1036","force",25,"field",14
"2019","force",25,"power",10
"635","force",25,"brute",5
"1148","force",25,"anger",2
"335","force",25,"armed",2
"536","force",25,"break",2
"736","force",25,"bully",2
"835","force",25,"entry",2
"1149","force",25,"fight",2
"1332","force",25,"heavy",2
"1530","force",25,"Maure",2
"267","force",25,"angry",1
"436","force",25,"blunt",1
"936","force",25,"exert",1
"1234","force",25,"green",1
"1430","force",25,"impel",1
"1629","force",25,"might",1
"1729","force",25,"minor",1
"1826","force",25,"movie",1
"1924","force",25,"pound",1
"2123","force",25,"scary",1
"2220","force",25,"seize",1
"2316","force",25,"shove",1
"2413","force",25,"storm",1
"2510","force",25,"wield",1
"537","stage",28,"coach",11
"1150","stage",28,"actor",10
"836","stage",28,"drama",7
"282","stage",28,"world",7
"1431","stage",28,"music",5
"1630","stage",28,"phase",5
"1037","stage",28,"front",3
"1531","stage",28,"opera",2
"1730","stage",28,"place",2
"2511","stage",28,"start",2
"268","stage",28,"amass",1
"336","stage",28,"arena",1
"437","stage",28,"black",1
"636","stage",28,"craft",1
"737","stage",28,"dance",1
"937","stage",28,"false",1
"1151","stage",28,"horse",1
"1235","stage",28,"house",1
"1333","stage",28,"level",1
"1827","stage",28,"plays",1
"1925","stage",28,"right",1
"2020","stage",28,"round",1
"2124","stage",28,"setup",1
"2221","stage",28,"shout",1
"2317","stage",28,"stand",1
"2414","stage",28,"stare",1
"269","stage",28,"teach",1
"273","stage",28,"wagon",1
"1732","press",27,"paper",10
"1535","press",27,"media",6
"840","press",27,"enter",3
"1634","press",27,"pants",3
"1829","press",27,"print",3
"2222","press",27,"smash",3
"1239","press",27,"heavy",2
"1337","press",27,"hurry",2
"1435","press",27,"juice",2
"2318","press",27,"steam",2
"2512","press",27,"thumb",2
"2610","press",27,"touch",2
"276","press",27,"words",2
"1158","press",27,"again",1
"277","press",27,"apple",1
"340","press",27,"bench",1
"441","press",27,"board",1
"541","press",27,"click",1
"640","press",27,"corps",1
"741","press",27,"dress",1
"941","press",27,"flesh",1
"1041","press",27,"force",1
"1159","press",27,"frown",1
"1927","press",27,"shift",1
"2022","press",27,"shirt",1
"2126","press",27,"shove",1
"2415","press",27,"stomp",1
"2223","story",29,"novel",8
"841","story",29,"floor",5
"542","story",29,"fable",4
"278","story",29,"board",2
"442","story",29,"child",2
"1042","story",29,"glory",2
"283","story",29,"words",2
"1160","story",29,"alibi",1
"341","story",29,"brave",1
"641","story",29,"fairy",1
"742","story",29,"false",1
"942","story",29,"funny",1
"1161","story",29,"group",1
"1240","story",29,"happy",1
"1338","story",29,"hoary",1
