word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
thanks,31789,7149,7764,4235,623.31,4.5023,85.23,3.8543,6
excuse,18773,6042,4153,2872,368.1,4.2736,72.03,3.7813,6
forget,14130,5661,9985,4831,277.06,4.1502,67.49,3.753,6
anyway,12164,5348,8066,4344,238.51,4.0851,63.76,3.7283,6
nobody,13599,5143,6710,3537,266.65,4.1335,61.31,3.7113,6
either,9308,4986,8023,4590,182.51,3.9689,59.44,3.6978,6
almost,9857,4950,8491,4568,193.27,3.9938,59.01,3.6947,6
reason,9858,4828,9783,4805,193.29,3.9938,57.56,3.6839,6
behind,9581,4729,9093,4630,187.86,3.9815,56.38,3.6749,6
though,9279,4620,8346,4365,181.94,3.9675,55.08,3.6647,6
moment,9539,4391,9482,4374,187.04,3.9795,52.35,3.6427,6
sounds,7970,4362,5117,3310,156.27,3.9015,52,3.6398,6
answer,8986,4344,8076,4105,176.2,3.9536,51.79,3.638,6
stupid,9405,4276,8456,4059,184.41,3.9734,50.98,3.6311,6
living,7983,4108,7628,4027,156.53,3.9022,48.97,3.6137,6
months,8314,4025,8241,4010,163.02,3.9199,47.99,3.6049,6
office,10399,3975,9913,3902,203.9,4.017,47.39,3.5994,6
dinner,10336,3958,9643,3853,202.67,4.0144,47.19,3.5976,6
asking,6546,3849,6452,3818,128.35,3.816,45.89,3.5855,6
doctor,13461,3703,9101,3267,263.94,4.1291,44.15,3.5687,6
figure,6598,3693,6356,3613,129.37,3.8195,44.03,3.5675,6
unless,5798,3653,3557,2603,113.69,3.7634,43.55,3.5628,6
looked,6166,3650,5983,3570,120.9,3.7901,43.51,3.5624,6
except,5696,3610,3434,2472,111.69,3.7556,43.04,3.5576,6
wonder,5966,3567,5465,3364,116.98,3.7758,42.53,3.5524,6
giving,5613,3561,5383,3485,110.06,3.7493,42.45,3.5517,6
worked,5877,3544,5757,3499,115.24,3.7692,42.25,3.5496,6
turned,5388,3459,5230,3390,105.65,3.7315,41.24,3.5391,6
follow,6283,3431,4659,2885,123.2,3.7982,40.9,3.5355,6
seeing,5591,3430,5228,3268,109.63,3.7476,40.89,3.5354,6
street,7557,3411,5281,2861,148.18,3.8784,40.67,3.533,6
police,12044,3369,9934,3146,236.16,4.0808,40.16,3.5276,6
moving,6104,3320,5744,3178,119.69,3.7857,39.58,3.5213,6
scared,6803,3316,6472,3241,133.39,3.8328,39.53,3.5207,6
expect,5299,3306,5220,3285,103.9,3.7243,39.41,3.5194,6
rather,5825,3305,5546,3236,114.22,3.7654,39.4,3.5193,6
become,5894,3286,5798,3260,115.57,3.7705,39.18,3.5168,6
longer,5046,3279,4992,3260,98.94,3.703,39.09,3.5159,6
thinks,5235,3274,5135,3222,102.65,3.719,39.03,3.5152,6
handle,5529,3272,5439,3255,108.41,3.7427,39.01,3.5149,6
