cue,word,number
anger,mad,1
anger,fear,2
anger,hate,3
anger,rage,4
anger,temper,5
anger,fury,6
anger,ire,7
anger,wrath,8
anger,happy,9
anger,fight,11
anger,hatred,12
anger,mean,13
anger,calm,14
anger,emotion,15
anger,enrage,16
black,white,1
black,dark,2
black,cat,3
black,charred,4
black,night,5
black,funeral,6
black,color,7
black,grief,8
black,blue,9
black,death,11
black,ink,12
black,bottom,13
black,coal,14
black,brown,15
black,gray,16
bread,butter,1
bread,food,2
bread,eat,3
bread,sandwich,4
bread,rye,5
bread,jam,6
bread,milk,7
bread,flour,8
bread,jelly,9
bread,dough,11
bread,crust,12
bread,slice,13
bread,wine,14
bread,loaf,15
bread,toast,16
chair,table,1
chair,sit,2
chair,legs,3
chair,seat,4
chair,couch,5
chair,desk,6
chair,recliner,7
chair,sofa,8
chair,wood,9
chair,cushion,11
chair,swivel,12
chair,stool,13
chair,sitting,14
chair,rocking,15
chair,bench,16
cold,hot,1
cold,snow,2
cold,warm,3
cold,winter,4
cold,ice,5
cold,wet,6
cold,frigid,7
cold,chilly,8
cold,heat,9
cold,weather,11
cold,freeze,12
cold,air,13
cold,shiver,14
cold,Arctic,15
cold,frost,16
doctor,nurse,1
doctor,sick,2
doctor,lawyer,3
doctor,medicine,4
doctor,health,5
doctor,hospital,6
doctor,dentist,7
doctor,physician,8
doctor,ill,9
doctor,patient,11
doctor,office,12
doctor,stethoscope,13
doctor,surgeon,14
doctor,clinic,15
doctor,cure,16
foot,shoe,1
foot,hand,2
foot,toe,3
foot,kick,4
foot,sandals,5
foot,soccer,6
foot,yard,7
foot,walk,8
foot,ankle,9
foot,arm,11
foot,boot,12
foot,inch,13
foot,sock,14
foot,smell,15
foot,mouth,16
fruit,apple,1
fruit,vegetable,2
fruit,orange,3
fruit,kiwi,4
fruit,citrus,5
fruit,ripe,6
fruit,pear,7
fruit,banana,8
fruit,berry,9
fruit,cherry,11
fruit,basket,12
fruit,juice,13
fruit,salad,14
fruit,bowl,15
fruit,cocktail,16
girl,boy,1
girl,dolls,2
girl,female,3
girl,young,4
girl,dress,5
girl,pretty,6
girl,hair,7
girl,niece,8
girl,dance,9
girl,beautiful,11
girl,cute,12
girl,date,13
girl,aunt,14
girl,daughter,15
girl,sister,16
high,low,1
high,clouds,2
high,up,3
high,tall,4
high,tower,5
high,jump,6
high,above,7
high,building,8
high,noon,9
high,cliff,11
high,sky,12
high,over,13
high,airplane,14
high,dive,15
high,elevate,16
king,queen,1
king,England,2
king,crown,3
king,prince,4
king,George,5
king,dictator,6
king,palace,7
king,throne,8
king,chess,9
king,rule,11
king,subjects,12
king,monarch,13
king,royal,14
king,leader,15
king,reign,16
man,woman,1
man,husband,2
man,uncle,3
man,lady,4
man,mouse,5
man,male,6
man,father,7
man,strong,8
man,friend,9
man,beard,11
man,person,12
man,handsome,13
man,muscle,14
man,suit,15
man,old,16
mountain,hill,1
mountain,valley,2
mountain,climb,3
mountain,summit,4
mountain,top,5
mountain,molehill,6
mountain,peak,7
mountain,plain,8
mountain,glacier,9
mountain,goat,11
mountain,bike,12
mountain,climber,13
mountain,range,14
mountain,steep,15
mountain,ski,16
music,note,1
music,sound,2
music,piano,3
music,sing,4
music,radio,5
music,band,6
music,melody,7
music,horn,8
music,concert,9
music,instrument,11
music,symphony,12
music,jazz,13
music,orchestra,14
music,art,15
music,rhythm,16
needle,thread,1
needle,pin,2
needle,eye,3
needle,sewing,4
needle,sharp,5
needle,point,6
needle,prick,7
needle,thimble,8
needle,haystack,9
needle,thorn,11
needle,hurt,12
needle,injection,13
needle,syringe,14
needle,cloth,15
needle,knitting,16
river,water,1
river,stream,2
river,lake,3
river,Mississippi,4
river,boat,5
river,tide,6
river,swim,7
river,flow,8
river,run,9
river,barge,11
river,creek,12
river,brook,13
river,fish,14
river,bridge,15
river,winding,16
rough,smooth,1
rough,bumpy,2
rough,road,3
rough,tough,4
rough,sandpaper,5
rough,jagged,6
rough,ready,7
rough,coarse,8
rough,uneven,9
rough,riders,11
rough,rugged,12
rough,sand,13
rough,boards,14
rough,ground,15
rough,gravel,16
sleep,bed,1
sleep,rest,2
sleep,awake,3
sleep,tired,4
sleep,dream,5
sleep,wake,6
sleep,snooze,7
sleep,blanket,8
sleep,doze,9
sleep,slumber,11
sleep,snore,12
sleep,nap,13
sleep,peace,14
sleep,yawn,15
sleep,drowsy,16
slow,fast,1
slow,lethargic,2
slow,stop,3
slow,listless,4
slow,snail,5
slow,cautious,6
slow,delay,7
slow,traffic,8
slow,turtle,9
slow,hesitant,11
slow,speed,12
slow,quick,13
slow,sluggish,14
slow,wait,15
slow,molasses,16
soft,hard,1
soft,light,2
soft,pillow,3
soft,plush,4
soft,loud,5
soft,cotton,6
soft,fur,7
soft,touch,8
soft,fluffy,9
soft,feather,11
soft,furry,12
soft,downy,13
soft,kitten,14
soft,skin,15
soft,tender,16
spider,web,1
spider,insect,2
spider,bug,3
spider,fright,4
spider,fly,5
spider,arachnid,6
spider,crawl,7
spider,tarantula,8
spider,poison,9
spider,bite,11
spider,creepy,12
spider,animal,13
spider,ugly,14
spider,feelers,15
spider,small,16
sweet,sour,1
sweet,candy,2
sweet,sugar,3
sweet,bitter,4
sweet,good,5
sweet,taste,6
sweet,tooth,7
sweet,nice,8
sweet,honey,9
sweet,soda,11
sweet,chocolate,12
sweet,heart,13
sweet,cake,14
sweet,tart,15
sweet,pie,16
thief,steal,1
thief,robber,2
thief,crook,3
thief,burglar,4
thief,money,5
thief,cop,6
thief,bad,7
thief,rob,8
thief,jail,9
thief,gun,11
thief,villain,12
thief,crime,13
thief,bank,14
