"","cue","n_resp","word","count","cos","V6"
"1762","prove",35,"proof",10,0.204150062042217,0.264952778353089
"1763","prove",35,"court",7,0.309619569683154,0.264952778353089
"1764","prove",35,"truth",6,0.272655841770445,0.264952778353089
"1765","prove",35,"worth",6,0.274454822535219,0.264952778353089
"1766","prove",35,"logic",4,0.269286653370943,0.264952778353089
"1767","prove",35,"right",4,0.1991426535818,0.264952778353089
"1768","prove",35,"wrong",4,0.253957861926951,0.264952778353089
"1770","prove",35,"trust",3,0.259437226036841,0.264952778353089
"1771","prove",35,"facts",2,0.342745171427552,0.264952778353089
"1772","prove",35,"FALSE",2,0.381400357420502,0.264952778353089
"1773","prove",35,"judge",2,0.244346852850317,0.264952778353089
"1774","prove",35,"solve",2,0.321561708483253,0.264952778353089
"1775","prove",35,"alibi",1,0.214744580252895,0.264952778353089
"1776","prove",35,"allow",1,0.275583770223633,0.264952778353089
"1777","prove",35,"Asian",1,0.301029626310024,0.264952778353089
"1779","prove",35,"candy",1,0.215341520150868,0.264952778353089
"1780","prove",35,"check",1,0.307978841425865,0.264952778353089
"1781","prove",35,"doubt",1,0.190687076370979,0.264952778353089
"1782","prove",35,"drove",1,0.303192310209338,0.264952778353089
"1783","prove",35,"fight",1,0.306204589965389,0.264952778353089
"1784","prove",35,"groom",1,0.234058849927802,0.264952778353089
"1785","prove",35,"guilt",1,0.259221935362003,0.264952778353089
"1786","prove",35,"heart",1,0.276278129344302,0.264952778353089
"1787","prove",35,"label",1,0.299031198480992,0.264952778353089
"1788","prove",35,"legal",1,0.306294971355652,0.264952778353089
"1789","prove",35,"maths",1,0.364171146796179,0.264952778353089
"1790","prove",35,"Milan",1,0.246076856698444,0.264952778353089
"1791","prove",35,"plumb",1,0.209521109917324,0.264952778353089
"1793","prove",35,"posit",1,0.216864152477628,0.264952778353089
"1794","prove",35,"power",1,0.259120074145082,0.264952778353089
"1795","prove",35,"print",1,0.294312527447247,0.264952778353089
"1796","prove",35,"proud",1,0.198233740745302,0.264952778353089
"1797","prove",35,"score",1,0.198556949634078,0.264952778353089
"1798","prove",35,"stand",1,0.248826702740972,0.264952778353089
"1799","prove",35,"tasty",1,0.215257801246932,0.264952778353089
"2760","bored",20,"ennui",5,0.234678520349167,0.276370732038111
"2763","bored",20,"class",3,0.2703779473051,0.276370732038111
"2768","bored",20,"blank",1,0.282878374812474,0.276370732038111
"2769","bored",20,"child",1,0.252172330275015,0.276370732038111
"2770","bored",20,"couch",1,0.264279421520153,0.276370732038111
"2771","bored",20,"hands",1,0.260836849948488,0.276370732038111
"2773","bored",20,"inert",1,0.230164978803512,0.276370732038111
"2774","bored",20,"lazed",1,0.344749008191975,0.276370732038111
"2776","bored",20,"never",1,0.299770787908259,0.276370732038111
"2778","bored",20,"of it",1,0.23247889421652,0.276370732038111
"2780","bored",20,"plank",1,0.244419967840803,0.276370732038111
"2781","bored",20,"rainy",1,0.399255609836598,0.276370732038111
"2785","bored",20,"smart",1,0.23498481983016,0.276370732038111
"2786","bored",20,"snore",1,0.29448654884697,0.276370732038111
"2788","bored",20,"study",1,0.206136791648979,0.276370732038111
"2789","bored",20,"sucks",1,0.249748126356021,0.276370732038111
"2790","bored",20,"today",1,0.3717923676489,0.276370732038111
"2791","bored",20,"value",1,0.261918932421702,0.276370732038111
"2792","bored",20,"watch",1,0.250914644321855,0.276370732038111
"3271","cliff",23,"notes",7,0.316575591443855,0.302416734447141
"3275","cliff",23,"Dover",5,0.319070439248577,0.302416734447141
"3276","cliff",23,"ledge",5,0.284711938933368,0.302416734447141
"3277","cliff",23,"ocean",3,0.249466385097605,0.302416734447141
"3282","cliff",23,"again",1,0.383799482824467,0.302416734447141
"3283","cliff",23,"beach",1,0.283792353368483,0.302416734447141
"3284","cliff",23,"bluff",1,0.338120536665171,0.302416734447141
"3286","cliff",23,"chasm",1,0.219067151050297,0.302416734447141
"3287","cliff",23,"cleft",1,0.376026722640184,0.302416734447141
"3288","cliff",23,"coast",1,0.262826040630588,0.302416734447141
