cue,n_resp,resp,count
music,31,notes,20
music,31,dance,10
music,31,sound,10
music,31,piano,8
music,31,score,4
music,31,choir,2
music,31,enjoy,2
music,31,relax,2
music,31,sheet,2
music,31,tempo,2
music,31,tunes,2
music,31,aloud,1
music,31,audio,1
music,31,bliss,1
music,31,cello,1
music,31,heart,1
music,31,maker,1
music,31,opera,1
music,31,organ,1
music,31,phone,1
music,31,pitch,1
music,31,power,1
music,31,radio,1
music,31,songs,1
music,31,staff,1
music,31,tones,1
music,31,waltz,1
music,31,youth,1
money,29,coins,12
money,29,bills,6
money,29,greed,5
money,29,power,5
money,29,spend,5
money,29,dirty,2
money,29,notes,2
money,29,paper,2
money,29,banks,1
money,29,color,1
money,29,devil,1
money,29,funds,1
money,29,honey,1
money,29,house,1
money,29,pound,1
money,29,taxes,1
money,29,trade,1
money,29,trees,1
money,29,trust,1
money,29,value,1
laugh,24,smile,27
laugh,24,funny,24
laugh,24,humor,9
laugh,24,belly,3
laugh,24,enjoy,3
laugh,24,teeth,3
laugh,24,mirth,2
laugh,24,sound,2
laugh,24,tears,2
laugh,24,again,1
laugh,24,cheer,1
laugh,24,comic,1
laugh,24,haha,1
laugh,24,jokes,1
laugh,24,merry,1
laugh,24,mouth,1
laugh,24,often,1
laugh,24,silly,1
laugh,24,snort,1
large,28,small,28
large,28,barge,5
large,28,giant,5
large,28,grand,5
large,28,great,4
large,28,heavy,4
large,28,jumbo,2
large,28,loose,2
large,28,world,2
large,28,bosom,1
large,28,drink,1
large,28,fries,1
large,28,hefty,1
large,28,house,1
large,28,obese,1
large,28,pizza,1
large,28,purse,1
large,28,regal,1
large,28,roomy,1
large,28,looms,1
large,28,table,1
fight,30,argue,7
fight,30,brawl,7
fight,30,punch,6
fight,30,anger,3
fight,30,fists,3
fight,30,prize,2
fight,30,tears,2
fight,30,blood,1
fight,30,boxer,1
fight,30,bully,1
fight,30,cuffs,1
fight,30,drama,1
fight,30,gangs,1
fight,30,match,1
fight,30,melee,1
fight,30,night,1
fight,30,pride,1
fight,30,rebel,1
fight,30,right,1
fight,30,score,1
fight,30,scrap,1
fight,30,smack,1
fight,30,sword,1
fight,30,tiger,1
fight,30,tough,1
train,27,track,14
train,27,steam,8
train,27,teach,8
train,27,learn,4
train,27,wreck,4
train,27,noisy,2
train,27,speed,2
train,27,wagon,2
train,27,carry,1
train,27,chuff,1
train,27,coach,1
train,27,depot,1
train,27,diner,1
train,27,exert,1
train,27,going,1
train,27,hills,1
train,27,moves,1
train,27,plane,1
train,27,seats,1
train,27,sleep,1
train,27,study,1
train,27,wheel,1
train,27,smoke,1
dwarf,30,small,39
dwarf,30,short,29
dwarf,30,beard,9
dwarf,30,armor,3
dwarf,30,elves,2
dwarf,30,funny,2
dwarf,30,gnome,2
dwarf,30,story,2
dwarf,30,troll,2
dwarf,30,angry,1
dwarf,30,apple,1
dwarf,30,books,1
dwarf,30,broad,1
dwarf,30,dopey,1
dwarf,30,horns,1
dwarf,30,magic,1
dwarf,30,miner,1
dwarf,30,plant,1
dwarf,30,squat,1
dwarf,30,stool,1
dwarf,30,thorn,1
dwarf,30,throw,1
dwarf,30,woods,1
wheat,25,bread,55
wheat,25,grain,19
wheat,25,field,15
wheat,25,flour,10
wheat,25,whole,8
wheat,25,chaff,6
wheat,25,grass,5
wheat,25,stalk,4
wheat,25,brown,3
wheat,25,sheaf,3
wheat,25,plant,2
wheat,25,thins,2
wheat,25,amber,1
wheat,25,color,1
wheat,25,crops,1
wheat,25,dough,1
wheat,25,fiber,1
wheat,25,horse,1
