"","word","list","list_type"
"1","fooled","1","orthographic"
"2","formed","1","orthographic"
"3","forged","1","orthographic"
"4","folded","1","orthographic"
"5","fouled","1","orthographic"
"6","fueled","1","orthographic"
"7","flowed","1","orthographic"
"8","fabled","1","orthographic"
"9","foiled","1","orthographic"
"10","flayed","1","orthographic"
"11","fogged","1","orthographic"
"12","fanned","1","orthographic"
"13","flared","1","orthographic"
"14","fenced","1","orthographic"
"15","flaked","1","orthographic"
"16","forked","1","orthographic"
"17","flexed","1","orthographic"
"18","fatted","1","orthographic"
"19","felled","1","orthographic"
"20","farmed","1","orthographic"
"21","stores","2","orthographic"
"22","stones","2","orthographic"
"23","scores","2","orthographic"
"24","stored","2","orthographic"
"25","storms","2","orthographic"
"26","shores","2","orthographic"
"27","stares","2","orthographic"
"28","snores","2","orthographic"
"29","scones","2","orthographic"
"30","shoves","2","orthographic"
"31","spares","2","orthographic"
"32","scorer","2","orthographic"
"33","spokes","2","orthographic"
"34","spores","2","orthographic"
"35","scopes","2","orthographic"
"36","scorns","2","orthographic"
"37","snored","2","orthographic"
"38","stoves","2","orthographic"
"39","storey","2","orthographic"
"40","grades","3","orthographic"
"41","grapes","3","orthographic"
"42","graces","3","orthographic"
"43","gravel","3","orthographic"
"44","grains","3","orthographic"
"45","grazed","3","orthographic"
"46","grader","3","orthographic"
"47","groves","3","orthographic"
"48","graded","3","orthographic"
"49","glades","3","orthographic"
"50","graced","3","orthographic"
"51","gratis","3","orthographic"
"52","graphs","3","orthographic"
"53","grates","3","orthographic"
"54","gripes","3","orthographic"
"55","grafts","3","orthographic"
"56","sucked","4","orthographic"
"57","smoked","4","orthographic"
"58","scored","4","orthographic"
"59","smokes","4","orthographic"
"60","stoned","4","orthographic"
"61","shoved","4","orthographic"
"62","stored","4","orthographic"
"63","soaked","4","orthographic"
"64","slowed","4","orthographic"
"65","smoker","4","orthographic"
"66","staked","4","orthographic"
"67","spiked","4","orthographic"
"68","sacked","4","orthographic"
"69","snowed","4","orthographic"
"70","stowed","4","orthographic"
"71","stoked","4","orthographic"
"72","socked","4","orthographic"
"73","spokes","4","orthographic"
"74","scoped","4","orthographic"
"75","snaked","4","orthographic"
"76","snored","4","orthographic"
"77","resume","5","orthographic"
"78","reduce","5","orthographic"
"79","refuge","5","orthographic"
"80","regime","5","orthographic"
"81","reside","5","orthographic"
"82","refute","5","orthographic"
"83","rebate","5","orthographic"
"84","rebuke","5","orthographic"
"85","recuse","5","orthographic"
"86","rename","5","orthographic"
"87","renege","5","orthographic"
"88","repute","5","orthographic"
"89","resale","5","orthographic"
"90","redeye","5","orthographic"
"91","rehire","5","orthographic"
"92","remade","5","orthographic"
"93","scares","6","orthographic"
"94","snakes","6","orthographic"
"95","slaves","6","orthographic"
"96","stakes","6","orthographic"
"97","shakes","6","orthographic"
"98","shares","6","orthographic"
"99","shaken","6","orthographic"
"100","stages","6","orthographic"
"101","shades","6","orthographic"
"102","spaces","6","orthographic"
"103","skates","6","orthographic"
"104","spades","6","orthographic"
"105","shapes","6","orthographic"
"106","scales","6","orthographic"
"107","stares","6","orthographic"
"108","shaker","6","orthographic"
