word,list,list_type
honest,1,semantic
simple,1,semantic
strong,1,semantic
supple,1,semantic
earthy,1,semantic
common,1,semantic
decent,1,semantic
boring,1,semantic
clever,1,semantic
humble,1,semantic
quaint,1,semantic
flashy,1,semantic
robust,1,semantic
rustic,1,semantic
clumsy,1,semantic
useful,1,semantic
subtle,1,semantic
modest,1,semantic
quirky,1,semantic
accept,2,semantic
refuse,2,semantic
ignore,2,semantic
insist,2,semantic
commit,2,semantic
demand,2,semantic
resist,2,semantic
pursue,2,semantic
agrees,2,semantic
uphold,2,semantic
oppose,2,semantic
assert,2,semantic
refute,2,semantic
recant,2,semantic
disown,2,semantic
affirm,2,semantic
renege,2,semantic
relent,2,semantic
bottle,3,semantic
drinks,3,semantic
scotch,3,semantic
liquid,3,semantic
refill,3,semantic
whisky,3,semantic
squirt,3,semantic
carton,3,semantic
gargle,3,semantic
beaker,3,semantic
goblet,3,semantic
rotgut,3,semantic
claret,3,semantic
corked,3,semantic
spritz,3,semantic
flagon,3,semantic
nature,4,semantic
beauty,4,semantic
spirit,4,semantic
animal,4,semantic
social,4,semantic
actual,4,semantic
divine,4,semantic
senses,4,semantic
belief,4,semantic
intent,4,semantic
savage,4,semantic
virtue,4,semantic
extent,4,semantic
aspect,4,semantic
origin,4,semantic
poetic,4,semantic
benign,4,semantic
physic,4,semantic
hungry,5,semantic
lonely,5,semantic
silent,5,semantic
bitter,5,semantic
chilly,5,semantic
gloomy,5,semantic
uneasy,5,semantic
grumpy,5,semantic
unkind,5,semantic
moping,5,semantic
uncool,5,semantic
waited,5,semantic
crabby,5,semantic
pining,5,semantic
sickly,5,semantic
longed,5,semantic
sullen,5,semantic
morose,5,semantic
grouch,5,semantic
fellow,6,semantic
member,6,semantic
player,6,semantic
leader,6,semantic
expert,6,semantic
senior,6,semantic
parent,6,semantic
worker,6,semantic
deputy,6,semantic
mentor,6,semantic
patron,6,semantic
backer,6,semantic
joiner,6,semantic
guests,6,semantic
humans,6,semantic
adults,6,semantic
groups,6,semantic
owners,6,semantic
renter,6,semantic
pocket,7,semantic
jacket,7,semantic
outfit,7,semantic
gloves,7,semantic
collar,7,semantic
shirts,7,semantic
helmet,7,semantic
sleeve,7,semantic
blouse,7,semantic
zipper,7,semantic
duffel,7,semantic
toupee,7,semantic
blazer,7,semantic
beanie,7,semantic
poncho,7,semantic
jerkin,7,semantic
duffle,7,semantic
fedora,7,semantic
crying,8,semantic
scream,8,semantic
holler,8,semantic
groans,8,semantic
rattle,8,semantic
shouts,8,semantic
loudly,8,semantic
rumble,8,semantic
squeal,8,semantic
giggle,8,semantic
growls,8,semantic
squeak,8,semantic
squawk,8,semantic
whoosh,8,semantic
mumble,8,semantic
shriek,8,semantic
hisses,8,semantic
hoarse,8,semantic
bellow,8,semantic
shrill,8,semantic
mutter,8,semantic
cackle,8,semantic
mellow,9,semantic
hearty,9,semantic
dreamy,9,semantic
peachy,9,semantic
bubbly,9,semantic
sedate,9,semantic
serene,9,semantic
cheery,9,semantic
upbeat,9,semantic
