"","word","list","list_type"
"1","christ","1","semantic"
"2","george","1","semantic"
"3","johnny","1","semantic"
"4","thomas","1","semantic"
"5","jewish","1","semantic"
"6","wilson","1","semantic"
"7","willie","1","semantic"
"8","maggie","1","semantic"
"9","dennis","1","semantic"
"10","harris","1","semantic"
"11","sandra","1","semantic"
"12","messin","1","semantic"
"13","muslim","1","semantic"
"14","kidder","1","semantic"
"15","harlot","1","semantic"
"16","cherie","1","semantic"
"17","crikey","1","semantic"
"18","sweety","1","semantic"
"19","baller","1","semantic"
"20","french","2","semantic"
"21","france","2","semantic"
"22","german","2","semantic"
"23","madame","2","semantic"
"24","polish","2","semantic"
"25","indian","2","semantic"
"26","booger","2","semantic"
"27","cocker","2","semantic"
"28","franks","2","semantic"
"29","smarty","2","semantic"
"30","quiche","2","semantic"
"31","froggy","2","semantic"
"32","bonbon","2","semantic"
"33","limeys","2","semantic"
"34","pinche","2","semantic"
"35","tought","2","semantic"
"36","brulee","2","semantic"
"37","united","3","semantic"
"38","backed","3","semantic"
"39","doomed","3","semantic"
"40","mainly","3","semantic"
"41","formed","3","semantic"
"42","linked","3","semantic"
"43","forged","3","semantic"
"44","firmly","3","semantic"
"45","sprung","3","semantic"
"46","wedded","3","semantic"
"47","openly","3","semantic"
"48","allied","3","semantic"
"49","parted","3","semantic"
"50","solely","3","semantic"
"51","widely","3","semantic"
"52","wholly","3","semantic"
"53","rooted","3","semantic"
"54","wedged","3","semantic"
"55","paired","3","semantic"
"56","unites","3","semantic"
"57","welded","3","semantic"
"58","unison","3","semantic"
"59","merged","3","semantic"
"60","boodle","3","semantic"
"61","loosed","3","semantic"
"62","lumped","3","semantic"
"63","massed","3","semantic"
"64","passel","3","semantic"
"65","rooked","3","semantic"
"66","cheers","4","semantic"
"67","kisses","4","semantic"
"68","praise","4","semantic"
"69","smiles","4","semantic"
"70","salute","4","semantic"
"71","holler","4","semantic"
"72","groans","4","semantic"
"73","whoops","4","semantic"
"74","awaits","4","semantic"
"75","hooray","4","semantic"
"76","crowds","4","semantic"
"77","shouts","4","semantic"
"78","hearty","4","semantic"
"79","scoffs","4","semantic"
"80","joyous","4","semantic"
"81","banter","4","semantic"
"82","joyful","4","semantic"
"83","sirree","4","semantic"
"84","hurray","4","semantic"
"85","cheery","4","semantic"
"86","antics","4","semantic"
"87","hurrah","4","semantic"
"88","booing","4","semantic"
"89","snorts","4","semantic"
"90","amuses","4","semantic"
"91","hisses","4","semantic"
"92","chants","4","semantic"
"93","dismay","4","semantic"
"94","toasts","4","semantic"
"95","bellow","4","semantic"
"96","greets","4","semantic"
"97","cooing","4","semantic"
"98","throng","4","semantic"
"99","sobers","4","semantic"
"100","cackle","4","semantic"
"101","quiets","4","semantic"
"102","cuties","4","semantic"
"103","mooing","4","semantic"
"104","mateys","4","semantic"
"105","anyhow","5","semantic"
"106","unlike","5","semantic"
"107","nicely","5","semantic"
"108","kindly","5","semantic"
"109","awhile","5","semantic"
"110","theirs","5","semantic"
"111","thingy","5","semantic"
"112","dearie","5","semantic"
"113","morrow","5","semantic"
"114","lookee","5","semantic"
"115","nother","5","semantic"
"116","lastly","5","semantic"
"117","upshot","5","semantic"
"118","diddly","5","semantic"
"119","untill","5","semantic"
"120","guvnor","5","semantic"
"121","summat","5","semantic"
"122","tastes","6","semantic"
"123","senses","6","semantic"
"124","habits","6","semantic"
"125","liking","6","semantic"
"126","flavor","6","semantic"
"127","sights","6","semantic"
"128","charms","6","semantic"
"129","shades","6","semantic"
"130","shapes","6","semantic"
"131","styles","6","semantic"
"132","spices","6","semantic"
"133","traits","6","semantic"
"134","palate","6","semantic"
"135","honeys","6","semantic"
"136","quirks","6","semantic"
"137","brands","6","semantic"
"138","quirky","6","semantic"
"139","homeys","6","semantic"
"140","scents","6","semantic"
"141","blends","6","semantic"
"142","scotch","7","semantic"
"143","cigars","7","semantic"
"144","sherry","7","semantic"
"145","steaks","7","semantic"
"146","whisky","7","semantic"
"147","squirt","7","semantic"
"148","douche","7","semantic"
"149","cognac","7","semantic"
"150","rustle","7","semantic"
"151","eggnog","7","semantic"
"152","poppin","7","semantic"
"153","toasty","7","semantic"
"154","scones","7","semantic"
"155","gargle","7","semantic"
"156","baggie","7","semantic"
"157","boozer","7","semantic"
"158","burped","7","semantic"
"159","toffee","7","semantic"
"160","soused","7","semantic"
"161","mescal","7","semantic"
"162","posies","7","semantic"
"163","rotgut","7","semantic"
"164","claret","7","semantic"
"165","corked","7","semantic"
"166","cutlet","7","semantic"
"167","stogie","7","semantic"
"168","malted","7","semantic"
"169","tonics","7","semantic"
"170","haggis","7","semantic"
"171","redeye","7","semantic"
"172","chintz","7","semantic"
"173","smutty","7","semantic"
"174","cotter","7","semantic"
"175","flagon","7","semantic"
"176","jersey","8","semantic"
"177","purple","8","semantic"
"178","shirts","8","semantic"
"179","helmet","8","semantic"
"180","sleeve","8","semantic"
"181","trophy","8","semantic"
"182","skirts","8","semantic"
"183","roster","8","semantic"
"184","jumper","8","semantic"
"185","attire","8","semantic"
"186","stripe","8","semantic"
"187","blazer","8","semantic"
"188","beanie","8","semantic"
"189","emblem","8","semantic"
"190","maroon","8","semantic"
"191","argyle","8","semantic"
"192","draped","8","semantic"
"193","wearer","8","semantic"
"194","loafer","8","semantic"
"195","cleats","8","semantic"
"196","choker","8","semantic"
"197","fedora","8","semantic"
"198","popgun","8","semantic"
"199","slight","9","semantic"
"200","severe","9","semantic"
"201","fairly","9","semantic"
"202","subtle","9","semantic"
"203","casual","9","semantic"
"204","modest","9","semantic"
"205","extent","9","semantic"
"206","uneasy","9","semantic"
"207","trifle","9","semantic"
"208","feeble","9","semantic"
"209","soften","9","semantic"
"210","mildly","9","semantic"
"211","ripple","9","semantic"
"212","abrupt","9","semantic"
"213","benign","9","semantic"
"214","uneven","9","semantic"
"215","wobble","9","semantic"
"216","grouch","9","semantic"
"217","eyeful","9","semantic"
"218","hiccup","9","semantic"
"219","nuance","9","semantic"
"220","smidge","9","semantic"
"221","tiptop","9","semantic"
"222","qualms","9","semantic"
"223","locate","10","semantic"
"224","assist","10","semantic"
"225","notify","10","semantic"
"226","expose","10","semantic"
"227","extend","10","semantic"
"228","pierce","10","semantic"
"229","pursue","10","semantic"
"230","define","10","semantic"
"231","adjust","10","semantic"
"232","unlock","10","semantic"
"233","detect","10","semantic"
"234","verify","10","semantic"
"235","relate","10","semantic"
"236","unload","10","semantic"
"237","expand","10","semantic"
"238","select","10","semantic"
"239","employ","10","semantic"
"240","obtain","10","semantic"
"241","summon","10","semantic"
"242","assign","10","semantic"
"243","retain","10","semantic"
"244","occupy","10","semantic"
"245","deploy","10","semantic"
"246","import","10","semantic"
"247","divert","10","semantic"
"248","revive","10","semantic"
"249","detain","10","semantic"
"250","assess","10","semantic"
"251","corral","10","semantic"
"252","enable","10","semantic"
"253","vacate","10","semantic"
"254","compel","10","semantic"
"255","reside","10","semantic"
"256","modify","10","semantic"
"257","subdue","10","semantic"
"258","devise","10","semantic"
"259","refute","10","semantic"
"260","browse","10","semantic"
"261","deduce","10","semantic"
"262","entice","10","semantic"
"263","refine","10","semantic"
"264","pacify","10","semantic"
"265","depend","11","semantic"
"266","reveal","11","semantic"
"267","impact","11","semantic"
"268","regard","11","semantic"
"269","rarely","11","semantic"
"270","allows","11","semantic"
"271","purely","11","semantic"
"272","freely","11","semantic"
"273","reduce","11","semantic"
"274","judged","11","semantic"
"275","seldom","11","semantic"
"276","partly","11","semantic"
"277","impose","11","semantic"
"278","differ","11","semantic"
"279","rested","11","semantic"
"280","emerge","11","semantic"
"281","hinges","11","semantic"
"282","evolve","11","semantic"
"283","govern","11","semantic"
"284","wither","11","semantic"
"285","concur","11","semantic"
"286","relied","11","semantic"
"287","varied","11","semantic"
"288","basing","11","semantic"
"289","derive","11","semantic"
"290","relies","11","semantic"
"291","varies","11","semantic"
"292","impart","11","semantic"
"293","attest","11","semantic"
"294","aweigh","11","semantic"
"295","allude","11","semantic"
"296","enfold","11","semantic"
"297","unable","12","semantic"
"298","wished","12","semantic"
"299","rushed","12","semantic"
"300","gladly","12","semantic"
"301","sought","12","semantic"
"302","spared","12","semantic"
"303","absent","12","semantic"
"304","loathe","12","semantic"
"305","comply","12","semantic"
"306","cooped","12","semantic"
"307","deemed","12","semantic"
"308","ceased","12","semantic"
"309","poised","12","semantic"
"310","lacked","12","semantic"
"311","unsure","12","semantic"
"312","tended","12","semantic"
"313","lucked","12","semantic"
"314","willed","12","semantic"
"315","halted","12","semantic"
"316","raring","12","semantic"
"317","relent","12","semantic"
"318","fooled","13","semantic"
"319","sucked","13","semantic"
"320","chased","13","semantic"
"321","blamed","13","semantic"
"322","amazed","13","semantic"
"323","hacked","13","semantic"
"324","faking","13","semantic"
"325","amused","13","semantic"
"326","harmed","13","semantic"
"327","bummed","13","semantic"
"328","mugged","13","semantic"
"329","crazed","13","semantic"
"330","bribed","13","semantic"
"331","swiped","13","semantic"
"332","masked","13","semantic"
"333","conned","13","semantic"
"334","nicked","13","semantic"
"335","toying","13","semantic"
"336","ratted","13","semantic"
"337","mocked","13","semantic"
"338","misled","13","semantic"
"339","shamed","13","semantic"
"340","eluded","13","semantic"
"341","winked","13","semantic"
"342","jazzed","13","semantic"
"343","swayed","13","semantic"
"344","dissed","13","semantic"
"345","goofed","13","semantic"
"346","jinxed","13","semantic"
"347","bested","13","semantic"
"348","wigged","13","semantic"
"349","delude","13","semantic"
"350","outdid","13","semantic"
"351","barfed","13","semantic"
"352","danged","13","semantic"
"353","mooned","13","semantic"
"354","kidded","13","semantic"
"355","evaded","13","semantic"
"356","fatted","13","semantic"
"357","lulled","13","semantic"
"358","hurted","13","semantic"
"359","peeped","13","semantic"
"360","causes","14","semantic"
"361","scares","14","semantic"
"362","proves","14","semantic"
"363","favors","14","semantic"
"364","limits","14","semantic"
"365","strain","14","semantic"
"366","clears","14","semantic"
"367","plague","14","semantic"
"368","shifts","14","semantic"
"369","traces","14","semantic"
"370","occurs","14","semantic"
"371","excess","14","semantic"
"372","pushes","14","semantic"
"373","sparks","14","semantic"
"374","blames","14","semantic"
"375","faults","14","semantic"
"376","raises","14","semantic"
"377","defect","14","semantic"
"378","errors","14","semantic"
"379","induce","14","semantic"
"380","splits","14","semantic"
"381","upsets","14","semantic"
"382","strife","14","semantic"
"383","delays","14","semantic"
"384","solves","14","semantic"
"385","spikes","14","semantic"
"386","shocks","14","semantic"
"387","arises","14","semantic"
"388","wrongs","14","semantic"
"389","phases","14","semantic"
"390","trends","14","semantic"
"391","avoids","14","semantic"
"392","crises","14","semantic"
"393","abuses","14","semantic"
"394","facets","14","semantic"
"395","negate","14","semantic"
"396","begets","14","semantic"
"397","lapses","14","semantic"
"398","waiter","15","semantic"
"399","porter","15","semantic"
"400","banker","15","semantic"
"401","barber","15","semantic"
"402","patron","15","semantic"
"403","busboy","15","semantic"
"404","milady","15","semantic"
"405","gigolo","15","semantic"
"406","bistro","15","semantic"
"407","cabbie","15","semantic"
"408","diners","15","semantic"
"409","maitre","15","semantic"
"410","tipper","15","semantic"
"411","matron","15","semantic"
"412","grocer","15","semantic"
"413","barman","15","semantic"
"414","milord","15","semantic"
"415","purser","15","semantic"
"416","bagman","15","semantic"
"417","hoofer","15","semantic"
"418","codger","15","semantic"
"419","bigwig","15","semantic"
"420","roofer","15","semantic"
"421","gotcha","16","semantic"
"422","tricky","16","semantic"
"423","ironic","16","semantic"
"424","sloppy","16","semantic"
"425","sticky","16","semantic"
"426","freaky","16","semantic"
"427","spooky","16","semantic"
"428","bummer","16","semantic"
"429","sneaky","16","semantic"
"430","betcha","16","semantic"
"431","touchy","16","semantic"
"432","weirdo","16","semantic"
"433","cheesy","16","semantic"
"434","catchy","16","semantic"
"435","darned","16","semantic"
"436","flashy","16","semantic"
"437","biggie","16","semantic"
"438","shucks","16","semantic"
"439","screwy","16","semantic"
"440","cheeky","16","semantic"
"441","crafty","16","semantic"
"442","skippy","16","semantic"
"443","phooey","16","semantic"
"444","snoopy","16","semantic"
"445","cliche","16","semantic"
"446","shoddy","16","semantic"
"447","damnit","16","semantic"
"448","snazzy","16","semantic"
"449","snippy","16","semantic"
"450","goober","16","semantic"
"451","goodie","16","semantic"
"452","muddle","16","semantic"
"453","lamest","16","semantic"
"454","cringe","16","semantic"
"455","gambit","16","semantic"
"456","humbug","16","semantic"
"457","meanie","16","semantic"
"458","tidbit","16","semantic"
"459","blunts","16","semantic"
"460","softie","16","semantic"
"461","cutesy","16","semantic"
"462","snarky","16","semantic"
"463","grabby","16","semantic"
"464","widdle","16","semantic"
"465","handed","17","semantic"
"466","sealed","17","semantic"
"467","rented","17","semantic"
"468","rolled","17","semantic"
"469","popped","17","semantic"
"470","posted","17","semantic"
"471","begged","17","semantic"
"472","nailed","17","semantic"
"473","tossed","17","semantic"
"474","jammed","17","semantic"
"475","lifted","17","semantic"
"476","bumped","17","semantic"
"477","cursed","17","semantic"
"478","issued","17","semantic"
"479","gained","17","semantic"
"480","tipped","17","semantic"
"481","poured","17","semantic"
"482","tapped","17","semantic"
"483","gifted","17","semantic"
"484","pinned","17","semantic"
"485","hanged","17","semantic"
"486","traced","17","semantic"
"487","traded","17","semantic"
"488","pegged","17","semantic"
"489","canned","17","semantic"
"490","shoved","17","semantic"
"491","licked","17","semantic"
"492","shaken","17","semantic"
"493","stored","17","semantic"
"494","erased","17","semantic"
"495","choked","17","semantic"
"496","sailed","17","semantic"
"497","tucked","17","semantic"
"498","banged","17","semantic"
"499","soaked","17","semantic"
"500","mashed","17","semantic"
"501","pumped","17","semantic"
"502","bailed","17","semantic"
"503","banned","17","semantic"
"504","chewed","17","semantic"
"505","rubbed","17","semantic"
"506","folded","17","semantic"
"507","seized","17","semantic"
