,word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
291,excuse,18773,6042,4153,2872,368.1,4.2736,72.03,3.7813,6
557,unless,5798,3653,3557,2603,113.69,3.7634,43.55,3.5628,6
564,except,5696,3610,3434,2472,111.69,3.7556,43.04,3.5576,6
590,follow,6283,3431,4659,2885,123.2,3.7982,40.9,3.5355,6
624,longer,5046,3279,4992,3260,98.94,3.703,39.09,3.5159,6
636,forgot,5045,3217,4886,3146,98.92,3.7029,38.35,3.5076,6
654,finish,5045,3124,4582,2942,98.92,3.7029,37.24,3.4949,6
658,ladies,7054,3101,4390,2295,138.31,3.8485,36.97,3.4916,6
659,needed,4818,3101,4789,3093,94.47,3.683,36.97,3.4916,6
661,choice,4975,3095,4925,3072,97.55,3.6969,36.9,3.4908,6
667,caught,4791,3063,4578,2985,93.94,3.6805,36.52,3.4863,6
688,middle,4549,2957,4154,2785,89.2,3.658,35.25,3.471,6
696,missed,4568,2924,4413,2862,89.57,3.6598,34.86,3.4661,6
697,others,5061,2916,4799,2826,99.24,3.7043,34.76,3.4649,6
700,across,4801,2892,4577,2814,94.14,3.6814,34.48,3.4613,6
705,simple,4555,2861,4169,2706,89.31,3.6586,34.11,3.4567,6
708,secret,5585,2847,4969,2688,109.51,3.7471,33.94,3.4545,6
742,bought,4362,2687,4270,2648,85.53,3.6398,32.03,3.4294,6
744,strong,4430,2684,4156,2606,86.86,3.6465,32,3.4289,6
747,charge,4559,2675,4201,2554,89.39,3.659,31.89,3.4275,6
759,entire,4070,2627,4061,2623,79.8,3.6097,31.32,3.4196,6
768,return,4676,2611,4311,2508,91.69,3.67,31.13,3.417,6
787,during,3872,2524,3369,2310,75.92,3.588,30.09,3.4023,6
798,lovely,4853,2473,4163,2247,95.16,3.6861,29.48,3.3934,6
810,window,4386,2442,4287,2410,86,3.6422,29.11,3.3879,6
811,hungry,3931,2441,3690,2352,77.08,3.5946,29.1,3.3877,6
813,picked,3534,2431,3442,2392,69.29,3.5484,28.98,3.386,6
819,broken,3634,2409,3450,2356,71.25,3.5605,28.72,3.382,6
824,record,4365,2395,4265,2365,85.59,3.6401,28.55,3.3795,6
830,bother,3436,2383,3399,2370,67.37,3.5362,28.41,3.3773,6
832,single,3676,2377,3452,2279,72.08,3.5655,28.34,3.3762,6
851,honest,3689,2331,3241,2128,72.33,3.567,27.79,3.3677,6
864,ground,3696,2265,3572,2223,72.47,3.5678,27,3.3553,6
875,system,4667,2240,4500,2200,91.51,3.6691,26.7,3.3504,6
884,plenty,3178,2181,2704,1961,62.31,3.5023,26,3.3389,6
887,notice,3022,2170,2833,2069,59.25,3.4804,25.87,3.3367,6
903,gotten,2768,2134,2757,2132,54.27,3.4423,25.44,3.3294,6
904,normal,3589,2134,3410,2086,70.37,3.5551,25.44,3.3294,6
913,public,3625,2107,3330,1998,71.08,3.5594,25.12,3.3239,6
916,eating,3102,2105,2954,2040,60.82,3.4918,25.1,3.3235,6
965,losing,2722,2016,2549,1935,53.37,3.435,24.03,3.3047,6
980,within,3017,1983,2740,1873,59.16,3.4797,23.64,3.2975,6
985,places,2706,1973,2573,1915,53.06,3.4325,23.52,3.2953,6
987,double,3198,1972,2558,1686,62.71,3.505,23.51,3.2951,6
992,hoping,2544,1965,2478,1933,49.88,3.4057,23.43,3.2936,6
1010,seemed,2767,1924,2656,1864,54.25,3.4422,22.94,3.2844,6
1013,decide,2571,1920,2528,1902,50.41,3.4103,22.89,3.2835,6
1018,passed,2631,1915,2574,1890,51.59,3.4203,22.83,3.2824,6
1023,walked,2737,1907,2681,1883,53.67,3.4374,22.73,3.2806,6
1047,closed,2758,1862,2649,1822,54.08,3.4408,22.2,3.2702,6
1048,accept,2692,1861,2598,1820,52.78,3.4302,22.19,3.27,6
1049,hardly,2613,1858,2312,1666,51.24,3.4173,22.15,3.2693,6
1050,action,3115,1857,2748,1737,61.08,3.4936,22.14,3.269,6
1057,pulled,2488,1832,2415,1797,48.78,3.396,21.84,3.2632,6
1061,showed,2425,1827,2385,1799,47.55,3.3849,21.78,3.262,6
1073,acting,2675,1813,2533,1746,52.45,3.4275,21.61,3.2586,6
1077,corner,2679,1806,2573,1761,52.53,3.4281,21.53,3.257,6
1082,played,2870,1799,2807,1770,56.27,3.458,21.45,3.2553,6
1083,helped,2388,1797,2363,1786,46.82,3.3782,21.42,3.2548,6
1084,lately,2459,1795,2291,1698,48.22,3.3909,21.4,3.2543,6
