word,list,list_type
fooled,1,orthographic
folded,1,orthographic
fouled,1,orthographic
fueled,1,orthographic
flowed,1,orthographic
fabled,1,orthographic
foiled,1,orthographic
flayed,1,orthographic
fogged,1,orthographic
fanned,1,orthographic
flared,1,orthographic
fenced,1,orthographic
flaked,1,orthographic
forked,1,orthographic
felled,1,orthographic
farmed,1,orthographic
bailed,2,orthographic
boiled,2,orthographic
bagged,2,orthographic
bathed,2,orthographic
barred,2,orthographic
barbed,2,orthographic
bashed,2,orthographic
billed,2,orthographic
barged,2,orthographic
batted,2,orthographic
bowled,2,orthographic
balled,2,orthographic
banked,2,orthographic
baited,2,orthographic
barked,2,orthographic
bawled,2,orthographic
retire,3,orthographic
recipe,3,orthographic
relate,3,orthographic
recite,3,orthographic
revive,3,orthographic
relive,3,orthographic
regime,3,orthographic
reside,3,orthographic
revise,3,orthographic
refute,3,orthographic
rewire,3,orthographic
refine,3,orthographic
rebate,3,orthographic
recuse,3,orthographic
repute,3,orthographic
rehire,3,orthographic
cooked,4,orthographic
choked,4,orthographic
copied,4,orthographic
cooped,4,orthographic
conned,4,orthographic
cooled,4,orthographic
corned,4,orthographic
combed,4,orthographic
copped,4,orthographic
cocked,4,orthographic
cloned,4,orthographic
conked,4,orthographic
coined,4,orthographic
cooker,4,orthographic
coiled,4,orthographic
corked,4,orthographic
smiled,5,orthographic
sailed,5,orthographic
suited,5,orthographic
seized,5,orthographic
sliced,5,orthographic
swiped,5,orthographic
spiked,5,orthographic
shined,5,orthographic
soiled,5,orthographic
socked,5,orthographic
soared,5,orthographic
scaled,5,orthographic
soused,5,orthographic
spiced,5,orthographic
soured,5,orthographic
sobbed,5,orthographic
blamed,6,orthographic
bearer,6,orthographic
beamed,6,orthographic
biased,6,orthographic
beater,6,orthographic
beeped,6,orthographic
belted,6,orthographic
bested,6,orthographic
bedded,6,orthographic
beaker,6,orthographic
beefed,6,orthographic
blazed,6,orthographic
braced,6,orthographic
braved,6,orthographic
beaded,6,orthographic
bended,6,orthographic
rented,7,orthographic
rolled,7,orthographic
rested,7,orthographic
rocked,7,orthographic
roster,7,orthographic
routes,7,orthographic
ratted,7,orthographic
rooted,7,orthographic
routed,7,orthographic
rotted,7,orthographic
roamed,7,orthographic
roared,7,orthographic
roomed,7,orthographic
roused,7,orthographic
rooked,7,orthographic
router,7,orthographic
pegged,8,orthographic
peeled,8,orthographic
peaked,8,orthographic
peeked,8,orthographic
peewee,8,orthographic
premed,8,orthographic
penned,8,orthographic
pieced,8,orthographic
peeper,8,orthographic
peeved,8,orthographic
pecked,8,orthographic
peeler,8,orthographic
preyed,8,orthographic
peered,8,orthographic
petted,8,orthographic
peeped,8,orthographic
harmed,9,orthographic
hopped,9,orthographic
housed,9,orthographic
hordes,9,orthographic
hornet,9,orthographic
horsey,9,orthographic
hurled,9,orthographic
hosted,9,orthographic
horned,9,orthographic
hocked,9,orthographic
hotbed,9,orthographic
herded,9,orthographic
hooded,9,orthographic
honked,9,orthographic
howled,9,orthographic
hurted,9,orthographic
scares,10,orthographic
shares,10,orthographic
sharks,10,orthographic
shades,10,orthographic
shores,10,orthographic
smarts,10,orthographic
stares,10,orthographic
shafts,10,orthographic
shears,10,orthographic
shacks,10,orthographic
shaves,10,orthographic
spares,10,orthographic
swarms,10,orthographic
shanks,10,orthographic
shards,10,orthographic
snarls,10,orthographic
louder,11,orthographic
larger,11,orthographic
lodged,11,orthographic
logged,11,orthographic
linger,11,orthographic
longed,11,orthographic
looker,11,orthographic
ledger,11,orthographic
loafer,11,orthographic
loader,11,orthographic
lodges,11,orthographic
loaner,11,orthographic
loiter,11,orthographic
looter,11,orthographic
lodger,11,orthographic
lunger,11,orthographic
waiter,12,orthographic
waters,12,orthographic
writes,12,orthographic
wander,12,orthographic
walker,12,orthographic
warmer,12,orthographic
washer,12,orthographic
wither,12,orthographic
waiver,12,orthographic
wastes,12,orthographic
wetter,12,orthographic
wicker,12,orthographic
wearer,12,orthographic
wipers,12,orthographic
whaler,12,orthographic
whiner,12,orthographic
trials,13,orthographic
treaty,13,orthographic
trunks,13,orthographic
trails,13,orthographic
truths,13,orthographic
tribes,13,orthographic
trades,13,orthographic
tramps,13,orthographic
triads,13,orthographic
treads,13,orthographic
toasts,13,orthographic
trolls,13,orthographic
totals,13,orthographic
twerps,13,orthographic
teases,13,orthographic
tenths,13,orthographic
depend,14,orthographic
deputy,14,orthographic
deaths,14,orthographic
dental,14,orthographic
depths,14,orthographic
deploy,14,orthographic
depart,14,orthographic
debris,14,orthographic
denies,14,orthographic
delays,14,orthographic
detest,14,orthographic
deport,14,orthographic
depict,14,orthographic
decoys,14,orthographic
depots,14,orthographic
debtor,14,orthographic
