"","word","list","list_type"
"1","cheers","1","orthographic"
"2","covers","1","orthographic"
"3","chairs","1","orthographic"
"4","creeps","1","orthographic"
"5","clears","1","orthographic"
"6","cheeks","1","orthographic"
"7","chores","1","orthographic"
"8","cheesy","1","orthographic"
"9","chiefs","1","orthographic"
"10","cheats","1","orthographic"
"11","cheeky","1","orthographic"
"12","chases","1","orthographic"
"13","chests","1","orthographic"
"14","cheery","1","orthographic"
"15","chinks","1","orthographic"
"16","chokes","1","orthographic"
"17","chants","1","orthographic"
"18","chimps","1","orthographic"
"19","choirs","1","orthographic"
"20","chucks","1","orthographic"
"21","comers","1","orthographic"
"22","comets","1","orthographic"
"23","covets","1","orthographic"
"24","unlike","2","orthographic"
"25","unable","2","orthographic"
"26","undone","2","orthographic"
"27","uncles","2","orthographic"
"28","unsafe","2","orthographic"
"29","untrue","2","orthographic"
"30","unholy","2","orthographic"
"31","unfold","2","orthographic"
"32","unsure","2","orthographic"
"33","untold","2","orthographic"
"34","unwise","2","orthographic"
"35","unruly","2","orthographic"
"36","unsaid","2","orthographic"
"37","usable","2","orthographic"
"38","unduly","2","orthographic"
"39","unwell","2","orthographic"
"40","untill","2","orthographic"
"41","unmade","2","orthographic"
"42","fooled","3","orthographic"
"43","framed","3","orthographic"
"44","folded","3","orthographic"
"45","fuller","3","orthographic"
"46","fouled","3","orthographic"
"47","folder","3","orthographic"
"48","fueled","3","orthographic"
"49","feller","3","orthographic"
"50","funded","3","orthographic"
"51","flowed","3","orthographic"
"52","fabled","3","orthographic"
"53","filler","3","orthographic"
"54","frayed","3","orthographic"
"55","forger","3","orthographic"
"56","fillet","3","orthographic"
"57","fodder","3","orthographic"
"58","fonder","3","orthographic"
"59","foiled","3","orthographic"
"60","flayed","3","orthographic"
"61","fogged","3","orthographic"
"62","fanned","3","orthographic"
"63","flared","3","orthographic"
"64","fenced","3","orthographic"
"65","flaked","3","orthographic"
"66","forked","3","orthographic"
"67","flexed","3","orthographic"
"68","fatted","3","orthographic"
"69","felled","3","orthographic"
"70","farmed","3","orthographic"
"71","causes","4","orthographic"
"72","closes","4","orthographic"
"73","clause","4","orthographic"
"74","cables","4","orthographic"
"75","curses","4","orthographic"
"76","caress","4","orthographic"
"77","chases","4","orthographic"
"78","calves","4","orthographic"
"79","ceases","4","orthographic"
"80","chutes","4","orthographic"
"81","cadets","4","orthographic"
"82","crises","4","orthographic"
"83","crusts","4","orthographic"
"84","canoes","4","orthographic"
"85","callus","4","orthographic"
"86","cashes","4","orthographic"
"87","causal","4","orthographic"
"88","waiter","5","orthographic"
"89","waters","5","orthographic"
"90","writes","5","orthographic"
"91","wander","5","orthographic"
"92","walker","5","orthographic"
"93","warmer","5","orthographic"
"94","whitey","5","orthographic"
"95","washer","5","orthographic"
"96","wither","5","orthographic"
"97","waiver","5","orthographic"
"98","wastes","5","orthographic"
"99","watery","5","orthographic"
"100","whiter","5","orthographic"
"101","waived","5","orthographic"
"102","wetter","5","orthographic"
"103","welder","5","orthographic"
"104","wicker","5","orthographic"
"105","wearer","5","orthographic"
"106","wipers","5","orthographic"
"107","whaler","5","orthographic"
"108","whiner","5","orthographic"
"109","handed","6","orthographic"
"110","hammer","6","orthographic"
"111","hanged","6","orthographic"
"112","hacked","6","orthographic"
