word, stimulus, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT, too_fast
BOOM, FOIL, NA, 1, 3.5561, NA, NA, NA, NA, NA
HARM, STIM, SEQUENTIAL, 5, 2.0496, -1.1201, -0.3552, -0.7649, 0.9497, 0
CATS, FOIL, NA, 1, 1.2457, NA, NA, NA, NA, NA
GUYS, FOIL, NA, 2, 1.9604, NA, NA, NA, NA, NA
TIEN, STIM, SEQUENTIAL, 6, 1.4485, 1.3398, -1.1563, 2.4961, 1.8661, 0
RIMS, STIM, SEQUENTIAL, 6, 1.3876, -0.4506, -0.4893, 0.0387, 0.9664, 0
NASH, FOIL, NA, 2, 1.7727, NA, NA, NA, NA, NA
LAST, STIM, SEQUENTIAL, 6, 1.5753, 2.7009, 2.6452, 0.0557, 1.6661, 0
WART, FOIL, NA, 1, 1.5763, NA, NA, NA, NA, NA
WAKE, STIM, SEQUENTIAL, 6, 1.2927, 0.0587, -0.1831, 0.2418, 1.8661, 0
SHED, STIM, SEQUENTIAL, 6, 1.4796, 2.9600, 1.4382, 1.5217, 1.2996, 0
FALL, STIM, SEQUENTIAL, 3, 3.0468, 0.7424, -2.9391, -2.6017, 2.1160, 0
TENG, FOIL, NA, 2, 2.3945, NA, NA, NA, NA, NA
HARE, FOIL, NA, 3, 2.2733, NA, NA, NA, NA, NA
COLE, FOIL, NA, 1, 2.2810, NA, NA, NA, NA, NA
DIEM, STIM, SEQUENTIAL, 6, 1.2375, -0.7248, 1.8727, -2.5975, 2.1826, 0
COLI, STIM, SEQUENTIAL, 4, 1.6010, -0.1649, 2.4038, -2.5687, 1.6661, 0
PANE, FOIL, NA, 4, 3.1040, NA, NA, NA, NA, NA
DADS, STIM, SEQUENTIAL, 6, 1.3412, 1.3390, -0.0363, 1.3753, 3.0490, 0
CORE, FOIL, NA, 4, 2.2081, NA, NA, NA, NA, NA
MERC, STIM, SIMULTANEOUS, 6, 2.7621, -1.0454, -2.7553, 1.7098, 2.3826, 0
POPS, FOIL, NA, 2, 1.5429, NA, NA, NA, NA, NA
CENT, FOIL, NA, 1, 1.3605, NA, NA, NA, NA, NA
BRAG, FOIL, NA, 2, 1.3500, NA, NA, NA, NA, NA
