WORD                     CNC FAM IMG NLET
ABLE                     302 575 284  4   
ACHE                     443 523 443  4   
ACRE                     462 427 464  4   
ADZE                     283 138 256  4   
AGUE                     365 196 224  4   
AIRY                     334 423 368  4   
ALLY                     485 410 453  4   
ALSO                     194 552 264  4   
APEX                     408 321 375  4   
ARCH                     512 483 557  4   
AREA                     384 560 394  4   
ARID                     399 418 433  4   
ARMY                     543 555 578  4   
ATOM                     481 513 499  4   
AUNT                     564 554 567  4   
AVID                     275 354 325  4   
AWAY                     257 573 272  4   
AXIL                     467 323 389  4   
AXLE                     555 482 560  4   
BABE                     562 370 562  4   
BABY                     589 597 608  4   
BACK                     540 587 483  4   
BAIL                     441 485 480  4   
BALE                     462 386 473  4   
BALL                     615 575 622  4   
BAND                     590 555 579  4   
BANG                     435 503 470  4   
BANK                     573 573 560  4   
BARB                     527 302 448  4   
BARD                     395 224 406  4   
BARE                     399 521 487  4   
BARK                     563 518 539  4   
BARN                     614 466 589  4   
BASE                     441 520 436  4   
BASS                     547 540 544  4   
BATH                     600 599 601  4   
BAWL                     384 429 417  4   
BEAK                     552 476 574  4   
BEAM                     502 476 539  4   
BEAN                     604 549 538  4   
BEAR                     585 526 572  4   
BEAT                     361 536 406  4   
BEAU                     419 242 394  4   
BEEF                     637 598 625  4   
BEEN                     215 567 222  4   
BEER                     587 604 598  4   
BEET                     645 497 555  4   
BELL                     620 543 610  4   
BELT                     602 550 494  4   
BEST                     282 600 324  4   
BIER                     411 162 294  4   
BILL                     528 552 535  4   
BIRD                     602 592 614  4   
BITE                     509 593 553  4   
BLEW                     367 533 404  4   
BLOW                     397 528 458  4   
BLUE                     459 593 569  4   
BOAR                     558 455 524  4   
BOAT                     637 584 631  4   
BODY                     568 610 614  4   
BOIL                     467 533 533  4   
BOLE                     339 114 213  4   
BOLL                     350 210 270  4   
BOLT                     556 466 551  4   
BOMB                     595 566 606  4   
BOND                     403 454 380  4   
BONE                     588 541 567  4   
BOOK                     609 643 591  4   
BOOT                     595 566 604  4   
BORE                     344 543 404  4   
BORN                     336 566 435  4   
BOSS                     552 574 554  4   
BOTH                     322 598 298  4   
BOWL                     575 557 579  4   
BRAT                     501 507 536  4   
BRED                     308 423 387  4   
BRIM                     509 430 510  4   
BRUT                     430 343 392  4   
BUMP                     525 541 476  4   
BURN                     490 548 541  4   
BURY                     372 479 401  4   
BUSH                     585 532 549  4   
BUSY                     329 600 403  4   
BYRE                     234 151 231  4   
CAFE                     568 531 625  4   
CAGE                     593 487 585  4   
CAKE                     624 594 624  4   
CALF                     592 511 565  4   
CALL                     389 599 424  4   
CALM                     360 547 439  4   
CAME                     265 563 288  4   
CAMP                     571 541 588  4   
CANE                     590 442 608  4   
CAPE                     581 521 566  4   
CARD                     565 543 578  4   
CARE                     342 563 383  4   
CARP                     613 439 539  4   
CART                     576 454 597  4   
CASE                     548 553 517  4   
CASH                     547 592 588  4   
CAST                     502 495 483  4   
CAVE                     592 526 601  4   
CEDE                     239 193 240  4   
CELL                     542 520 590  4   
CENT                     544 473 518  4   
CHEW                     442 570 527  4   
CHIC                     454 440 437  4   
CHIN                     592 545 608  4   
CHOP                     555 487 575  4   
CHOW                     443 298 326  4   
CITE                     337 366 331  4   
CITY                     554 616 605  4   
CLAM                     564 486 541  4   
CLAW                     587 445 600  4   
CLAY                     606 455 575  4   
CLUB                     509 533 522  4   
CLUE                     380 533 375  4   
COAL                     584 513 581  4   
COAT                     601 610 572  4   
COCK                     611 434 586  4   
CODE                     432 464 460  4   
COIF                     421 157 202  4   
COIL                     490 498 492  4   
COIN                     581 564 603  4   
COKE                     580 585 623  4   
COLD                     457 626 531  4   
COME                     355 608 322  4   
CONE                     573 506 559  4   
COOK                     502 568 504  4   
COOL                     364 567 429  4   
COPE                     347 516 344  4   
CORD                     564 477 549  4   
CORE                     459 459 497  4   
CORK                     608 544 631  4   
CORN                     576 548 601  4   
COST                     348 589 401  4   
COWL                     456 240 337  4   
CRAB                     626 433 589  4   
CRAG                     556 245 479  4   
CREW                     523 442 486  4   
CROW                     590 490 578  4   
CUBE                     530 502 575  4   
CULT                     349 437 386  4   
CURB                     577 526 556  4   
CURE                     352 526 397  4   
CYST                     570 335 510  4   
DAIS                     333 168 276  4   
DAME                     528 472 530  4   
DARE                     291 510 373  4   
DARK                     497 598 586  4   
DART                     608 496 597  4   
DATE                     514 613 501  4   
DAWN                     501 507 586  4   
DEAD                     429 581 520  4   
DEAL                     342 522 383  4   
DEAR                     326 536 374  4   
DEBT                     416 494 384  4   
DECK                     566 507 539  4   
DEED                     410 475 390  4   
DEEP                     400 542 498  4   
DEER                     631 509 624  4   
DELL                     513 244 397  4   
DENT                     517 480 486  4   
DESK                     583 583 574  4   
DIAL                     537 566 541  4   
DIET                     449 556 486  4   
DIME                     582 586 590  4   
DIRT                     564 571 547  4   
DISC                     553 466 575  4   
DIVE                     494 508 586  4   
DOCK                     570 483 559  4   
DOLL                     588 503 565  4   
DOLT                     372 233 259  4   
DOME                     517 504 557  4   
DONE                     271 567 346  4   
DOOR                     606 630 599  4   
DOVE                     588 415 616  4   
DOWN                     339 546 459  4   
DRAB                     281 443 340  4   
DRAW                     442 542 435  4   
DROP                     320 577 417  4   
DRUG                     555 539 564  4   
DRUM                     602 506 599  4   
DUAL                     344 463 426  4   
DUCK                     606 529 632  4   
DUEL                     456 439 494  4   
DUKE                     508 457 480  4   
DUMB                     340 564 397  4   
DUMP                     502 504 528  4   
DUSK                     455 474 575  4   
DUST                     550 558 549  4   
DUTY                     322 543 346  4   
EACH                     268 555 320  4   
EARL                     500 358 435  4   
EARN                     349 557 437  4   
EASE                     305 519 327  4   
EAST                     363 574 497  4   
EASY                     288 607 321  4   
ECHO                     415 478 556  4   
EDGE                     465 569 495  4   
ELSE                     222 565 208  4   
ENVY                     265 511 375  4   
EVEN                     283 576 338  4   
EVER                     299 557 273  4   
FACE                     599 612 581  4   
FACT                     332 593 302  4   
FAIL                     327 568 380  4   
FAIR                     413 573 439  4   
FALL                     409 572 547  4   
FANE                     284 225 205  4   
FANG                     574 450 559  4   
FARE                     413 482 384  4   
FARM                     565 564 560  4   
FAST                     304 600 411  4   
FATE                     255 502 343  4   
FAWN                     581 433 565  4   
FAZE                     308 323 295  4   
FEAR                     326 569 394  4   
FEAT                     345 449 365  4   
FEEL                     324 588 363  4   
FEET                     642 611 597  4   
FELL                     407 546 431  4   
FELT                     437 504 483  4   
FILE                     480 504 442  4   
FILL                     372 521 415  4   
FILM                     604 578 562  4   
FIND                     351 580 370  4   
FINE                     328 560 392  4   
FIRE                     595 580 634  4   
FIRM                     400 567 404  4   
FISH                     597 548 615  4   
FIVE                     365 553 529  4   
FLAG                     606 545 607  4   
FLAX                     495 341 389  4   
FLEA                     625 515 606  4   
FLEE                     400 486 431  4   
FLOW                     311 518 417  4   
FLUE                     500 301 400  4   
FOAL                     420 338 448  4   
FOAM                     577 462 600  4   
FOIL                     509 516 495  4   
FONT                     568 338 497  4   
FOOD                     597 579 539  4   
FOOL                     354 551 436  4   
FOOT                     558 583 597  4   
FORE                     300 414 340  4   
FORK                     592 584 598  4   
FORM                     438 553 452  4   
FORT                     580 418 559  4   
FOUL                     351 483 467  4   
FOUR                     365 553 491  4   
FOWL                     532 452 528  4   
FREE                     328 607 397  4   
FROG                     619 507 617  4   
FROM                     197 612 239  4   
FUEL                     559 534 521  4   
FULL                     378 594 437  4   
FURY                     305 443 462  4   
FUSE                     500 449 479  4   
GAIN                     346 543 307  4   
GAIT                     381 369 377  4   
GAME                     477 574 521  4   
GANG                     492 515 535  4   
GASP                     409 457 491  4   
GATE                     573 540 545  4   
GERM                     464 523 442  4   
GIFT                     533 566 553  4   
GILT                     413 316 390  4   
GIRL                     607 645 634  4   
GIST                     273 322 262  4   
GIVE                     326 595 383  4   
GLAD                     318 564 445  4   
GLUT                     394 353 334  4   
GNAT                     529 440 550  4   
GOAL                     482 554 556  4   
GOAT                     636 469 585  4   
GOLD                     576 550 594  4   
GOLF                     540 503 616  4   
GONE                     321 546 313  4   
GOOD                     297 621 374  4   
GOOF                     348 513 360  4   
GORE                     448 322 429  4   
GOWN                     586 515 578  4   
GRAY                     471 531 541  4   
GRIP                     490 523 540  4   
GROW                     409 562 371  4   
