,condition,recog_rating,recog_RT,target_angle,response_angle,response_error,response_RT,participant
2,1,6,1.381,0.2241,2.235,-2.011,0.6672,1
4,1,1,2.2199,0.1479,-0.354,0.5019,0.6171,1
5,1,6,1.4665,2.6769,-2.2569,-1.3494,0.4337,1
11,1,1,1.2972,2.4062,2.6128,-0.2066,0.6171,1
12,1,6,1.4214,-1.0302,-0.0048,-1.0254,0.4837,1
17,1,6,1.0568,0.4426,0.3411,0.1015,0.9507,1
20,2,1,1.0646,-1.43,-0.5779,-0.8521,0.5171,1
23,2,6,1.087,-0.3123,2.4834,-2.7957,0.5337,1
24,1,6,0.9214,-2.1289,0.6495,-2.7784,0.5337,1
25,2,1,1.0972,2.6906,0.8826,1.808,1.0508,1
27,1,1,0.5889,-0.3222,-2.4313,2.1091,0.8173,1
30,1,1,1.993,-2.4184,-2.2493,-0.1691,0.6839,1
31,1,1,0.7196,2.4026,2.7776,-0.3751,0.5337,1
32,2,1,1.8029,-2.9629,-0.8105,-2.1524,1.0341,1
35,1,1,2.358,-2.7914,2.5184,0.9734,0.8173,1
36,2,6,1.367,-2.3338,-2.3387,0.0048,0.3836,1
42,2,6,1.3532,1.4162,1.0155,0.4007,0.5504,1
46,1,6,1.3343,0.5008,0.581,-0.0802,1.0174,1
48,2,6,1.1398,2.1346,2.3634,-0.2288,0.5337,1
50,2,1,3.6359,-1.7011,-0.767,-0.9342,0.7172,1
52,1,6,1.3387,1.144,0.0196,1.1244,0.417,1
53,1,6,1.3089,-0.8009,-0.536,-0.2649,0.5504,1
57,1,1,0.6975,0.0569,-2.385,2.4419,0.467,1
58,2,1,0.9878,-3.0455,-1.9738,-1.0717,0.4003,1
60,2,6,0.9685,1.2895,2.395,-1.1056,0.5671,1
62,1,1,0.6498,1.2404,2.2102,-0.9698,0.7839,1
66,1,6,0.8436,1.4394,2.0117,-0.5723,0.6005,1
68,2,1,0.698,-0.1035,1.2264,-1.3299,0.8006,1
71,1,6,3.5262,1.8537,1.3145,0.5391,0.5838,1
74,1,2,1.5566,0.0369,-0.698,0.735,0.6338,1
76,2,1,0.7367,0.195,1.2853,-1.0903,0.8506,1
79,2,1,0.9978,1.6521,1.2181,0.434,0.9007,1
80,2,6,1.2775,0.8232,1.0393,-0.2162,1.0508,1
81,2,1,1.0593,2.1516,2.1059,0.0457,0.6505,1
82,1,6,1.4111,-1.4982,0.9643,-2.4625,0.6338,1
84,1,1,1.5201,2.525,-2.1534,-1.6048,0.4003,1
85,2,6,2.6427,0.607,2.1869,-1.5799,0.417,1
88,2,4,3.6691,0.3009,-3.1113,-2.871,0.5171,1
91,1,6,1.0822,1.5154,-1.6332,-3.1345,0.6839,1
96,1,1,0.8579,2.7484,0.1061,2.6423,0.8673,1
98,1,1,1.616,-2.4158,1.174,2.6934,0.467,1
99,1,1,0.6732,1.4194,-0.8407,2.2601,0.5671,1
100,1,1,1.7897,-1.7294,0.0636,-1.7931,0.5004,1
102,2,6,1.3235,-2.1968,-1.5504,-0.6464,0.5671,1
108,2,1,3.5185,-0.7292,3.0955,2.4586,0.884,1
109,1,6,1.2012,3.141,0.9741,2.1669,0.834,1
110,2,6,8.2416,-2.3795,-2.458,0.0785,1.1342,1
111,1,1,1.3009,-0.9057,0.7448,-1.6506,0.7005,1
121,2,1,1.6826,-1.7515,2.0144,2.5174,0.6672,1
122,2,6,1.1629,0.4264,-0.7599,1.1864,0.884,1
123,1,1,1.7097,1.5775,-2.1112,-2.5945,0.6171,1
124,2,6,4.6558,-0.7849,-0.0194,-0.7655,0.5004,1
129,1,6,1.1625,-1.7115,-1.8847,0.1731,0.4337,1
131,1,6,1.1067,-1.6393,0.0102,-1.6494,0.3336,1
133,1,1,0.9729,-0.4673,3.108,2.7079,0.4337,1
136,2,1,0.7221,1.9857,1.1647,0.8211,0.4837,1
137,1,6,1.0558,-2.0928,1.0232,-3.116,0.417,1
138,2,1,0.9314,-0.4634,-0.6064,0.143,0.2502,1
143,1,1,0.7583,-0.8408,2.1051,-2.9459,1.0675,1
147,1,6,1.5028,2.0618,0,2.0618,0.3503,1
149,2,6,0.7115,0.6018,-0.8912,1.493,0.6171,1
152,2,4,2.7181,2.0346,2.05,-0.0154,0.7005,1
153,1,4,1.32,2.3591,1.8045,0.5546,0.3336,1
155,2,6,2.6389,-0.0203,-1.0895,1.0692,0.4337,1
156,1,6,4.7567,-0.185,2.9473,-3.1322,0.467,1
157,2,6,0.9849,2.6596,-1.9974,-1.6262,0.7172,1
159,2,6,1.8405,-2.0798,0.7203,-2.8001,0.2835,1
160,2,1,1.7936,-0.496,0.5722,-1.0682,0.5337,1
166,2,1,0.5675,0.5883,-1.6882,2.2765,0.6005,1
167,2,6,1.0524,-2.371,-1.5757,-0.7953,0.8673,1
168,1,1,0.7843,-1.2207,-2.576,1.3553,1.1175,1
169,1,6,0.872,-2.6448,-2.5606,-0.0842,0.4503,1
171,2,6,0.9607,-3.1413,1.6648,1.4772,0.5337,1
173,2,6,1.5447,-2.2529,0.3218,-2.5747,0.4503,1
174,1,6,0.8459,2.52,2.4725,0.0476,0.6171,1
175,1,6,0.9549,0.1123,-0.7996,0.9119,0.3169,1
177,1,1,0.5553,2.6042,-1.7581,-1.9209,0.2168,1
178,1,6,1.1939,-2.4533,-0.6646,-1.7888,0.3169,1
181,1,1,0.6744,2.6156,2.2974,0.3182,0.4003,1
183,1,1,0.6238,2.4323,-0.6465,3.0788,0.5171,1
186,2,1,1.4984,-2.4994,-0.7928,-1.7066,0.5337,1
187,1,6,1.0853,-2.5429,0.1701,-2.7131,0.5171,1
189,2,1,0.729,1.7774,-2.3527,-2.1531,0.467,1
193,2,4,1.4453,-0.8888,3.1008,2.2936,0.5337,1
194,2,6,1.1074,-0.54,0.4431,-0.9831,0.8006,1
197,1,6,1.2198,-1.3962,-2.3854,0.9892,0.6672,1
199,2,1,0.5197,-2.6138,0.0293,-2.6431,0.5671,1
201,1,1,0.7345,-1.2631,-0.2863,-0.9768,0.4337,1
202,1,6,1.4482,1.0457,-1.454,2.4997,0.3669,1
204,2,6,2.5301,2.9277,2.3924,0.5353,0.5004,1
206,1,1,4.9049,2.0957,-0.0466,2.1423,0.5004,1
209,1,1,0.507,-0.7078,-0.588,-0.1198,0.3336,1
210,2,1,0.6156,-0.1196,0.0052,-0.1248,0.834,1
212,1,1,0.8133,-2.9973,-2.3274,-0.6699,0.4837,1
214,2,1,2.696,1.3648,3.1228,-1.758,0.6005,1
217,2,6,1.0338,-0.7458,-1.4142,0.6683,0.4837,1
218,2,1,0.6373,-1.3281,0.552,-1.8801,0.3836,1
