"condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
1,"1",1.5579,NA,NA,NA,NA,1
1,"1",1.088,NA,NA,NA,NA,1
2,"1",2.01,NA,NA,NA,NA,1
2,"1",3.1362,NA,NA,NA,NA,1
2,"1",1.1898,NA,NA,NA,NA,1
1,"1",2.2089,NA,NA,NA,NA,1
1,"4",4.3774,NA,NA,NA,NA,1
1,"1",1.2644,NA,NA,NA,NA,1
2,"1",1.8396,NA,NA,NA,NA,1
1,"1",1.9012,NA,NA,NA,NA,1
1,"2",4.9447,NA,NA,NA,NA,1
1,"1",8.254,NA,NA,NA,NA,1
2,"1",0.9557,NA,NA,NA,NA,1
1,"1",0.5776,NA,NA,NA,NA,1
2,"6",1.9877,NA,NA,NA,NA,1
2,"1",1.051,NA,NA,NA,NA,1
1,"1",0.96,NA,NA,NA,NA,1
1,"1",2.829,NA,NA,NA,NA,1
2,"1",0.7344,NA,NA,NA,NA,1
1,"1",0.6914,NA,NA,NA,NA,1
1,"1",0.8955,NA,NA,NA,NA,1
2,"1",0.7096,NA,NA,NA,NA,1
1,"1",0.5587,NA,NA,NA,NA,1
2,"1",3.874,NA,NA,NA,NA,1
2,"1",1.1365,NA,NA,NA,NA,1
1,"1",1.726,NA,NA,NA,NA,1
2,"1",3.36,NA,NA,NA,NA,1
2,"1",2.9594,NA,NA,NA,NA,1
1,"1",1.1519,NA,NA,NA,NA,1
1,"1",0.6698,NA,NA,NA,NA,1
1,"1",1.9394,NA,NA,NA,NA,1
2,"1",0.6324,NA,NA,NA,NA,1
1,"3",2.0672,NA,NA,NA,NA,1
1,"1",1.7115,NA,NA,NA,NA,1
1,"1",0.5923,NA,NA,NA,NA,1
2,"1",1.2564,NA,NA,NA,NA,1
1,"1",4.5518,NA,NA,NA,NA,1
1,"1",1.0308,NA,NA,NA,NA,1
2,"1",1.1721,NA,NA,NA,NA,1
2,"1",1.4927,NA,NA,NA,NA,1
1,"1",0.8454,NA,NA,NA,NA,1
1,"1",3.5437,NA,NA,NA,NA,1
1,"1",0.5854,NA,NA,NA,NA,1
1,"1",0.9916,NA,NA,NA,NA,1
2,"1",8.9764,NA,NA,NA,NA,1
1,"1",1.2125,NA,NA,NA,NA,1
2,"1",0.7233,NA,NA,NA,NA,1
2,"1",1.9677,NA,NA,NA,NA,1
2,"1",1.7875,NA,NA,NA,NA,1
2,"1",0.6121,NA,NA,NA,NA,1
2,"1",1.7081,NA,NA,NA,NA,1
2,"1",1.3179,NA,NA,NA,NA,1
2,"1",7.8807,NA,NA,NA,NA,1
2,"1",0.65,NA,NA,NA,NA,1
2,"1",0.6146,NA,NA,NA,NA,1
2,"1",0.6785,NA,NA,NA,NA,1
2,"1",0.6148,NA,NA,NA,NA,1
1,"1",0.5335,NA,NA,NA,NA,1
2,"1",3.7087,NA,NA,NA,NA,1
1,"1",0.6146,NA,NA,NA,NA,1
2,"1",1.5193,NA,NA,NA,NA,1
1,"1",0.5845,NA,NA,NA,NA,1
2,"1",0.6659,NA,NA,NA,NA,1
1,"1",0.8793,NA,NA,NA,NA,1
2,"1",1.4525,NA,NA,NA,NA,1
