"","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"1","RISK"," STIM"," LOW",6,4.6597," -2.0270"," -0.5333"," -1.4937"," 2.5519","p1"
"2","PARE"," STIM"," LOW",6,1.381," 0.2241"," 2.2350"," -2.0110"," 0.6672","p1"
"3","MISTER"," FOIL"," LOW",1,1.5579," NA"," NA"," NA"," NA","p1"
"4","ACHE"," STIM"," LOW",1,2.2199," 0.1479"," -0.3540"," 0.5019"," 0.6171","p1"
"5","WATT"," STIM"," LOW",6,1.4665," 2.6769"," -2.2569"," -1.3494"," 0.4337","p1"
"6","VANITY"," FOIL"," LOW",1,1.088," NA"," NA"," NA"," NA","p1"
"7","FLEECE"," FOIL"," HIGH",1,2.01," NA"," NA"," NA"," NA","p1"
"8","GRAFT"," STIM"," LOW",6,1.2147," -0.3900"," 2.1436"," -2.5336"," 1.2509","p1"
"9","FEET"," FOIL"," HIGH",1,3.1362," NA"," NA"," NA"," NA","p1"
"10","WILLOW"," FOIL"," HIGH",1,1.1898," NA"," NA"," NA"," NA","p1"
"11","BLEW"," STIM"," LOW",1,1.2972," 2.4062"," 2.6128"," -0.2066"," 0.6171","p1"
"12","ADVICE"," STIM"," LOW",6,1.4214," -1.0302"," -0.0048"," -1.0254"," 0.4837","p1"
"13","DEFEAT"," FOIL"," LOW",1,2.2089," NA"," NA"," NA"," NA","p1"
"14","EVENT"," FOIL"," LOW",4,4.3774," NA"," NA"," NA"," NA","p1"
"15","PAEAN"," FOIL"," LOW",1,1.2644," NA"," NA"," NA"," NA","p1"
"16","DRINK"," FOIL"," HIGH",1,1.8396," NA"," NA"," NA"," NA","p1"
"17","SUCH"," STIM"," LOW",6,1.0568," 0.4426"," 0.3411"," 0.1015"," 0.9507","p1"
"18","TAPE"," STIM"," HIGH",6,1.2564," -0.0885"," 2.4301"," -2.5187"," 2.0182","p1"
"19","SHOCK"," FOIL"," LOW",1,1.9012," NA"," NA"," NA"," NA","p1"
"20","ANCHOR"," STIM"," HIGH",1,1.0646," -1.4300"," -0.5779"," -0.8521"," 0.5171","p1"
"21","FACT"," FOIL"," LOW",2,4.9447," NA"," NA"," NA"," NA","p1"
"22","AUNT"," STIM"," HIGH",6,1.5757," -1.0075"," -0.7028"," -0.3047"," 1.5178","p1"
"23","CAMEL"," STIM"," HIGH",6,1.087," -0.3123"," 2.4834"," -2.7957"," 0.5337","p1"
"24","GENTRY"," STIM"," LOW",6,0.9214," -2.1289"," 0.6495"," -2.7784"," 0.5337","p1"
"25","OLIVE"," STIM"," HIGH",1,1.0972," 2.6906"," 0.8826"," 1.8080"," 1.0508","p1"
